StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Ohio,OH,District,Regular local school district,,,,Adams County Ohio Valley Local,,3906190,Adams,Weekly,10/11/20,10/17/20,,0,0,,,,,,0,1,,,,,Regular local school district
Ohio,OH,District,Regular local school district,,,,Adams County Ohio Valley Local,,3906190,Adams,Weekly,10/18/20,10/24/20,,0,0,,,,,,0,1,,,,,
Ohio,OH,District,Regular local school district,,,,Adams County Ohio Valley Local,,3906190,Adams,Weekly,10/25/20,10/31/20,,3,1,,,,,,7,3,,,,,
Ohio,OH,District,Regular local school district,,,,Adams County Ohio Valley Local,,3906190,Adams,Weekly,11/1/20,11/7/20,,0,0,,,,,,7,3,,,,,
Ohio,OH,District,Regular local school district,,,,Adams County Ohio Valley Local,,3906190,Adams,Weekly,11/8/20,11/14/20,,24,11,,,,,,35,18,,,,,
Ohio,OH,District,Regular local school district,,,,Adams County Ohio Valley Local,,3906190,Adams,Weekly,11/15/20,11/21/20,,18,16,,,,,,44,27,,,,,
Ohio,OH,District,Regular local school district,,,,Adams County Ohio Valley Local,,3906190,Adams,Weekly,11/22/20,11/28/20,,6,3,,,,,,50,30,,,,,
Ohio,OH,District,Regular local school district,,,,Adams County Ohio Valley Local,,3906190,Adams,Weekly,11/29/20,12/5/20,,12,3,,,,,,62,33,,,,,
Ohio,OH,District,Regular local school district,,,,Adams County Ohio Valley Local,,3906190,Adams,Weekly,12/6/20,12/12/20,,10,5,,,,,,72,38,,,,,
Ohio,OH,District,Regular local school district,,,,Adams County Ohio Valley Local,,3906190,Adams,Weekly,12/13/20,12/19/20,,0,0,,,,,,72,38,,,,,
