StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,EnrollmentTotal,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,8/9/20,8/15/20,686,Closed,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,8/16/20,8/22/20,686,Closed,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,8/23/20,8/29/20,686,In-person,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,8/30/20,9/5/20,686,In-person,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,9/6/20,9/12/20,686,In-person,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,9/13/20,9/19/20,686,In-person,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,9/20/20,9/26/20,686,Closed,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,9/27/20,10/3/20,686,Closed,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,10/4/20,10/10/20,686,In-person,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,10/11/20,10/17/20,686,In-person,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,10/18/20,10/24/20,686,In-person,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,10/25/20,10/31/20,686,In-person,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,11/1/20,11/7/20,686,In-person,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,11/8/20,11/14/20,686,In-person,,,,,,,,,,,,
Idaho,ID,District,No,,,,,Aberdeen District,Regular local school district,1600030,58,Weekly,11/15/20,11/21/20,686,In-person,,,,,,,,,,,,
