StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,Quarter,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,9/1/20,9/30/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,8075,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,10/1/20,10/31/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,8075,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,11/1/20,11/30/20,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,8075,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,12/1/20,12/31/20,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,8075,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,1/1/21,1/31/21,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,8075,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,2/1/21,2/28/21,Q3,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,6056,2019,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,3/1/21,3/6/21,Q3,Virtual,Virtual,Virtual,Virtual,PreK-1: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 2-12 [no change from virtual toward phased re-opening reported],,,,0,6056,2019,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,3/7/21,3/13/21,Q3,Hybrid,Hybrid,Virtual,Hybrid,"PreK-1: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr2-6, 9,12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 7-8, 10-11: [no change from virtual toward phased reopening]",,,,0,6056,2019,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,3/14/21,3/20/21,Q3,Hybrid,Hybrid,Hybrid,Hybrid,PreK-1: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr2-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6056,2019,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,3/21/21,3/27/21,Q3,Hybrid,Hybrid,Hybrid,Hybrid,PreK-1: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr2-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6056,2019,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,3/28/21,4/3/21,Q3,Hybrid,Hybrid,Hybrid,Hybrid,PreK-1: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr2-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6056,2019,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,4/4/21,4/10/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-1: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr2-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6056,2019,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,4/11/21,4/17/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-1: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr2-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6541,1534,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,4/18/21,4/24/21,Q4,In-person,In-person,In-person,In-person,All grades: 5 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6541,1534,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,4/25/21,5/1/21,Q4,In-person,In-person,In-person,In-person,All grades: 5 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6541,1534,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,5/2/21,5/8/21,Q4,In-person,In-person,In-person,In-person,All grades: 5 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6541,1534,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,5/9/21,5/15/21,Q4,In-person,In-person,In-person,In-person,All grades: 5 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6541,1534,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,5/16/21,5/22/21,Q4,In-person,In-person,In-person,In-person,All grades: 5 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6541,1534,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,5/23/21,5/29/21,Q4,In-person,In-person,In-person,In-person,All grades: 5 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6541,1534,809,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Monthly,9/1/20,9/30/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,83,332,82629,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Monthly,10/1/20,10/31/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,83,332,82629,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Monthly,11/1/20,11/30/20,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,83,332,82629,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Monthly,12/1/20,12/31/20,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,83,332,82629,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Monthly,1/1/21,1/31/21,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,8,83036,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Monthly,2/1/21,2/28/21,Q3,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,31557,51487,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,3/1/21,3/6/21,Q3,Virtual,Hybrid,Virtual,Virtual,PreK-5: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 6-12 [no change from virtual toward phased re-opening reported],,,,0,31557,51487,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,3/7/21,3/13/21,Q3,Hybrid,Hybrid,Virtual,Hybrid,"PreK-6,9,12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 7-8,10-11: [no change from virtual toward phased reopening]",,,,0,31557,51487,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,3/14/21,3/20/21,Q3,Hybrid,Hybrid,Virtual,Hybrid,"PreK-6,9,12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 7-8,10-11: [no change from virtual toward phased reopening]",,,,0,31557,51487,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,3/21/21,3/27/21,Q3,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,31557,51487,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,3/28/21,4/3/21,Q3,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,31557,51487,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,4/4/21,4/10/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,31557,51487,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,4/11/21,4/17/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,31557,51487,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,4/18/21,4/24/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,38200,44844,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,4/25/21,5/1/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,38200,44844,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,5/2/21,5/8/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,38200,44844,7953,
