StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,274,Weekly,9/13/20,9/19/20,In-person,In-person,In-person,In-person,"95.62% FaceToFace, 0% Hybrid, 4.38% Distance","97.5% FaceToFace, 0% Hybrid, 2.5% Distance","94.03% FaceToFace, 0% Hybrid, 5.97% Distance","92.54% FaceToFace, 0% Hybrid, 7.46% Distance",262,0,12,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,274,Weekly,9/20/20,9/26/20,In-person,In-person,In-person,In-person,"95.62% FaceToFace, 0% Hybrid, 4.38% Distance","97.5% FaceToFace, 0% Hybrid, 2.5% Distance","94.03% FaceToFace, 0% Hybrid, 5.97% Distance","92.54% FaceToFace, 0% Hybrid, 7.46% Distance",262,0,12,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,274,Weekly,9/27/20,10/3/20,In-person,In-person,In-person,In-person,"95.62% FaceToFace, 0% Hybrid, 4.38% Distance","97.5% FaceToFace, 0% Hybrid, 2.5% Distance","94.03% FaceToFace, 0% Hybrid, 5.97% Distance","92.54% FaceToFace, 0% Hybrid, 7.46% Distance",262,0,12,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,275,Weekly,10/4/20,10/10/20,In-person,In-person,In-person,In-person,"95.64% FaceToFace, 0% Hybrid, 4.36% Distance","97.5% FaceToFace, 0% Hybrid, 2.5% Distance","94.03% FaceToFace, 0% Hybrid, 5.97% Distance","92.65% FaceToFace, 0% Hybrid, 7.35% Distance",263,0,12,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,274,Weekly,10/11/20,10/17/20,In-person,In-person,In-person,In-person,"96.35% FaceToFace, 0% Hybrid, 3.65% Distance","98.32% FaceToFace, 0% Hybrid, 1.68% Distance","94.03% FaceToFace, 0% Hybrid, 5.97% Distance","94.03% FaceToFace, 0% Hybrid, 5.97% Distance",264,0,10,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,273,Weekly,10/18/20,10/24/20,In-person,In-person,In-person,In-person,"96.34% FaceToFace, 0% Hybrid, 3.66% Distance","98.32% FaceToFace, 0% Hybrid, 1.68% Distance","94.03% FaceToFace, 0% Hybrid, 5.97% Distance","93.94% FaceToFace, 0% Hybrid, 6.06% Distance",263,0,10,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,272,Weekly,10/25/20,10/31/20,In-person,In-person,In-person,In-person,"96.32% FaceToFace, 0% Hybrid, 3.68% Distance","98.31% FaceToFace, 0% Hybrid, 1.69% Distance","94.03% FaceToFace, 0% Hybrid, 5.97% Distance","93.94% FaceToFace, 0% Hybrid, 6.06% Distance",262,0,10,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,272,Weekly,11/1/20,11/7/20,In-person,In-person,In-person,In-person,"96.32% FaceToFace, 0% Hybrid, 3.68% Distance","98.31% FaceToFace, 0% Hybrid, 1.69% Distance","94.03% FaceToFace, 0% Hybrid, 5.97% Distance","93.94% FaceToFace, 0% Hybrid, 6.06% Distance",262,0,10,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,272,Weekly,11/8/20,11/14/20,In-person,In-person,In-person,In-person,"96.32% FaceToFace, 0% Hybrid, 3.68% Distance","98.31% FaceToFace, 0% Hybrid, 1.69% Distance","94.03% FaceToFace, 0% Hybrid, 5.97% Distance","93.94% FaceToFace, 0% Hybrid, 6.06% Distance",262,0,10,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,273,Weekly,11/15/20,11/21/20,In-person,In-person,In-person,In-person,"95.6% FaceToFace, 0% Hybrid, 4.4% Distance","97.48% FaceToFace, 0% Hybrid, 2.52% Distance","92.54% FaceToFace, 0% Hybrid, 7.46% Distance","93.94% FaceToFace, 0% Hybrid, 6.06% Distance",261,0,12,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,274,Weekly,11/22/20,11/28/20,In-person,In-person,In-person,In-person,"90.15% FaceToFace, 0% Hybrid, 9.85% Distance","91.6% FaceToFace, 0% Hybrid, 8.4% Distance","86.76% FaceToFace, 0% Hybrid, 13.24% Distance","89.39% FaceToFace, 0% Hybrid, 10.61% Distance",247,0,27,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,274,Weekly,11/29/20,12/5/20,In-person,In-person,In-person,In-person,"90.15% FaceToFace, 0% Hybrid, 9.85% Distance","91.6% FaceToFace, 0% Hybrid, 8.4% Distance","86.76% FaceToFace, 0% Hybrid, 13.24% Distance","89.39% FaceToFace, 0% Hybrid, 10.61% Distance",247,0,27,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,273,Weekly,12/6/20,12/12/20,In-person,In-person,In-person,In-person,"91.21% FaceToFace, 0% Hybrid, 8.79% Distance","93.28% FaceToFace, 0% Hybrid, 6.72% Distance","86.76% FaceToFace, 0% Hybrid, 13.24% Distance","90.77% FaceToFace, 0% Hybrid, 9.23% Distance",249,0,24,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,273,Weekly,12/13/20,12/19/20,In-person,In-person,In-person,In-person,"91.21% FaceToFace, 0% Hybrid, 8.79% Distance","93.28% FaceToFace, 0% Hybrid, 6.72% Distance","86.76% FaceToFace, 0% Hybrid, 13.24% Distance","90.77% FaceToFace, 0% Hybrid, 9.23% Distance",249,0,24,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,273,Weekly,12/20/20,12/26/20,In-person,In-person,In-person,In-person,"91.21% FaceToFace, 0% Hybrid, 8.79% Distance","93.28% FaceToFace, 0% Hybrid, 6.72% Distance","86.76% FaceToFace, 0% Hybrid, 13.24% Distance","90.77% FaceToFace, 0% Hybrid, 9.23% Distance",249,0,24,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,273,Weekly,12/27/20,1/2/21,In-person,In-person,In-person,In-person,"91.21% FaceToFace, 0% Hybrid, 8.79% Distance","93.28% FaceToFace, 0% Hybrid, 6.72% Distance","86.76% FaceToFace, 0% Hybrid, 13.24% Distance","90.77% FaceToFace, 0% Hybrid, 9.23% Distance",249,0,24,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,274,Weekly,1/3/21,1/9/21,In-person,In-person,In-person,In-person,"92.34% FaceToFace, 0% Hybrid, 7.66% Distance","94.21% FaceToFace, 0% Hybrid, 5.79% Distance","89.71% FaceToFace, 0% Hybrid, 10.29% Distance","90.63% FaceToFace, 0% Hybrid, 9.38% Distance",253,0,21,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,276,Weekly,1/10/21,1/16/21,In-person,In-person,In-person,In-person,"92.39% FaceToFace, 0% Hybrid, 7.61% Distance","94.21% FaceToFace, 0% Hybrid, 5.79% Distance","89.71% FaceToFace, 0% Hybrid, 10.29% Distance","90.63% FaceToFace, 0% Hybrid, 9.38% Distance",255,0,21,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,275,Weekly,1/17/21,1/23/21,In-person,In-person,In-person,In-person,"92.36% FaceToFace, 0% Hybrid, 7.64% Distance","94.21% FaceToFace, 0% Hybrid, 5.79% Distance","89.71% FaceToFace, 0% Hybrid, 10.29% Distance","90.48% FaceToFace, 0% Hybrid, 9.52% Distance",254,0,21,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,275,Weekly,1/24/21,1/30/21,In-person,In-person,In-person,In-person,"93.09% FaceToFace, 0% Hybrid, 6.91% Distance","95.9% FaceToFace, 0% Hybrid, 4.1% Distance","89.55% FaceToFace, 0% Hybrid, 10.45% Distance","90.48% FaceToFace, 0% Hybrid, 9.52% Distance",256,0,19,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,275,Weekly,1/31/21,2/6/21,In-person,In-person,In-person,In-person,"93.09% FaceToFace, 0% Hybrid, 6.91% Distance","95.9% FaceToFace, 0% Hybrid, 4.1% Distance","89.55% FaceToFace, 0% Hybrid, 10.45% Distance","90.48% FaceToFace, 0% Hybrid, 9.52% Distance",256,0,19,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,275,Weekly,2/7/21,2/13/21,In-person,In-person,In-person,In-person,"93.09% FaceToFace, 0% Hybrid, 6.91% Distance","95.9% FaceToFace, 0% Hybrid, 4.1% Distance","89.55% FaceToFace, 0% Hybrid, 10.45% Distance","90.48% FaceToFace, 0% Hybrid, 9.52% Distance",256,0,19,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,272,Weekly,2/14/21,2/20/21,In-person,In-person,In-person,In-person,"92.65% FaceToFace, 0% Hybrid, 7.35% Distance","95.76% FaceToFace, 0% Hybrid, 4.24% Distance","89.55% FaceToFace, 0% Hybrid, 10.45% Distance","89.06% FaceToFace, 0% Hybrid, 10.94% Distance",252,0,20,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,272,Weekly,2/21/21,2/27/21,In-person,In-person,In-person,In-person,"92.65% FaceToFace, 0% Hybrid, 7.35% Distance","95.76% FaceToFace, 0% Hybrid, 4.24% Distance","89.55% FaceToFace, 0% Hybrid, 10.45% Distance","89.06% FaceToFace, 0% Hybrid, 10.94% Distance",252,0,20,53,
North Dakota,ND,District,No,,,,,Alexander 2,Regular local school district,3801760,27002,272,Weekly,2/28/21,3/6/21,In-person,In-person,In-person,In-person,"92.65% FaceToFace, 0% Hybrid, 7.35% Distance","95.76% FaceToFace, 0% Hybrid, 4.24% Distance","89.55% FaceToFace, 0% Hybrid, 10.45% Distance","89.06% FaceToFace, 0% Hybrid, 10.94% Distance",252,0,20,53,
