StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Ohio,OH,District,No,,,,,Ada Exempted Village,Regular local school district,3904518,045187,806,Weekly,8/2/20,8/8/20,In-person,,,,5-Day In-Person,,,,,,,119,
Ohio,OH,District,No,,,,,Ada Exempted Village,Regular local school district,3904518,045187,806,Weekly,8/9/20,8/15/20,In-person,,,,5-Day In-Person,,,,,,,119,
Ohio,OH,District,No,,,,,Ada Exempted Village,Regular local school district,3904518,045187,806,Weekly,8/16/20,8/22/20,In-person,,,,5-Day In-Person,,,,,,,119,
Ohio,OH,District,No,,,,,Ada Exempted Village,Regular local school district,3904518,045187,806,Weekly,8/23/20,8/29/20,In-person,,,,5-Day In-Person,,,,,,,119,
Ohio,OH,District,No,,,,,Ada Exempted Village,Regular local school district,3904518,045187,806,Weekly,8/30/20,9/5/20,In-person,,,,5-Day In-Person,,,,,,,119,
Ohio,OH,District,No,,,,,Ada Exempted Village,Regular local school district,3904518,045187,806,Weekly,9/6/20,9/12/20,In-person,,,,5-Day In-Person,,,,,,,119,
Ohio,OH,District,No,,,,,Ada Exempted Village,Regular local school district,3904518,045187,806,Weekly,9/13/20,9/19/20,In-person,,,,5-Day In-Person,,,,,,,119,
Ohio,OH,District,No,,,,,Ada Exempted Village,Regular local school district,3904518,045187,806,Weekly,9/20/20,9/26/20,In-person,,,,5-Day In-Person,,,,,,,119,
Ohio,OH,District,No,,,,,Ada Exempted Village,Regular local school district,3904518,045187,806,Weekly,9/27/20,10/3/20,In-person,,,,5-Day In-Person,,,,,,,119,
Ohio,OH,District,No,,,,,Ada Exempted Village,Regular local school district,3904518,045187,806,Weekly,10/4/20,10/10/20,In-person,,,,5-Day In-Person,,,,,,,119,
Ohio,OH,District,No,,,,,Ada Exempted Village,Regular local school district,3904518,045187,806,Weekly,10/11/20,10/17/20,In-person,,,,5-Day In-Person,,,,,,,119,
