StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,9/1/20,9/30/20,Virtual,Virtual,Virtual,Virtual,,100% Remote,100% Remote,100% Remote,,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,10/1/20,10/31/20,,,,,,Not Available,Not Available,,,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,11/1/20,11/30/20,Virtual,Virtual,Virtual,Virtual,,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,12/1/20,12/31/20,,,,,,,,,,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,1/1/21,1/10/21,,,,,,,,,,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,1/11/21,1/17/21,,,,,,,,,,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,1/18/21,1/24/21,,,,,,,,,0,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,1/25/21,1/31/21,Virtual,Virtual,Virtual,Virtual,,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,0,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,2/1/21,2/7/21,,,,,,,,,0,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,2/8/21,2/14/21,Virtual,Hybrid,Virtual,Virtual,,Phase-In,Small Groups + Remote,Small Groups + Remote,294,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,2/15/21,2/21/21,Virtual,Hybrid,Virtual,Virtual,,Phase-In,Small Groups + Remote,Small Groups + Remote,294,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,2/22/21,2/28/21,Hybrid,Hybrid,Hybrid,Virtual,,Phase-In,Phase-In,Small Groups + Remote,294,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,3/1/21,3/7/21,Hybrid,Hybrid,Hybrid,Virtual,,Phase-In,Phase-In,Small Groups + Remote,551,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,3/8/21,3/14/21,Hybrid,Hybrid,Hybrid,Virtual,,Phase-In,Phase-In,Small Groups + Remote,551,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,3/15/21,3/21/21,Hybrid,Hybrid,Hybrid,Hybrid,,Phase-In,Phase-In,Phase-In,846,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,3/22/21,3/28/21,Hybrid,Hybrid,Hybrid,Hybrid,,Phase-In,Phase-In,Phase-In,856,,,303.28,
