"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Alabama","AL","District","Yes","Acceleration Day And Evening Academy","Charter agency","0100197","800","331",,,,,,,,,,
"2","Alabama","AL","District","No","Al Inst Deaf And Blind","State-operated agency","0100009","600",,,,,,,,,,,
"3","Alabama","AL","District","No","Alabama School Of Fine Arts","State-operated agency","0100018","207",,"Required full school year",,,,,"Required full school year",,,,
"4","Alabama","AL","District","No","Alabaster City","Regular local school district","0100190","103","6083",,,,,,,,,,
"5","Alabama","AL","District","No","Albertville City","Regular local school district","0100005","101","5729","Not required",,,,,"Not required",,,,
"6","Alabama","AL","District","No","Alexander City","Regular local school district","0100030","102","2870",,,,,,,,,,
"7","Alabama","AL","District","No","Anniston City","Regular local school district","0100090","105","1742",,,,,,,,,,
"8","Alabama","AL","District","No","Arab City","Regular local school district","0100100","106","2504",,,,,,,,,,
"9","Alabama","AL","District","No","Athens City","Regular local school district","0100120","107","4456","Required full school year",,,,,"Required full school year",,,,
"10","Alabama","AL","District","No","Attalla City","Regular local school district","0100180","109","1415",,,,,,,,,,
"11","Alabama","AL","District","No","Auburn City","Regular local school district","0100210","110","8961",,,,,,,,,,
"12","Alabama","AL","District","No","Autauga County","Regular local school district","0100240","001","8807",,,,,,,,,,
"13","Alabama","AL","District","No","Baldwin County","Regular local school district","0100270","002","29634",,,,,,,,,,
"14","Alabama","AL","District","No","Barbour County","Regular local school district","0100300","003","653",,,,,,,,,,
"15","Alabama","AL","District","No","Bessemer City","Regular local school district","0100330","113","3247",,,,,,,,,,
"16","Alabama","AL","District","No","Bibb County","Regular local school district","0100360","004","2993","Required full school year",,,,,"Required full school year",,,,
"17","Alabama","AL","District","No","Birmingham City","Regular local school district","0100390","114","20849",,,,,,,,,,
"18","Alabama","AL","District","No","Blount County","Regular local school district","0100420","005","7608","Required full school year",,,,,"Required full school year",,,,
"19","Alabama","AL","District","No","Boaz City","Regular local school district","0100012","115","2334",,,,,,,,,,
"20","Alabama","AL","District","Yes","Breakthrough Charter School","Charter Agency","0100208","808",,"Required full school year",,,,,"Required full school year",,,,
