"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Alaska","AK","District","No","Alaska Gateway School District","Regular local school district","0200050","03","399",,,,,,,,,,
"2","Alaska","AK","District","No","Aleutian Region School District","Regular local school district","0200010","04","25",,,,,,,,,,
"3","Alaska","AK","District","No","Aleutians East Borough School District","Regular local school district","0200007","56","206",,,,,,,,,,
"4","Alaska","AK","District","No","Anchorage School District","Regular local school district","0200180","05","41203",,,,,,,,,,
"5","Alaska","AK","District","No","Annette Island School District","Regular local school district","0200525","06","311",,,,,,,,,,
"6","Alaska","AK","District","No","Bering Strait School District","Regular local school district","0200020","07","1727","Required full school year",,,,,"Required full school year",,,,
"7","Alaska","AK","District","No","Bristol Bay Borough School District","Regular local school district","0200030","08","119",,,,,,,,,,
"8","Alaska","AK","District","No","Chatham School District","Regular local school district","0200730","09","144",,,,,,,,,,
"9","Alaska","AK","District","No","Chugach School District","Regular local school district","0200800","10","653","Required full school year",,,,,"Required full school year",,,,
"10","Alaska","AK","District","No","Copper River School District","Regular local school district","0200070","11","392","Not required",,,,,"Not required",,,,
"11","Alaska","AK","District","No","Cordova City School District","Regular local school district","0200060","12","290",,,,,,,,,,
"12","Alaska","AK","District","No","Craig City School District","Regular local school district","0200090","13","874",,,,,,,,,,
"13","Alaska","AK","District","No","Delta-Greely School District","Regular local school district","0200100","14","775",,,,,,,,,,
"14","Alaska","AK","District","No","Denali Borough School District","Regular local school district","0200770","02","1152",,,,,,,,,,
"15","Alaska","AK","District","No","Dillingham City School District","Regular local school district","0200120","15","412",,,,,,,,,,
"16","Alaska","AK","District","No","Fairbanks North Star Borough School District","Regular local school district","0200600","16","11199",,,,,,,,,,
