"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Arizona","AZ","District","Yes","A Center For Creative Education (79457)","Charter agency","0400328","79457",,,,,,,,,,,
"2","Arizona","AZ","District","Yes","A+ Charter Schools (1000166)","Charter agency","0400998","1000166","K-12",,,,,,,,,,
"3","Arizona","AZ","District","Yes","Academy Del Sol Inc. (90199)","Charter agency","0400797","90199","K-12",,,,,,,,,,
"4","Arizona","AZ","District","Yes","Academy Of Building Industries Inc. (85540)","Charter agency","0400414","85540","K-12",,,,,,,,,,
"5","Arizona","AZ","District","Yes","Academy Of Mathematics And Science Inc. (79961)","Charter agency","0400368","79961","K-12",,,,,,,,,,
"6","Arizona","AZ","District","Yes","Academy Of Mathematics And Science Inc. (92768)","Charter agency","0400940","92768","K-12",,,,,,,,,,
"7","Arizona","AZ","District","Yes","Academy Of Tucson Inc. (78897)","Charter agency","0400202","78897","K-12",,,,,,,,,,
"8","Arizona","AZ","District","Yes","Academy With Community Partners  Inc (79213)","Charter agency","0400276","79213","K-12",,,,,,,,,,
"9","Arizona","AZ","District","Yes","Accelerated Elementary And Secondary Schools (6364)","Charter agency","0400129","6364","K-12",,,,,,,,,,
"10","Arizona","AZ","District","Yes","Accelerated Learning Center Inc. (4297)","Charter agency","0400121","4297","K-12",,,,,,,,,,
"11","Arizona","AZ","District","Yes","Acclaim Charter School (4325)","Charter agency","0400122","4325","K-12","Required full school year",,,,,"Required full school year",,,,
"12","Arizona","AZ","District","Yes","Acorn Montessori Charter School (79437)","Charter agency","0400320","79437","K-12",,,,,,,,,,
"13","Arizona","AZ","District","No","Agua Fria Union High School District (4289)","Regular local school district","0400450","4289","K-12",,,,,,,,,,
"14","Arizona","AZ","District","No","Aguila Elementary District (4249)","Regular local school district","0400480","4249","K-12","Required full school year",,,,,"Required full school year",,,,
"15","Arizona","AZ","District","No","Ajo Unified District (4409)","Regular local school district","0400520","4409","K-12",,,,,,,,,,
"16","Arizona","AZ","District","Yes","Akimel O'otham Pee Posh Charter School Inc. (78966)","Charter agency","0400404","78966","K-12",,,,,,,,,,
"17","Arizona","AZ","District","Yes","Akimel O Otham Pee Posh Charter School Inc. (5978)","Charter agency","0400403","5978","K-12",,,,,,,,,,
"18","Arizona","AZ","District","No","Alhambra Elementary District (4280)","Regular local school district","0400600","4280","K-12",,,,,,,,,,
"19","Arizona","AZ","District","Yes","All Aboard Charter School (79969)","Charter agency","0400396","79969","K-12","Required full school year",,,,,"Required full school year",,,,
"20","Arizona","AZ","District","Yes","Allen-Cochran Enterprises Inc. (4347)","Charter agency","0400111","4347","K-12",,,,,,,,,,
"21","Arizona","AZ","District","No","Alpine Elementary District (4161)","Regular local school district","0400630","4161","K-12",,,,,,,,,,
"22","Arizona","AZ","District","No","Altar Valley Elementary District (4418)","Regular local school district","0404770","4418","K-12",,,,,,,,,,
"23","Arizona","AZ","District","Yes","American Basic Schools Llc (79215)","Charter agency","0400218","79215","K-12",,,,,,,,,,
"24","Arizona","AZ","District","Yes","American Charter Schools Foundation D.b.a. Alta Vi (80995)","Charter agency","0400619","80995","K-12",,,,,,,,,,
"25","Arizona","AZ","District","Yes","American Charter Schools Foundation D.b.a. Apache  (79883)","Charter agency","0400357","79883","K-12","Required full school year",,,,,"Required full school year",,,,
"26","Arizona","AZ","District","Yes","American Charter Schools Foundation D.b.a. Crestvi (79874)","Charter agency","0400385","79874","K-12",,,,,,,,,,
"27","Arizona","AZ","District","Yes","American Charter Schools Foundation D.b.a. Desert  (79872)","Charter agency","0400384","79872","K-12",,,,,,,,,,
"28","Arizona","AZ","District","Yes","American Charter Schools Foundation D.b.a. Estrell (79873)","Charter agency","0400352","79873","K-12",,,,,,,,,,
"29","Arizona","AZ","District","Yes","American Charter Schools Foundation D.b.a. Peoria  (79875)","Charter agency","0400353","79875","K-12","Required full school year",,,,,"Required full school year",,,,
