"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Arkansas","AR","District","Yes","Academics Plus Charter School","Charter agency","0500059","6040700","1645",,,,,,,,,,
"2","Arkansas","AR","District","No","Alma School District","Regular local school district","0502250","1701000","3250",,,,,,,,,,
"3","Arkansas","AR","District","No","Alpena School District","Regular local school district","0502280","0501000","473",,,,,,,,,,
"4","Arkansas","AR","District","No","Ark. School For The Blind","State-operated agency","0500035","6091000","85",,,,,,,,,,
"5","Arkansas","AR","District","No","Ark. School For The Deaf","State-operated agency","0500036","6092000","100","Required full school year",,,,,"Required full school year",,,,
"6","Arkansas","AR","District","No","Arkadelphia School District","Regular local school district","0502430","1002000","1786","Not required",,,,,"Not required",,,,
"7","Arkansas","AR","District","Yes","Arkansas Virtual Academy","Charter agency","0500394","6043700","3872",,,,,,,,,,
"8","Arkansas","AR","District","No","Armorel School District","Regular local school district","0502550","4701000","406","Required full school year",,,,,"Required full school year",,,,
"9","Arkansas","AR","District","No","Ashdown School District","Regular local school district","0502580","4101000","1348",,,,,,,,,,
"10","Arkansas","AR","District","No","Atkins School District","Regular local school district","0502610","5801000","931",,,,,,,,,,
"11","Arkansas","AR","District","No","Augusta School District","Regular local school district","0502670","7401000","330",,,,,,,,,,
"12","Arkansas","AR","District","No","Bald Knob School District","Regular local school district","0502700","7301000","1151",,,,,,,,,,
"13","Arkansas","AR","District","No","Barton-Lexa School District","Regular local school district","0502730","5401000","696",,,,,,,,,,
"14","Arkansas","AR","District","No","Batesville School District","Regular local school district","0500019","3201000","3059",,,,,,,,,,
"15","Arkansas","AR","District","No","Bauxite School District","Regular local school district","0502790","6301000","1594",,,,,,,,,,
"16","Arkansas","AR","District","No","Bay School District","Regular local school district","0502820","1601000","592",,,,,,,,,,
"17","Arkansas","AR","District","No","Bearden School District","Regular local school district","0500032","5201000","488",,,,,,,,,,
"18","Arkansas","AR","District","No","Beebe School District","Regular local school district","0502880","7302000","3180",,,,,,,,,,
"19","Arkansas","AR","District","No","Benton School District","Regular local school district","0502960","6302000","5422","Not required",,,,,"Not required",,,,
"20","Arkansas","AR","District","No","Bentonville School District","Regular local school district","0503060","0401000","17970","Required full school year",,,,,"Required full school year",,,,
"21","Arkansas","AR","District","No","Bergman School District","Regular local school district","0503090","0502000","1052",,,,,,,,,,
"22","Arkansas","AR","District","No","Berryville School District","Regular local school district","0503150","0801000","1832",,,,,,,,,,
"23","Arkansas","AR","District","No","Bismarck School District","Regular local school district","0503240","3001000","937",,,,,,,,,,
"24","Arkansas","AR","District","No","Blevins School District","Regular local school district","0503300","2901000","458",,,,,,,,,,
"25","Arkansas","AR","District","No","Blytheville School District","Regular local school district","0503320","4702000","1716",,,,,,,,,,
"26","Arkansas","AR","District","No","Booneville School District","Regular local school district","0503450","4201000","1158","Not required",,,,,"Not required",,,,
"27","Arkansas","AR","District","No","Bradford School District","Regular local school district","0503480","7303000","425",,,,,,,,,,
"28","Arkansas","AR","District","No","Brinkley School District","Regular local school district","0503630","4801000","426","Required full school year",,,,,"Required full school year",,,,
"29","Arkansas","AR","District","No","Brookland School District","Regular local school district","0503640","1603000","2757","Not required",,,,,"Not required",,,,
"30","Arkansas","AR","District","No","Bryant School District","Regular local school district","0503690","6303000","9214",,,,,,,,,,
"31","Arkansas","AR","District","No","Buffalo Is. Central Sch. Dist.","Regular local school district","0503710","1605000","730",,,,,,,,,,
"32","Arkansas","AR","District","No","Cabot School District","Regular local school district","0503750","4304000","10171",,,,,,,,,,
"33","Arkansas","AR","District","No","Caddo Hills School District","Regular local school district","0503770","4901000","550",,,,,,,,,,
"34","Arkansas","AR","District","No","Calico Rock School District","Regular local school district","0503840","3301000","362",,,,,,,,,,
"35","Arkansas","AR","District","No","Camden Fairview School Dist.","Regular local school district","0506060","5204000","2229",,,,,,,,,,
"36","Arkansas","AR","District","Yes","Capitol City Lighthouse Academy","Charter agency","0500413","6056700","161",,,,,,,,,,
"37","Arkansas","AR","District","No","Carlisle School District","Regular local school district","0503960","4303000","625",,,,,,,,,,
"38","Arkansas","AR","District","No","Cave City School District","Regular local school district","0504050","6802000","1172","Required at least part of school year","8/24/20","4/17/21",,,"Required at least part of school year","8/24/20","4/17/21",,
"39","Arkansas","AR","District","No","Cedar Ridge School District","Regular local school district","0500070","3212000","685","Required at least part of school year","8/24/20","4/20/21",,,"Required at least part of school year","8/24/20","4/20/21",,
"40","Arkansas","AR","District","No","Cedarville School District","Regular local school district","0504080","1702000","743",,,,,,,,,,
"41","Arkansas","AR","District","No","Centerpoint School District","Regular local school district","0506690","5502000","979",,,,,,,,,,
"42","Arkansas","AR","District","No","Charleston School District","Regular local school district","0504200","2402000","820",,,,,,,,,,
"43","Arkansas","AR","District","No","Clarendon School District","Regular local school district","0504350","4802000","448","Required full school year",,,,,"Required full school year",,,,
"44","Arkansas","AR","District","No","Clarksville School District","Regular local school district","0504380","3601000","2436",,,,,,,,,,
"45","Arkansas","AR","District","No","Cleveland County School Dist.","Regular local school district","0500067","1305000","692","Required full school year",,,,,"Required full school year",,,,
"46","Arkansas","AR","District","No","Clinton School District","Regular local school district","0504410","7102000","1238",,,,,,,,,,
"47","Arkansas","AR","District","No","Concord School District","Regular local school district","0504560","1201000","409",,,,,,,,,,
"48","Arkansas","AR","District","No","Conway School District","Regular local school district","0504590","2301000","9849",,,,,,,,,,
"49","Arkansas","AR","District","No","Corning School District","Regular local school district","0500009","1101000","818",,,,,,,,,,
"50","Arkansas","AR","District","No","Cossatot River School District","Regular local school district","0500405","5707000","906",,,,,,,,,,
"51","Arkansas","AR","District","No","Cotter School District","Regular local school district","0504680","0302000","743",,,,,,,,,,
"52","Arkansas","AR","District","No","County Line School District","Regular local school district","0504740","2403000","495",,,,,,,,,,
"53","Arkansas","AR","District","Yes","Cross County School District","Charter agency","0507740","1901000","607",,,,,,,,,,
"54","Arkansas","AR","District","No","Crossett School District","Regular local school district","0504800","0201000","1569",,,,,,,,,,
"55","Arkansas","AR","District","No","Cutter-Morning Star Sch. Dist.","Regular local school district","0504860","2601000","634",,,,,,,,,,
"56","Arkansas","AR","District","No","Danville School District","Regular local school district","0504890","7503000","771",,,,,,,,,,
"57","Arkansas","AR","District","No","Dardanelle School District","Regular local school district","0504930","7504000","2075",,,,,,,,,,
"58","Arkansas","AR","District","No","Decatur School District","Regular local school district","0504980","0402000","537",,,,,,,,,,
"59","Arkansas","AR","District","No","Deer/Mt. Judea School District","Regular local school district","0500072","5106000","399",,,,,,,,,,
"60","Arkansas","AR","District","No","Dequeen School District","Regular local school district","0500049","6701000","2295",,,,,,,,,,
"61","Arkansas","AR","District","No","Dermott School District","Regular local school district","0505170","0901000","367",,,,,,,,,,
"62","Arkansas","AR","District","No","Des Arc School District","Regular local school district","0505190","5901000","557",,,,,,,,,,
"63","Arkansas","AR","District","No","Dewitt School District","Regular local school district","0500001","0101000","1154",,,,,,,,,,
"64","Arkansas","AR","District","No","Dierks School District","Regular local school district","0505340","3102000","504",,,,,,,,,,
"65","Arkansas","AR","District","No","Dollarway School District","Regular local school district","0505410","3502000","907",,,,,,,,,,
"66","Arkansas","AR","District","No","Dover School District","Regular local school district","0505430","5802000","1224",,,,,,,,,,
"67","Arkansas","AR","District","No","Drew Central School District","Regular local school district","0505470","2202000","1109",,,,,,,,,,
"68","Arkansas","AR","District","No","Dumas School District","Regular local school district","0505500","2104000","1084",,,,,,,,,,
"69","Arkansas","AR","District","No","Earle School District","Regular local school district","0505550","1802000","430","Required full school year",,,,,"Required full school year",,,,
"70","Arkansas","AR","District","No","East End School District","Regular local school district","0505580","5301000","611",,,,,,,,,,
"71","Arkansas","AR","District","No","East Poinsett Co. School Dist.","Regular local school district","0500048","5608000","584","Required full school year",,,,,"Required full school year",,,,
"72","Arkansas","AR","District","No","El Dorado School District","Regular local school district","0505680","7001000","4121",,,,,,,,,,
"73","Arkansas","AR","District","No","Elkins School District","Regular local school district","0505760","7201000","1269",,,,,,,,,,
"74","Arkansas","AR","District","No","Emerson-Taylor School District","Regular local school district","0500068","1408000","1079",,,,,,,,,,
"75","Arkansas","AR","District","No","England School District","Regular local school district","0505850","4302000","621",,,,,,,,,,
"76","Arkansas","AR","District","Yes","Estem High Charter","Charter agency","0500398","6047700","3180",,,,,,,,,,
"77","Arkansas","AR","District","No","Eureka Springs School District","Regular local school district","0505970","0802000","572",,,,,,,,,,
"78","Arkansas","AR","District","Yes","Exalt Academy Of Southwest Little Rock","Charter agency","0500411","6055700","518",,,,,,,,,,
"79","Arkansas","AR","District","No","Farmington School District","Regular local school district","0506090","7202000","2572",,,,,,,,,,
"80","Arkansas","AR","District","No","Fayetteville School District","Regular local school district","0506120","7203000","10151",,,,,,,,,,
"81","Arkansas","AR","District","No","Flippin School District","Regular local school district","0506150","4501000","845",,,,,,,,,,
"82","Arkansas","AR","District","No","Fordyce School District","Regular local school district","0506210","2002000","748",,,,,,,,,,
"83","Arkansas","AR","District","No","Foreman School District","Regular local school district","0506240","4102000","534",,,,,,,,,,
"84","Arkansas","AR","District","No","Forrest City School District","Regular local school district","0506270","6201000","2107",,,,,,,,,,
"85","Arkansas","AR","District","No","Fort Smith School District","Regular local school district","0506330","6601000","13839",,,,,,,,,,
"86","Arkansas","AR","District","No","Fouke School District","Regular local school district","0506360","4603000","1057",,,,,,,,,,
"87","Arkansas","AR","District","No","Fountain Lake School District","Regular local school district","0506420","2602000","1316",,,,,,,,,,
"88","Arkansas","AR","District","Yes","Friendship Aspire Academy Little Rock","Charter agency","0500424","6061700","210",,,,,,,,,,
"89","Arkansas","AR","District","Yes","Friendship Aspire Academy Pine Bluff","Charter agency","0500423","3544700","316",,,,,,,,,,
"90","Arkansas","AR","District","Yes","Future School Of Fort Smith","Charter agency","0500418","6640700","229",,,,,,,,,,
"91","Arkansas","AR","District","No","Genoa Central School District","Regular local school district","0504110","4602000","1172","Not required",,,,,"Not required",,,,
"92","Arkansas","AR","District","No","Gentry School District","Regular local school district","0506540","0403000","1444",,,,,,,,,,
"93","Arkansas","AR","District","No","Glen Rose School District","Regular local school district","0506630","3002000","998",,,,,,,,,,
"94","Arkansas","AR","District","No","Gosnell School District","Regular local school district","0500029","4708000","1208",,,,,,,,,,
"95","Arkansas","AR","District","Yes","Graduate Arkansas School","Charter agency","0500407","6052700","91",,,,,,,,,,
"96","Arkansas","AR","District","No","Gravette School District","Regular local school district","0506840","0404000","1860",,,,,,,,,,
