"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","California","CA","District","No","Abc Unified","Regular local school district","0601620","1964212","19540","Required full school year",,,,,"Required full school year",,,,
"2","California","CA","District","Yes","Academia Avance Charter District","Charter agency","0602291","0109926","293","Required full school year",,,,,"Required full school year",,,,
"3","California","CA","District","No","Acalanes Union High","Regular local school district","0601650","0761630","5535","Required full school year",,,,,"Required full school year",,,,
"4","California","CA","District","Yes","Ackerman Charter","Charter agency","0601680","3166761","571","Required full school year",,,,,"Required full school year",,,,
"5","California","CA","District","No","Acton-Agua Dulce Unified","Regular local school district","0600001","1975309","12532","Required full school year",,,,,"Required full school year",,,,
"6","California","CA","District","No","Adelanto Elementary","Regular local school district","0601710","3667587","8029","Required full school year",,,,,"Required full school year",,,,
"7","California","CA","District","No","Alameda County Office Of Education","Regular local school district","0691051","0110017","3958","Required full school year",,,,,"Required full school year",,,,
"8","California","CA","District","No","Alameda Unified","Regular local school district","0601770","0161119","10927","Required full school year",,,,,"Required full school year",,,,
"9","California","CA","District","No","Albany City Unified","Regular local school district","0601860","0161127","3501","Required full school year",,,,,"Required full school year",,,,
"10","California","CA","District","No","Alexander Valley Union Elementary","Regular local school district","0601890","4970599","115","Required full school year",,,,,"Required full school year",,,,
"11","California","CA","District","No","Alhambra Unified","Regular local school district","0600153","1975713","15747","Required full school year",,,,,"Required full school year",,,,
"12","California","CA","District","No","Alisal Union","Regular local school district","0601950","2765961","8372","Required full school year",,,,,"Required full school year",,,,
"13","California","CA","District","No","Allensworth Elementary","Regular local school district","0601980","5471795","67","Required full school year",,,,,"Required full school year",,,,
"14","California","CA","District","No","Alpaugh Unified","Regular local school district","0602010","5471803","955","Required full school year",,,,,"Required full school year",,,,
"15","California","CA","District","No","Alpine County Unified","Regular local school district","0602070","0261333","73","Required full school year",,,,,"Required full school year",,,,
"16","California","CA","District","No","Alpine Union Elementary","Regular local school district","0602100","3767967","1532","Required full school year",,,,,"Required full school year",,,,
"17","California","CA","District","No","Alta-Dutch Flat Union Elementary","Regular local school district","0602250","3166779","82","Required full school year",,,,,"Required full school year",,,,
"18","California","CA","District","No","Alta Loma Elementary","Regular local school district","0602160","3667595","5659","Required full school year",,,,,"Required full school year",,,,
"19","California","CA","District","No","Alta Vista Elementary","Regular local school district","0602220","5471811","1444","Required full school year",,,,,"Required full school year",,,,
"20","California","CA","District","No","Alum Rock Union Elementary","Regular local school district","0602310","4369369","9850","Required full school year",,,,,"Required full school year",,,,
"21","California","CA","District","No","Alview-Dairyland Union Elementary","Regular local school district","0602360","2065177","364","Required full school year",,,,,"Required full school year",,,,
"22","California","CA","District","Yes","Alvina Elementary","Charter agency","0602370","1061994","185","Required full school year",,,,,"Required full school year",,,,
"23","California","CA","District","No","Alvord Unified","Regular local school district","0602430","3366977","17682","Required full school year",,,,,"Required full school year",,,,
"24","California","CA","District","No","Amador County Office Of Education","Regular local school district","0691001","0310033","25","Required full school year",,,,,"Required full school year",,,,
"25","California","CA","District","No","Amador County Unified","Regular local school district","0602450","0373981","3889","Required full school year",,,,,"Required full school year",,,,
"26","California","CA","District","No","Anaheim Elementary","Regular local school district","0602610","3066423","16161","Required full school year",,,,,"Required full school year",,,,
"27","California","CA","District","No","Anaheim Union High","Regular local school district","0602630","3066431","29183","Required full school year",,,,,"Required full school year",,,,
"28","California","CA","District","No","Anderson Union High","Regular local school district","0602700","4569856","1619","Required full school year",,,,,"Required full school year",,,,
"29","California","CA","District","No","Anderson Valley Unified","Regular local school district","0602730","2365540","434","Required full school year",,,,,"Required full school year",,,,
"30","California","CA","District","No","Antelope Elementary","Regular local school district","0602760","5271472","817","Required full school year",,,,,"Required full school year",,,,
"31","California","CA","District","No","Antelope Valley Union High","Regular local school district","0602820","1964246","22792","Required full school year",,,,,"Required full school year",,,,
"32","California","CA","District","No","Antioch Unified","Regular local school district","0602850","0761648","16599","Required full school year",,,,,"Required full school year",,,,
"33","California","CA","District","No","Apple Valley Unified","Regular local school district","0600017","3675077","14358","Required full school year",,,,,"Required full school year",,,,
"34","California","CA","District","No","Arcadia Unified","Regular local school district","0602970","1964261","8946","Required full school year",,,,,"Required full school year",,,,
"35","California","CA","District","No","Arcata Elementary","Regular local school district","0603000","1262679","1137","Required full school year",,,,,"Required full school year",,,,
"36","California","CA","District","No","Arcohe Union Elementary","Regular local school district","0603060","3467280","466","Required full school year",,,,,"Required full school year",,,,
"37","California","CA","District","No","Arena Union Elementary","Local school district that is a component of a supervisory union","0603090","2365557","276","Required full school year",,,,,"Required full school year",,,,
"38","California","CA","District","No","Armona Union Elementary","Regular local school district","0603180","1663875","1739","Required full school year",,,,,"Required full school year",,,,
"39","California","CA","District","No","Aromas - San Juan Unified","Regular local school district","0691136","3575259","1017","Required full school year",,,,,"Required full school year",,,,
"40","California","CA","District","No","Arvin Union","Regular local school district","0603270","1563313","3024","Required full school year",,,,,"Required full school year",,,,
"41","California","CA","District","No","Atascadero Unified","Regular local school district","0603300","4068700","4397","Required full school year",,,,,"Required full school year",,,,
"42","California","CA","District","No","Atwater Elementary","Regular local school district","0603420","2465631","4815","Required full school year",,,,,"Required full school year",,,,
"43","California","CA","District","No","Auburn Union Elementary","Regular local school district","0603480","3166787","1741","Required full school year",,,,,"Required full school year",,,,
"44","California","CA","District","Yes","Audeo Charter Ii District","Charter agency","0601855","0134577","244","Required full school year",,,,,"Required full school year",,,,
"45","California","CA","District","No","Azusa Unified","Regular local school district","0603600","1964279","7330","Required full school year",,,,,"Required full school year",,,,
"46","California","CA","District","No","Baker Valley Unified","Regular local school district","0603610","3673858","127","Required full school year",,,,,"Required full school year",,,,
"47","California","CA","District","No","Bakersfield City","Regular local school district","0603630","1563321","29307","Required full school year",,,,,"Required full school year",,,,
"48","California","CA","District","No","Baldwin Park Unified","Regular local school district","0603690","1964287","14730","Required full school year",,,,,"Required full school year",,,,
"49","California","CA","District","No","Ballard Elementary","Regular local school district","0603720","4269104","128","Required full school year",,,,,"Required full school year",,,,
"50","California","CA","District","No","Ballico-Cressey Elementary","Regular local school district","0603750","2465649","348","Required full school year",,,,,"Required full school year",,,,
"51","California","CA","District","No","Bangor Union Elementary","Regular local school district","0603780","0461382","107","Required full school year",,,,,"Required full school year",,,,
"52","California","CA","District","No","Banning Unified","Regular local school district","0603840","3366985","4440","Required full school year",,,,,"Required full school year",,,,
"53","California","CA","District","No","Banta Elementary","Regular local school district","0603870","3968486","1943","Required full school year",,,,,"Required full school year",,,,
"54","California","CA","District","No","Barstow Unified","Regular local school district","0604020","3667611","6129","Required full school year",,,,,"Required full school year",,,,
"55","California","CA","District","No","Bass Lake Joint Union Elementary","Regular local school district","0604080","2065185","826","Required full school year",,,,,"Required full school year",,,,
"56","California","CA","District","No","Bassett Unified","Regular local school district","0604110","1964295","3215","Required full school year",,,,,"Required full school year",,,,
"57","California","CA","District","Yes","Baypoint Preparatory Academy - San Diego District","Charter agency","0602295","0138099","151","Required full school year",,,,,"Required full school year",,,,
"58","California","CA","District","No","Bayshore Elementary","Regular local school district","0604200","4168858","361","Required full school year",,,,,"Required full school year",,,,
"59","California","CA","District","No","Bear Valley Unified","Regular local school district","0604230","3667637","2238","Required full school year",,,,,"Required full school year",,,,
"60","California","CA","District","No","Beardsley Elementary","Regular local school district","0604260","1563339","1857","Required full school year",,,,,"Required full school year",,,,
"61","California","CA","District","No","Beaumont Unified","Regular local school district","0604290","3366993","14896","Required full school year",,,,,"Required full school year",,,,
"62","California","CA","District","No","Bella Vista Elementary","Regular local school district","0604350","4569872","337","Required full school year",,,,,"Required full school year",,,,
"63","California","CA","District","No","Belleview Elementary","Regular local school district","0604500","5572306","164","Required full school year",,,,,"Required full school year",,,,
"64","California","CA","District","No","Bellevue Union","Regular local school district","0604380","4970615","1544","Required full school year",,,,,"Required full school year",,,,
"65","California","CA","District","No","Bellflower Unified","Regular local school district","0604440","1964303","10723","Required full school year",,,,,"Required full school year",,,,
"66","California","CA","District","No","Belmont-Redwood Shores Elementary","Regular local school district","0604530","4168866","4152","Required full school year",,,,,"Required full school year",,,,
"67","California","CA","District","No","Belridge Elementary","Regular local school district","0604560","1563347","25","Required full school year",,,,,"Required full school year",,,,
"68","California","CA","District","No","Benicia Unified","Regular local school district","0604620","4870524","4526","Required full school year",,,,,"Required full school year",,,,
"69","California","CA","District","No","Bennett Valley Union Elementary","Regular local school district","0604650","4970623","989","Required full school year",,,,,"Required full school year",,,,
