"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Colorado","CO","District","No","Academy School District 20","Regional education service agency","800237","1040","25463","Required full school year",,,,,"Required full school year",,,,
"2","Colorado","CO","District","No","Adams 12 Five Star Schools","Regular local school district","806900","20","35817","Required full school year",,,,,"Required full school year",,,,
"3","Colorado","CO","District","No","Adams Arapahoe 28j (Aurora)","Regular local school district","802340","180","36396","Required full school year",,,,,"Required full school year",,,,
"4","Colorado","CO","District","No","Adams County 14","Regular local school district","801950","30","5725","Required full school year",,,,,"Required full school year",,,,
"5","Colorado","CO","District","No","Agate 300","Regular local school district","801980","960","64","Required full school year",,,,,"Required full school year",,,,
"6","Colorado","CO","District","No","Aguilar Reorganized 6","Regular local school district","802010","1620","88","Required full school year",,,,,"Required full school year",,,,
"7","Colorado","CO","District","No","Akron R-1","Regional education service agency","800247","3030","376","Required full school year",,,,,"Required full school year",,,,
"8","Colorado","CO","District","No","Alamosa Re-11j","Regular local school district","802070","100","2176","Required full school year",,,,,"Required full school year",,,,
"9","Colorado","CO","District","No","Archuleta County 50 Jt","Regular local school district","802190","220","1599","Required full school year",,,,,"Required full school year",,,,
"10","Colorado","CO","District","No","Arickaree R-2","Regional education service agency","800224","3040","87","Required full school year",,,,,"Required full school year",,,,
"11","Colorado","CO","District","No","Arriba-Flagler C-20","Regular local school district","802260","1450","140","Required full school year",,,,,"Required full school year",,,,
"12","Colorado","CO","District","No","Aspen 1","Regular local school district","802280","2640","1576","Required full school year",,,,,"Required full school year",,,,
"13","Colorado","CO","District","No","Ault-Highland Re-9","Regular local school district","802310","3145","901","Required full school year",,,,,"Required full school year",,,,
"14","Colorado","CO","District","No","Bayfield 10 Jt-R","Regular local school district","802400","1530","1314","Required full school year",,,,,"Required full school year",,,,
"15","Colorado","CO","District","No","Bennett 29j","Regular local school district","802430","50","1132","Required full school year",,,,,"Required full school year",,,,
"16","Colorado","CO","District","No","Bethune R-5","Regular local school district","802460","1490","101","Required full school year",,,,,"Required full school year",,,,
"17","Colorado","CO","District","No","Big Sandy 100j","Regular local school district","806600","940","279","Required full school year",,,,,"Required full school year",,,,
"18","Colorado","CO","District","No","Boulder Valley Re 2","Regular local school district","802490","480","28511","Required full school year",,,,,"Required full school year",,,,
"19","Colorado","CO","District","No","Branson Reorganized 82","Regular local school district","802520","1750","594","Required full school year",,,,,"Required full school year",,,,
"20","Colorado","CO","District","No","Briggsdale Re-10","Regular local school district","802550","3146","158","Required full school year",,,,,"Required full school year",,,,
"21","Colorado","CO","District","No","Brush Re-2(J)","Regular local school district","802610","2395","1237","Required full school year",,,,,"Required full school year",,,,
"22","Colorado","CO","District","No","Buena Vista R-31","Regular local school district","802640","490","889","Required full school year",,,,,"Required full school year",,,,
"23","Colorado","CO","District","No","Buffalo Re-4j","Regular local school district","805640","1860","308","Required full school year",,,,,"Required full school year",,,,
"24","Colorado","CO","District","No","Burlington Re-6j","Regular local school district","802670","1500","674","Required full school year",,,,,"Required full school year",,,,
"25","Colorado","CO","District","No","Byers 32j","Regular local school district","802700","190","5322","Required full school year",,,,,"Required full school year",,,,
"26","Colorado","CO","District","No","Calhan Rj-1","Regular local school district","802730","970","434","Required full school year",,,,,"Required full school year",,,,
"27","Colorado","CO","District","No","Campo Re-6","Regular local school district","802760","270","46","Required full school year",,,,,"Required full school year",,,,
"28","Colorado","CO","District","No","Canon City Re-1","Regular local school district","802790","1140","3245","Required full school year",,,,,"Required full school year",,,,
"29","Colorado","CO","District","No","Centennial R-1","Regular local school district","806360","640","198","Required full school year",,,,,"Required full school year",,,,
"30","Colorado","CO","District","No","Center 26 Jt","Regular local school district","802850","2810","559","Required full school year",,,,,"Required full school year",,,,
"31","Colorado","CO","District","No","Cheraw 31","Regular local school district","802880","2560","205","Required full school year",,,,,"Required full school year",,,,
"32","Colorado","CO","District","No","Cherry Creek 5","Regular local school district","802910","130","52804","Required full school year",,,,,"Required full school year",,,,
"33","Colorado","CO","District","No","Cheyenne County Re-5","Regular local school district","800001","520","166","Required full school year",,,,,"Required full school year",,,,
"34","Colorado","CO","District","No","Cheyenne Mountain 12","Regional education service agency","800268","1020","5143","Required full school year",,,,,"Required full school year",,,,
"35","Colorado","CO","District","No","Clear Creek Re-1","Regular local school district","803000","540","639","Required full school year",,,,,"Required full school year",,,,
"36","Colorado","CO","District","No","Colorado Springs 11","Regional education service agency","800258","1010","23035","Required full school year",,,,,"Required full school year",,,,
"37","Colorado","CO","District","No","Cotopaxi Re-3","Regular local school district","803120","1160","176","Required full school year",,,,,"Required full school year",,,,
"38","Colorado","CO","District","No","Creede School District","Regular local school district","803150","2010","81","Required full school year",,,,,"Required full school year",,,,
