"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Connecticut","CT","District","Yes","Achievement First Bridgeport Academy District","Charter agency","900208","2850013","879","Required full school year",,,,,"Required full school year",,,,
"2","Connecticut","CT","District","Yes","Achievement First Hartford Academy District","Charter agency","900212","2880013","1201","Required full school year",,,,,"Required full school year",,,,
"3","Connecticut","CT","District","Yes","Amistad Academy District","Charter agency","900024","2790013","1602","Required full school year",,,,,"Required full school year",,,,
"4","Connecticut","CT","District","No","Andover School District","Regular local school district","900030","10011","173","Required full school year",,,,,"Required full school year",,,,
"5","Connecticut","CT","District","No","Ansonia School District","Regular local school district","900060","20011","2235","Required full school year",,,,,"Required full school year",,,,
"6","Connecticut","CT","District","No","Area Cooperative Educational Services","Specialized public school district","900070","2440014","2151","Required full school year",,,,,"Required full school year",,,,
"7","Connecticut","CT","District","No","Ashford School District","Regular local school district","900090","30011","366","Required full school year",,,,,"Required full school year",,,,
"8","Connecticut","CT","District","No","Avon School District","Regular local school district","900120","40011","3111","Required full school year",,,,,"Required full school year",,,,
"9","Connecticut","CT","District","No","Barkhamsted School District","Regular local school district","900150","50011","189","Required full school year",,,,,"Required full school year",,,,
"10","Connecticut","CT","District","No","Berlin School District","Regular local school district","900210","70011","2691","Required full school year",,,,,"Required full school year",,,,
"11","Connecticut","CT","District","No","Bethany School District","Regular local school district","900240","80011","369","Required full school year",,,,,"Required full school year",,,,
"12","Connecticut","CT","District","No","Bethel School District","Regular local school district","900270","90011","3079","Required full school year",,,,,"Required full school year",,,,
"13","Connecticut","CT","District","No","Bloomfield School District","Regular local school district","900330","110011","2060","Required full school year",,,,,"Required full school year",,,,
"14","Connecticut","CT","District","No","Bolton School District","Regular local school district","900360","120011","747","Required full school year",,,,,"Required full school year",,,,
