"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Delaware","DE","District","Yes","Academia Antonia Alonso","Charter agency","1000053","9605","612","Required full school year",,,,,"Required full school year",,,,
"2","Delaware","DE","District","Yes","Academy Of Dover Charter School","Charter agency","1000017","85","329","Required full school year",,,,,"Required full school year",,,,
"3","Delaware","DE","District","No","Appoquinimink School District","Regular local school district","1000080","29","11914","Required full school year",,,,,"Required full school year",,,,
"4","Delaware","DE","District","No","Brandywine School District","Regular local school district","1001240","31","10405","Required full school year",,,,,"Required full school year",,,,
"5","Delaware","DE","District","No","Caesar Rodney School District","Regular local school district","1000180","10","7966","Required full school year",,,,,"Required full school year",,,,
"6","Delaware","DE","District","Yes","Campus Community School","Charter agency","1000007","74","413","Required full school year",,,,,"Required full school year",,,,
"7","Delaware","DE","District","No","Cape Henlopen School District","Regular local school district","1000170","17","5892","Required full school year",,,,,"Required full school year",,,,
"8","Delaware","DE","District","No","Capital School District","Regular local school district","1000190","13","6332","Required full school year",,,,,"Required full school year",,,,
"9","Delaware","DE","District","Yes","Charter School Of New Castle","Charter agency","1000024","80","762","Required full school year",,,,,"Required full school year",,,,
"10","Delaware","DE","District","No","Christina School District","Regular local school district","1000200","33","13113","Required full school year",,,,,"Required full school year",,,,
"11","Delaware","DE","District","No","Colonial School District","Regular local school district","1000230","34","9795","Required full school year",,,,,"Required full school year",,,,
"12","Delaware","DE","District","No","Delmar School District","Regular local school district","1000270","37","1377","Required full school year",,,,,"Required full school year",,,,
"13","Delaware","DE","District","Yes","Early College High School At Del State","Charter agency","1000055","9604","399","Required full school year",,,,,"Required full school year",,,,
"14","Delaware","DE","District","Yes","East Side Charter School","Charter agency","1000006","72","449","Required full school year",,,,,"Required full school year",,,,
"15","Delaware","DE","District","Yes","Edison (Thomas A.) Charter School","Charter agency","1000010","76","701","Required full school year",,,,,"Required full school year",,,,
"16","Delaware","DE","District","Yes","First State Military Academy","Charter agency","1000057","9607","458","Required full school year",,,,,"Required full school year",,,,
"17","Delaware","DE","District","Yes","First State Montessori Academy","Charter agency","1000054","9606","604","Required full school year",,,,,"Required full school year",,,,
"18","Delaware","DE","District","Yes","Freire Charter School Wilmington","Charter agency","1000059","9612","501","Required full school year",,,,,"Required full school year",,,,
"19","Delaware","DE","District","Yes","Gateway Lab School","Charter agency","1000052","92","158","Required full school year",,,,,"Required full school year",,,,
"20","Delaware","DE","District","Yes","Great Oaks Charter School","Charter agency","1000062","9611","318","Required full school year",,,,,"Required full school year",,,,
"21","Delaware","DE","District","No","Indian River School District","Regular local school district","1000680","36","10592","Required full school year",,,,,"Required full school year",,,,
"22","Delaware","DE","District","Yes","Kuumba Academy Charter School","Charter agency","1000014","82","644","Required full school year",,,,,"Required full school year",,,,
"23","Delaware","DE","District","No","Lake Forest School District","Regular local school district","1000790","15","3505","Required full school year",,,,,"Required full school year",,,,
"24","Delaware","DE","District","Yes","Las Americas Aspira Academy","Charter agency","1000050","69","1060","Required full school year",,,,,"Required full school year",,,,
"25","Delaware","DE","District","No","Laurel School District","Regular local school district","1000810","16","2546","Required full school year",,,,,"Required full school year",,,,
"26","Delaware","DE","District","No","Milford School District","Regular local school district","1001080","18","4267","Required full school year",,,,,"Required full school year",,,,
"27","Delaware","DE","District","Yes","Mot Charter School","Charter agency","1000019","88","1383","Required full school year",,,,,"Required full school year",,,,
"28","Delaware","DE","District","No","New Castle County Vocational-Technical School District","Regular local school district","1001280","38","4691","Required full school year",,,,,"Required full school year",,,,
"29","Delaware","DE","District","Yes","Newark Charter School","Charter agency","1000015","89","2436","Required full school year",,,,,"Required full school year",,,,
"30","Delaware","DE","District","Yes","Odyssey Charter School","Charter agency","1000026","86","1926","Required full school year",,,,,"Required full school year",,,,
"31","Delaware","DE","District","No","Polytech School District","Regular local school district","1000750","39","1182","Required full school year",,,,,"Required full school year",,,,
"32","Delaware","DE","District","Yes","Positive Outcomes Charter School","Charter agency","1000005","71","112","Required full school year",,,,,"Required full school year",,,,
"33","Delaware","DE","District","Yes","Providence Creek Academy Charter School","Charter agency","1000018","87","707","Required full school year",,,,,"Required full school year",,,,
"34","Delaware","DE","District","No","Red Clay Consolidated School District","Regular local school district","1001300","32","16601","Required full school year",,,,,"Required full school year",,,,
"35","Delaware","DE","District","No","Seaford School District","Regular local school district","1001530","23","3278","Required full school year",,,,,"Required full school year",,,,
"36","Delaware","DE","District","No","Smyrna School District","Regular local school district","1001620","24","5883","Required full school year",,,,,"Required full school year",,,,
"37","Delaware","DE","District","Yes","Sussex Academy","Charter agency","1000011","77","1126","Required full school year",,,,,"Required full school year",,,,
"38","Delaware","DE","District","Yes","Sussex Montessori School","Charter agency","1000063","9614","260","Required full school year",,,,,"Required full school year",,,,
"39","Delaware","DE","District","No","Sussex Technical School District","Regular local school district","1001680","40","1239","Required full school year",,,,,"Required full school year",,,,
"40","Delaware","DE","District","No","Woodbridge School District","Regular local school district","1001850","35","2478","Required full school year",,,,,"Required full school year",,,,
