"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","District of Columbia","DC","District","Yes","Achievement Preparatory Academy Pcs","Charter agency","1100072","155","182",,,,,,,,,,
"2","District of Columbia","DC","District","Yes","Appletree Early Learning Pcs","Charter agency","1100054","103","0",,,,,,,,,,
"3","District of Columbia","DC","District","Yes","Basis Dc Pcs","Charter agency","1100083","168","664",,,,,,,,,,
"4","District of Columbia","DC","District","Yes","Breakthrough Montessori Pcs","Charter agency","1100104","189","159",,,,,,,,,,
"5","District of Columbia","DC","District","Yes","Bridges Pcs","Charter agency","1100055","107","298",,,,,,,,,,
"6","District of Columbia","DC","District","Yes","Briya Pcs","Charter agency","1100016","119","0","Required full school year",,,,,"Required full school year",,,,
"7","District of Columbia","DC","District","Yes","Capital City Pcs","Charter agency","1100035","108","942","Required full school year",,,,,"Required full school year",,,,
"8","District of Columbia","DC","District","Yes","Capital Village Pcs","Charter Agency","1100112","334","52",,,,,,,,,,
"9","District of Columbia","DC","District","Yes","Carlos Rosario International Pcs","Charter agency","1100004","162","0",,,,,,,,,,
"10","District of Columbia","DC","District","Yes","Cedar Tree Academy Pcs","Charter agency","1100029","123","225","Required full school year",,,,,"Required full school year",,,,
"11","District of Columbia","DC","District","Yes","Center City Pcs","Charter agency","1100073","156","1259",,,,,,,,,,
"12","District of Columbia","DC","District","Yes","Cesar Chavez Pcs For Public Policy","Charter agency","1100005","109","390",,,,,,,,,,
"13","District of Columbia","DC","District","Yes","Creative Minds International Pcs","Charter agency","1100084","169","435","Required at least part of school year",,,,,"Required at least part of school year",,,,
"14","District of Columbia","DC","District","Yes","Dc Bilingual Pcs","Charter agency","1100042","114","378","Required full school year",,,,,"Required full school year",,,,
"15","District of Columbia","DC","District","Yes","Dc Prep Pcs","Charter agency","1100048","115","1723",,,,,,,,,,
"16","District of Columbia","DC","District","Yes","Dc Scholars Pcs","Charter agency","1100085","170","500",,,,,,,,,,
"17","District of Columbia","DC","District","Yes","Digital Pioneers Academy Pcs","Charter agency","1100109","317","340","Required full school year",,,,,"Required full school year",,,,
"18","District of Columbia","DC","District","Yes","District Of Columbia International School","Charter agency","1100097","181","1452","Required full school year",,,,,"Required full school year",,,,
"19","District of Columbia","DC","District","No","District Of Columbia Public Schools","Regular local school district","1100030","001","44394",,,,,,,,,,
"20","District of Columbia","DC","District","Yes","E.l. Haynes Pcs","Charter agency","1100043","116","1108","Required full school year",,,,,"Required full school year",,,,
"21","District of Columbia","DC","District","Yes","Eagle Academy Pcs","Charter agency","1100049","117","517",,,,,,,,,,
"22","District of Columbia","DC","District","Yes","Early Childhood Academy Pcs","Charter agency","1100057","118","191",,,,,,,,,,
"23","District of Columbia","DC","District","Yes","Elsie Whitlow Stokes Community Freedom Pcs","Charter agency","1100009","144","409",,,,,,,,,,
"24","District of Columbia","DC","District","Yes","Friendship Pcs","Charter agency","1100008","120","4046","Required full school year",,,,,"Required full school year",,,,
"25","District of Columbia","DC","District","Yes","Girls Global Academy Pcs","Charter Agency","1100113","340","65","Required full school year",,,,,"Required full school year",,,,
"26","District of Columbia","DC","District","Yes","Goodwill Excel Center Pcs","Charter agency","1100105","190","362",,,,,,,,,,
"27","District of Columbia","DC","District","Yes","Harmony Dc Pcs","Charter agency","1100096","180","114",,,,,,,,,,
