"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Georgia","GA","District","No","Appling County","Regular local school district","1300060","601","3268","Not required",,,,,"Not required",,,,
"2","Georgia","GA","District","No","Atkinson County","Regular local school district","1300090","602","1557",,,,,,,,,,
"3","Georgia","GA","District","No","Atlanta Public Schools","Regular local school district","1300120","761","49858",,,,,,,,,,
"4","Georgia","GA","District","No","Bacon County","Regular local school district","1300150","603","1980",,,,,,,,,,
"5","Georgia","GA","District","No","Baker County","Regular local school district","1300180","604","276",,,,,,,,,,
"6","Georgia","GA","District","No","Baldwin County","Regular local school district","1300210","605","4719","Required full school year",,,,,"Required full school year",,,,
"7","Georgia","GA","District","No","Banks County","Regular local school district","1300240","606","2727",,,,,,,,,,
"8","Georgia","GA","District","No","Barrow County","Regular local school district","1300290","607","13588","Required full school year",,,,,"Required full school year",,,,
"9","Georgia","GA","District","No","Bartow County","Regular local school district","1300330","608","12849",,,,,,,,,,
"10","Georgia","GA","District","No","Ben Hill County","Regular local school district","1300360","609","2833",,,,,,,,,,
"11","Georgia","GA","District","No","Berrien County","Regular local school district","1300390","610","2886",,,,,,,,,,
"12","Georgia","GA","District","No","Bibb County","Regular local school district","1300420","611","20548",,,,,,,,,,
"13","Georgia","GA","District","No","Bleckley County","Regular local school district","1300440","612","2384","Required at least part of school year","8/24/20","5/21/21",,,"Required at least part of school year","8/24/20","5/21/21",,
"14","Georgia","GA","District","No","Brantley County","Regular local school district","1300480","613","3201",,,,,,,,,,
"15","Georgia","GA","District","No","Bremen City","Regular local school district","1300510","763","2213",,,,,,,,,,
"16","Georgia","GA","District","No","Brooks County","Regular local school district","1300540","614","2092",,,,,,,,,,
"17","Georgia","GA","District","No","Bryan County","Regular local school district","1300570","615","9415",,,,,,,,,,
"18","Georgia","GA","District","No","Buford City","Regular local school district","1300600","764","5447",,,,,,,,,,
"19","Georgia","GA","District","No","Bulloch County","Regular local school district","1300630","616","10394",,,,,,,,,,
"20","Georgia","GA","District","No","Burke County","Regular local school district","1300660","617","3954","Required full school year",,,,,"Required full school year",,,,
"21","Georgia","GA","District","No","Butts County","Regular local school district","1300690","618","3281","Required full school year","9/1/20","5/28/21",,,"Required at least part of school year","10/1/20","5/28/21",,
"22","Georgia","GA","District","No","Calhoun City","Regular local school district","1300720","765","3965",,,,,,,,,,
"23","Georgia","GA","District","No","Calhoun County","Regular local school district","1300750","619","469",,,,,,,,,,
"24","Georgia","GA","District","No","Camden County","Regular local school district","1300780","620","8873",,,,,,,,,,
"25","Georgia","GA","District","No","Candler County","Regular local school district","1300810","621","2102",,,,,,,,,,
