"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Idaho","ID","District","No","Aberdeen District","Regular local school district","1600030","058","694","Required full school year",,,,,"Required full school year",,,,
"2","Idaho","ID","District","No","American Falls Joint District","Regular local school district","1600060","381","1523","Required full school year",,,,,"Required full school year",,,,
"3","Idaho","ID","District","Yes","American Heritage Charter School Inc.","Charter agency","1600162","482","446","Required full school year",,,,,"Required full school year",,,,
"4","Idaho","ID","District","Yes","Another Choice Virtual Charter School Inc.","Charter agency","1600155","476","509","Required full school year",,,,,"Required full school year",,,,
"5","Idaho","ID","District","Yes","Anser Of Idaho Inc.","Charter agency","1600195","492","430","Required full school year",,,,,"Required full school year",,,,
"6","Idaho","ID","District","No","Arbon Elementary District","Regular local school district","1600090","383","17","Required full school year",,,,,"Required full school year",,,,
"7","Idaho","ID","District","No","Avery Elementary District","Regular local school district","1600150","394","23","Required full school year",,,,,"Required full school year",,,,
"8","Idaho","ID","District","No","Basin School District","Regular local school district","1600180","072","338","Required full school year",,,,,"Required full school year",,,,
"9","Idaho","ID","District","No","Bear Lake County District","Regular local school district","1600240","033","1321","Required full school year",,,,,"Required full school year",,,,
"10","Idaho","ID","District","Yes","Blackfoot Charter Community Learning Center Inc.","Charter agency","1600153","477","441","Required full school year",,,,,"Required full school year",,,,
"11","Idaho","ID","District","No","Blackfoot District","Regular local school district","1600270","055","3935","Required full school year",,,,,"Required full school year",,,,
"12","Idaho","ID","District","No","Blaine County District","Regular local school district","1600300","061","3157","Required full school year",,,,,"Required full school year",,,,
"13","Idaho","ID","District","No","Bliss Joint District","Regular local school district","1600330","234","102","Required full school year",,,,,"Required full school year",,,,
"14","Idaho","ID","District","No","Boise Independent District","Regular local school district","1600360","001","23854","Required full school year",,,,,"Required full school year",,,,
"15","Idaho","ID","District","No","Bonneville Joint District","Regular local school district","1600930","093","13224","Required full school year",,,,,"Required full school year",,,,
"16","Idaho","ID","District","No","Boundary County District","Regular local school district","1600420","101","1329","Required full school year",,,,,"Required full school year",,,,
"17","Idaho","ID","District","No","Bruneau-Grand View Joint School District","Regular local school district","1600450","365","305","Required full school year",,,,,"Required full school year",,,,
"18","Idaho","ID","District","No","Buhl Joint District","Regular local school district","1600480","412","1221","Required full school year",,,,,"Required full school year",,,,
"19","Idaho","ID","District","No","Butte County Joint District","Regular local school district","1600490","111","367","Required full school year",,,,,"Required full school year",,,,
"20","Idaho","ID","District","No","Caldwell District","Regular local school district","1600510","132","5595","Required full school year",,,,,"Required full school year",,,,
"21","Idaho","ID","District","No","Camas County District","Regular local school district","1600540","121","189","Required full school year",,,,,"Required full school year",,,,
"22","Idaho","ID","District","No","Cambridge Joint District","Regular local school district","1600570","432","176","Required full school year",,,,,"Required full school year",,,,
"23","Idaho","ID","District","No","Cascade District","Regular local school district","1600630","422","226","Required full school year",,,,,"Required full school year",,,,
"24","Idaho","ID","District","No","Cassia County Joint District","Regular local school district","1600660","151","5434","Required full school year",,,,,"Required full school year",,,,
"25","Idaho","ID","District","No","Castleford District","Regular local school district","1600690","417","336","Required full school year",,,,,"Required full school year",,,,
"26","Idaho","ID","District","No","Challis Joint District","Regular local school district","1600720","181","307","Required full school year",,,,,"Required full school year",,,,
"27","Idaho","ID","District","Yes","Chief Tahgee Elementary Academy Inc.","Charter agency","1600163","483","111","Required full school year",,,,,"Required full school year",,,,
"28","Idaho","ID","District","No","Clark County District","Regular local school district","1600750","161","117","Required full school year",,,,,"Required full school year",,,,
"29","Idaho","ID","District","Yes","Coeur D'alene Charter Academy Inc.","Charter agency","1600173","491","613","Required full school year",,,,,"Required full school year",,,,
"30","Idaho","ID","District","No","Coeur D'alene District","Regular local school district","1600780","271","10061","Required full school year",,,,,"Required full school year",,,,
"31","Idaho","ID","District","Yes","Compass Public Charter School Inc.","Charter agency","1600007","455","1211","Required full school year",,,,,"Required full school year",,,,
"32","Idaho","ID","District","No","Cottonwood Joint District","Regular local school district","1600810","242","405","Required full school year",,,,,"Required full school year",,,,
"33","Idaho","ID","District","No","Council District","Regular local school district","1600840","013","290","Required full school year",,,,,"Required full school year",,,,
"34","Idaho","ID","District","No","Culdesac Joint District","Regular local school district","1600870","342","116","Required full school year",,,,,"Required full school year",,,,
"35","Idaho","ID","District","No","Dietrich District","Regular local school district","1600900","314","209","Required full school year",,,,,"Required full school year",,,,
"36","Idaho","ID","District","Yes","Elevate Academy Inc.","Charter agency","1600189","523","412","Required full school year",,,,,"Required full school year",,,,
"37","Idaho","ID","District","No","Emmett Independent District","Regular local school district","1601020","221","2479","Required full school year",,,,,"Required full school year",,,,
"38","Idaho","ID","District","Yes","Falcon Ridge Public Charter School Inc.","Charter agency","1600008","456","273","Required full school year",,,,,"Required full school year",,,,
"39","Idaho","ID","District","Yes","Fern-Waters Public Charter School Inc.","Charter agency","1600186","531","61","Required full school year",,,,,"Required full school year",,,,
"40","Idaho","ID","District","No","Filer District","Regular local school district","1601050","413","1597","Required full school year",,,,,"Required full school year",,,,
"41","Idaho","ID","District","No","Firth District","Regular local school district","1601080","059","824","Required full school year",,,,,"Required full school year",,,,
"42","Idaho","ID","District","Yes","Forge International Llc","Charter agency","1600190","528","378","Required full school year",,,,,"Required full school year",,,,
"43","Idaho","ID","District","Yes","Forrester Academy Inc.","Charter agency","1600175","495","580","Required full school year",,,,,"Required full school year",,,,
"44","Idaho","ID","District","No","Fremont County Joint District","Regular local school district","1601110","215","2147","Required full school year",,,,,"Required full school year",,,,
"45","Idaho","ID","District","No","Fruitland District","Regular local school district","1601140","373","1637","Required full school year",,,,,"Required full school year",,,,
"46","Idaho","ID","District","Yes","Future Public School Inc.","Charter agency","1600181","499","326","Required full school year",,,,,"Required full school year",,,,
"47","Idaho","ID","District","No","Garden Valley District","Regular local school district","1601170","071","320","Required full school year",,,,,"Required full school year",,,,
"48","Idaho","ID","District","Yes","Gem Prep: Meridian Llc","Charter agency","1600179","498","467","Required full school year",,,,,"Required full school year",,,,
"49","Idaho","ID","District","Yes","Gem Prep: Online Llc","Charter agency","1600172","534","574","Required full school year",,,,,"Required full school year",,,,
"50","Idaho","ID","District","Yes","Gem Prep: Pocatello Llc","Charter agency","1600177","496","414","Required full school year",,,,,"Required full school year",,,,
"51","Idaho","ID","District","No","Genesee Joint District","Regular local school district","1601200","282","307","Required full school year",,,,,"Required full school year",,,,
"52","Idaho","ID","District","No","Glenns Ferry Joint District","Regular local school district","1601230","192","397","Required full school year",,,,,"Required full school year",,,,
"53","Idaho","ID","District","No","Gooding Joint District","Regular local school district","1601260","231","1298","Required full school year",,,,,"Required full school year",,,,
"54","Idaho","ID","District","No","Grace Joint District","Regular local school district","1601290","148","518","Required full school year",,,,,"Required full school year",,,,
