"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Illinois","IL","District","No","A-C Central Cusd 262","Regular local school district","1700105","01-009-2620-26","358","Required full school year",,,,,"Required full school year",,,,
"2","Illinois","IL","District","No","Abingdon-Avon Cusd 276","Regular local school district","1701413","33-048-2760-26","882","Required full school year",,,,,"Required full school year",,,,
"3","Illinois","IL","District","No","Addison Sd 4","Regular local school district","1703150","19-022-0040-02","3515","Required full school year",,,,,"Required full school year",,,,
"4","Illinois","IL","District","No","Adlai E Stevenson Hsd 125","Regular local school district","1732580","34-049-1250-13","4315","Required full school year",,,,,"Required full school year",,,,
"5","Illinois","IL","District","No","Akin Ccsd 91","Regular local school district","1703210","21-028-0910-04","93","Required full school year",,,,,"Required full school year",,,,
"6","Illinois","IL","District","No","Albers Sd 63","Regular local school district","1703270","13-014-0630-02","161","Required full school year",,,,,"Required full school year",,,,
"7","Illinois","IL","District","No","Alden Hebron Sd 19","Regular local school district","1703300","44-063-0190-24","346","Required full school year",,,,,"Required full school year",,,,
"8","Illinois","IL","District","No","Allen-Otter Creek Ccsd 65","Regular local school district","1703420","35-050-0650-04","79","Required full school year",,,,,"Required full school year",,,,
"9","Illinois","IL","District","No","Allendale Ccsd 17","Regular local school district","1703450","20-093-0170-24","114","Required full school year",,,,,"Required full school year",,,,
"10","Illinois","IL","District","No","Alsip-Hazlgrn-Oaklwn Sd 126","Regular local school district","1703480","07-016-1260-02","1487","Required full school year",,,,,"Required full school year",,,,
"11","Illinois","IL","District","No","Altamont Cusd 10","Regular local school district","1703510","03-025-0100-26","684","Required full school year",,,,,"Required full school year",,,,
"12","Illinois","IL","District","No","Alton Cusd 11","Regular local school district","1703600","41-057-0110-26","5778","Required full school year",,,,,"Required full school year",,,,
"13","Illinois","IL","District","No","Alwood Cusd 225","Regular local school district","1703660","28-037-2250-26","340","Required full school year",,,,,"Required full school year",,,,
"14","Illinois","IL","District","Yes","Amandla Charter School","Charter agency","1701426","15-016-9020-25","171","Required full school year",,,,,"Required full school year",,,,
"15","Illinois","IL","District","No","Amboy Cusd 272","Regular local school district","1703690","47-052-2720-26","676","Required full school year",,,,,"Required full school year",,,,
"16","Illinois","IL","District","No","Anna Ccsd 37","Regular local school district","1703750","30-091-0370-04","598","Required full school year",,,,,"Required full school year",,,,
"17","Illinois","IL","District","No","Anna Jonesboro Chsd 81","Regular local school district","1703780","30-091-0810-16","522","Required full school year",,,,,"Required full school year",,,,
"18","Illinois","IL","District","No","Annawan Cusd 226","Regular local school district","1703810","28-037-2260-26","298","Required full school year",,,,,"Required full school year",,,,
"19","Illinois","IL","District","No","Antioch Ccsd 34","Regular local school district","1703840","34-049-0340-04","2508","Required full school year",,,,,"Required full school year",,,,
"20","Illinois","IL","District","No","Aptakisic-Tripp Ccsd 102","Regular local school district","1703900","34-049-1020-04","2437","Required full school year",,,,,"Required full school year",,,,
