"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Indiana","IN","District","Yes","21st Century Charter Sch Of Gary","Charter agency","1800046","9545","1264","Required full school year",,,,,"Required full school year",,,,
"2","Indiana","IN","District","Yes","Ace Preparatory Academy","Charter agency","1800172","9970","161","Required full school year",,,,,"Required full school year",,,,
"3","Indiana","IN","District","No","Adams Central Community Schools","Regular local school district","1800060","0015","1280","Required full school year",,,,,"Required full school year",,,,
"4","Indiana","IN","District","No","Adelante Schools","Other Education Agency","1800216","9130","347","Required full school year",,,,,"Required full school year",,,,
"5","Indiana","IN","District","No","Alexandria Community School Corp","Regular local school district","1800120","5265","1554","Required full school year",,,,,"Required full school year",,,,
"6","Indiana","IN","District","Yes","Allegiant Preparatory Academy","Charter agency","1800199","9065","107","Required full school year",,,,,"Required full school year",,,,
"7","Indiana","IN","District","No","Anderson Community School Corp","Regular local school district","1800150","5275","6389","Required full school year",,,,,"Required full school year",,,,
"8","Indiana","IN","District","Yes","Anderson Preparatory Academy","Charter agency","1800077","9790","849","Required full school year",,,,,"Required full school year",,,,
"9","Indiana","IN","District","Yes","Andrew J Brown Academy","Charter agency","1800042","9615","669","Required full school year",,,,,"Required full school year",,,,
"10","Indiana","IN","District","No","Argos Community Schools","Regular local school district","1800180","5470","593","Required full school year",,,,,"Required full school year",,,,
"11","Indiana","IN","District","Yes","Aspire Charter Academy","Charter agency","1800071","9685","647","Required full school year",,,,,"Required full school year",,,,
"12","Indiana","IN","District","No","Attica Consolidated School Corp","Regular local school district","1800210","2435","575","Required full school year",,,,,"Required full school year",,,,
"13","Indiana","IN","District","No","Avon Community School Corp","Regular local school district","1800270","3315","9827","Required full school year",,,,,"Required full school year",,,,
"14","Indiana","IN","District","Yes","Avondale Meadows Academy","Charter agency","1800057","9645","390","Required full school year",,,,,"Required full school year",,,,
"15","Indiana","IN","District","Yes","Avondale Meadows Middle School","Charter agency","1800184","9040","166","Required full school year",,,,,"Required full school year",,,,
"16","Indiana","IN","District","No","Barr-Reeve Community Schools Inc","Regular local school district","1800330","1315","990","Required full school year",,,,,"Required full school year",,,,
"17","Indiana","IN","District","No","Bartholomew Con School Corp","Regular local school district","1800360","0365","11287","Required full school year",,,,,"Required full school year",,,,
"18","Indiana","IN","District","No","Batesville Community School Corp","Regular local school district","1800390","6895","2130","Required full school year",,,,,"Required full school year",,,,
"19","Indiana","IN","District","No","Baugo Community Schools","Regular local school district","1800420","2260","1864","Required full school year",,,,,"Required full school year",,,,
"20","Indiana","IN","District","No","Beech Grove City Schools","Regular local school district","1800450","5380","2984","Required full school year",,,,,"Required full school year",,,,
"21","Indiana","IN","District","No","Believe Circle City High School","Other Education Agency","1800223","9140","54","Required full school year",,,,,"Required full school year",,,,
"22","Indiana","IN","District","No","Benton Community School Corp","Regular local school district","1800480","0395","1624","Required full school year",,,,,"Required full school year",,,,
"23","Indiana","IN","District","No","Blackford County Schools","Regular local school district","1800570","0515","1508","Required full school year",,,,,"Required full school year",,,,
"24","Indiana","IN","District","No","Bloomfield School District","Regular local school district","1800600","2920","812","Required full school year",,,,,"Required full school year",,,,
"25","Indiana","IN","District","No","Blue River Valley Schools","Regular local school district","1800660","3405","589","Required full school year",,,,,"Required full school year",,,,
"26","Indiana","IN","District","No","Borden-Henryville School Corp","Regular local school district","1800212","0935","1759","Required full school year",,,,,"Required full school year",,,,
"27","Indiana","IN","District","No","Bremen Public Schools","Regular local school district","1800900","5480","1459","Required full school year",,,,,"Required full school year",,,,
"28","Indiana","IN","District","No","Brown County School Corporation","Regular local school district","1800960","0670","1662","Required full school year",,,,,"Required full school year",,,,
"29","Indiana","IN","District","No","Brownsburg Community School Corp","Regular local school district","1801020","3305","9362","Required full school year",,,,,"Required full school year",,,,
"30","Indiana","IN","District","No","Brownstown Cnt Com Sch Corp","Regular local school district","1801050","3695","1481","Required full school year",,,,,"Required full school year",,,,
"31","Indiana","IN","District","No","Burris Laboratory School","Other education agency","1800038","9620","671","Required full school year",,,,,"Required full school year",,,,
"32","Indiana","IN","District","No","C A Beard Memorial School Corp","Regular local school district","1801060","3455","1030","Required full school year",,,,,"Required full school year",,,,
"33","Indiana","IN","District","Yes","Canaan Community Academy","Charter agency","1800129","9725","142","Required full school year",,,,,"Required full school year",,,,
"34","Indiana","IN","District","No","Cannelton City Schools","Regular local school district","1801170","6340","245","Required full school year",,,,,"Required full school year",,,,
"35","Indiana","IN","District","Yes","Career Academy High School","Charter agency","1800101","9880","360","Required full school year",,,,,"Required full school year",,,,
"36","Indiana","IN","District","Yes","Career Academy Middle School","Charter agency","1800164","9965","367","Required full school year",,,,,"Required full school year",,,,
"37","Indiana","IN","District","No","Carmel Clay Schools","Regular local school district","1801200","3060","16307","Required full school year",,,,,"Required full school year",,,,
"38","Indiana","IN","District","No","Carroll Consolidated School Corp","Regular local school district","1801290","0750","1022","Required full school year",,,,,"Required full school year",,,,
"39","Indiana","IN","District","No","Caston School Corporation","Regular local school district","1801410","2650","681","Required full school year",,,,,"Required full school year",,,,
"40","Indiana","IN","District","No","Center Grove Community School Corp","Regular local school district","1801440","4205","8854","Required full school year",,,,,"Required full school year",,,,
"41","Indiana","IN","District","No","Centerville-Abington Com Schs","Regular local school district","1801560","8360","1746","Required full school year",,,,,"Required full school year",,,,
"42","Indiana","IN","District","No","Central Noble Com School Corp","Regular local school district","1801710","6055","1249","Required full school year",,,,,"Required full school year",,,,
"43","Indiana","IN","District","Yes","Charles A Tindley Accelerated Sch","Charter agency","1800045","9445","374","Required full school year",,,,,"Required full school year",,,,
"44","Indiana","IN","District","Yes","Charter School Of The Dunes","Charter agency","1800027","9310","684","Required full school year",,,,,"Required full school year",,,,
"45","Indiana","IN","District","Yes","Christel House Academy South","Charter agency","1800018","9380","674","Required full school year",,,,,"Required full school year",,,,
"46","Indiana","IN","District","Yes","Christel House Academy West","Charter agency","1800149","9395","488","Required full school year",,,,,"Required full school year",,,,
