"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Iowa","IA","District","No","Adair-Casey Comm School District","Regular local school district","1903090","390018 000","233.1",,,,,,,,,,
"2","Iowa","IA","District","No","Adel Desoto Minburn Comm School District","Regular local school district","1903150","250027 000","2071.8",,,,,,,,,,
"3","Iowa","IA","District","No","Agwsr Comm School District","Regular local school district","1903060","420009 000","600.7","Required at least part of school year","10/13/20","5/10/21",,,"Required at least part of school year","10/13/20","5/10/21",,
"4","Iowa","IA","District","No","Ahstw Comm School District","Regular local school district","1904080","780441 000","663.2",,,,,,,,,,
"5","Iowa","IA","District","No","Akron Westfield Comm School District","Regular local school district","1903220","750063 000","505.5",,,,,,,,,,
"6","Iowa","IA","District","No","Albert City-Truesdale Comm School District","Regular local school district","1900031","110072 000","100.5",,,,,,,,,,
"7","Iowa","IA","District","No","Albia Comm School District","Regular local school district","1903270","680081 000","1101.6","Required at least part of school year","10/1/20","5/31/21",,,"Required at least part of school year","10/1/20","5/31/21",,
"8","Iowa","IA","District","No","Alburnett Comm School District","Regular local school district","1903300","570099 000","652",,,,,,,,,,
"9","Iowa","IA","District","No","Alden Comm School District","Regular local school district","1900032","420108 000","132.5",,,,,,,,,,
"10","Iowa","IA","District","No","Algona Comm School District","Regular local school district","1903360","550126 000","1320.3",,,,,,,,,,
"11","Iowa","IA","District","No","Allamakee Comm School District","Regular local school district","1903390","030135 000","1026.1",,,,,,,,,,
"12","Iowa","IA","District","No","Alta-Aurelia Comm School District","Regular local school district","1903480","110171 000","736",,,,,,,,,,
"13","Iowa","IA","District","No","Ames Comm School District","Regular local school district","1903540","850225 000","4458.1","Required at least part of school year",,,,,"Required at least part of school year",,,,
"14","Iowa","IA","District","No","Anamosa Comm School District","Regular local school district","1903570","530234 000","1147.4",,,,,,,,,,
"15","Iowa","IA","District","No","Andrew Comm School District","Regular local school district","1903630","490243 000","128.1",,,,,,,,,,
"16","Iowa","IA","District","No","Ankeny Comm School District","Regular local school district","1903690","770261 000","11807",,,,,,,,,,
"17","Iowa","IA","District","No","Aplington-Parkersburg Comm School District","Regular local school district","1903750","120279 000","769.8","Required at least part of school year",,,,,"Required at least part of school year",,,,
"18","Iowa","IA","District","No","Ar-We-Va Comm School District","Regular local school district","1903780","240355 000","218",,,,,,,,,,
"19","Iowa","IA","District","No","Atlantic Comm School District","Regular local school district","1903930","150387 000","1375.6",,,,,,,,,,
"20","Iowa","IA","District","No","Audubon Comm School District","Regular local school district","1903960","050414 000","483.2","Not required",,,,,"Not required",,,,
"21","Iowa","IA","District","No","Ballard Comm School District","Regular local school district","1904200","850472 000","1671.7","Required at least part of school year","9/1/20","5/15/21",,,"Required at least part of school year","9/1/20","5/15/21",,
"22","Iowa","IA","District","No","Baxter Comm School District","Regular local school district","1904380","500513 000","427.8","Required at least part of school year","8/23/20","5/20/21",,,"Required at least part of school year","8/23/20","5/20/21",,
"23","Iowa","IA","District","No","Bcluw Comm School District","Regular local school district","1904440","380540 000","508.7",,,,,,,,,,
"24","Iowa","IA","District","No","Bedford Comm School District","Regular local school district","1904560","870549 000","462.8",,,,,,,,,,
"25","Iowa","IA","District","No","Belle Plaine Comm School District","Regular local school district","1904620","060576 000","455.3",,,,,,,,,,
"26","Iowa","IA","District","No","Bellevue Comm School District","Regular local school district","1904650","490585 000","629.7","Required full school year",,,,,"Required full school year",,,,
"27","Iowa","IA","District","No","Belmond-Klemme Comm School District","Regular local school district","1904680","990594 000","671",,,,,,,,,,
"28","Iowa","IA","District","No","Bennett Comm School District","Regular local school district","1904740","160603 000","75.5","Required at least part of school year","11/9/20","5/20/21",,,"Required at least part of school year","11/9/20","5/20/21",,
"29","Iowa","IA","District","No","Benton Comm School District","Regular local school district","1904830","060609 000","1430.5",,,,,,,,,,
"30","Iowa","IA","District","No","Bettendorf Comm School District","Regular local school district","1904860","820621 000","4384.4","Required at least part of school year",,,,,"Required at least part of school year",,,,
"31","Iowa","IA","District","No","Bondurant-Farrar Comm School District","Regular local school district","1905070","770720 000","2339","Required at least part of school year",,,,,"Required at least part of school year",,,,
"32","Iowa","IA","District","No","Boone Comm School District","Regular local school district","1905130","080729 000","1873.9","Required at least part of school year","8/23/20","5/20/21",,,"Required at least part of school year","8/23/20","5/20/21",,
"33","Iowa","IA","District","No","Boyden-Hull Comm School District","Regular local school district","1905190","840747 000","584.8",,,,,,,,,,
"34","Iowa","IA","District","No","Boyer Valley Comm School District","Regular local school district","1909570","431917 000","368.7",,,,,,,,,,
"35","Iowa","IA","District","No","Brooklyn-Guernsey-Malcom Comm School District","Regular local school district","1905490","790846 000","532.1",,,,,,,,,,
"36","Iowa","IA","District","No","Burlington Comm School District","Regular local school district","1905790","290882 000","3188.4",,,,,,,,,,
"37","Iowa","IA","District","No","Cal Comm School District","Regular local school district","1905970","350916 000","101.5","Required full school year",,,,,"Required full school year",,,,
"38","Iowa","IA","District","No","Calamus-Wheatland Comm School District","Regular local school district","1906000","230918 000","411.3","Required at least part of school year","11/16/20","5/20/21",,,"Required at least part of school year","11/16/20","5/20/21",,
"39","Iowa","IA","District","No","Cam Comm School District","Regular local school district","1905940","150914 000","1358",,,,,,,,,,
"40","Iowa","IA","District","No","Camanche Comm School District","Regular local school district","1906060","230936 000","875.1",,,,,,,,,,
"41","Iowa","IA","District","No","Cardinal Comm School District","Regular local school district","1906240","900977 000","921.9",,,,,,,,,,
"42","Iowa","IA","District","No","Carlisle Comm School District","Regular local school district","1906270","910981 000","2109.1",,,,,,,,,,
"43","Iowa","IA","District","No","Carroll Comm School District","Regular local school district","1906330","140999 000","1621.3","Required at least part of school year","11/12/20","5/17/21",,,"Required at least part of school year","11/12/20","5/17/21",,
"44","Iowa","IA","District","No","Cedar Falls Comm School District","Regular local school district","1906510","071044 000","5554.8",,,,,,,,,,
"45","Iowa","IA","District","No","Cedar Rapids Comm School District","Regular local school district","1906540","571053 000","14857.5",,,,,,,,,,
"46","Iowa","IA","District","No","Center Point-Urbana Comm School District","Regular local school district","1906660","571062 000","1411.4","Required at least part of school year","10/5/20","5/29/21",,,"Required at least part of school year","10/5/20","5/29/21",,
"47","Iowa","IA","District","No","Centerville Comm School District","Regular local school district","1906750","041071 000","1267.9",,,,,,,,,,
"48","Iowa","IA","District","No","Central City Comm School District","Regular local school district","1906780","571089 000","444.2",,,,,,,,,,
"49","Iowa","IA","District","No","Central Comm School District","Regular local school district","1906840","221080 000","393.5",,,,,,,,,,
"50","Iowa","IA","District","No","Central Decatur Comm School District","Regular local school district","1906900","271093 000","649.7","Required at least part of school year",,,,,"Required at least part of school year",,,,
"51","Iowa","IA","District","No","Central Dewitt School District","Regular local school district","1906810","231082 000","1475.8","Required at least part of school year","8/23/20","5/1/21",,,"Required at least part of school year","8/23/20","5/1/21",,
"52","Iowa","IA","District","No","Central Lee Comm School District","Regular local school district","1906930","561079 000","1102.1",,,,,,,,,,
"53","Iowa","IA","District","No","Central Lyon Comm School District","Regular local school district","1906960","601095 000","706.6",,,,,,,,,,
"54","Iowa","IA","District","No","Central Springs Comm School District","Regular local school district","1920760","984772 000","689.6",,,,,,,,,,
"55","Iowa","IA","District","No","Chariton Comm School District","Regular local school district","1907050","591107 000","1175.8","Required at least part of school year","10/26/20","5/14/21",,,"Required at least part of school year","10/26/20","5/14/21",,
"56","Iowa","IA","District","No","Charles City Comm School District","Regular local school district","1907080","341116 000","1521.5",,,,,,,,,,
"57","Iowa","IA","District","No","Charter Oak-Ute Comm School District","Regular local school district","1907110","241134 000","173",,,,,,,,,,
"58","Iowa","IA","District","No","Cherokee Comm School District","Regular local school district","1907170","181152 000","1109.8",,,,,,,,,,
"59","Iowa","IA","District","No","Clarinda Comm School District","Regular local school district","1907350","731197 000","999.8",,,,,,,,,,
"60","Iowa","IA","District","No","Clarion-Goldfield-Dows Comm School District","Regular local school district","1907380","991206 000","880.3","Required full school year",,,,,"Required full school year",,,,
"61","Iowa","IA","District","No","Clarke Comm School District","Regular local school district","1907410","201211 000","1281.8","Required full school year",,,,,"Required full school year",,,,
"62","Iowa","IA","District","No","Clarksville Comm School District","Regular local school district","1907440","121215 000","273.5",,,,,,,,,,
"63","Iowa","IA","District","No","Clay Central-Everly Comm School District","Regular local school district","1907470","211218 000","64.5",,,,,,,,,,
"64","Iowa","IA","District","No","Clayton Ridge Comm School District","Regular local school district","1913350","222763 000","1391.5",,,,,,,,,,
"65","Iowa","IA","District","No","Clear Creek Amana Comm School District","Regular local school district","1907590","521221 000","2600.7","Required full school year",,,,,"Required full school year",,,,
"66","Iowa","IA","District","No","Clear Lake Comm School District","Regular local school district","1907620","171233 000","1371.1",,,,,,,,,,
"67","Iowa","IA","District","No","Clinton Comm School District","Regular local school district","1907710","231278 000","3246.9",,,,,,,,,,
