"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Kansas","KS","District","No","Abilene","Regular local school district","2003180","D0435","1453","Required full school year",,,,,"Required full school year",,,,
"2","Kansas","KS","District","No","Altoona-Midway","Regular local school district","2004170","D0387","159",,,,,,,,,,
"3","Kansas","KS","District","No","Andover","Regular local school district","2003360","D0385","8704",,,,,,,,,,
"4","Kansas","KS","District","No","Argonia Public Schools","Regular local school district","2003430","D0359","157","Required at least part of school year","8/17/20","4/12/21",,,"Required at least part of school year","8/20/20","4/12/21",,
"5","Kansas","KS","District","No","Arkansas City","Regular local school district","2003450","D0470","2601",,,,,,,,,,
"6","Kansas","KS","District","No","Ashland","Regular local school district","2003510","D0220","182",,,,,,,,,,
"7","Kansas","KS","District","No","Atchison Co Comm Schools","Regular local school district","2005700","D0377","458",,,,,,,,,,
"8","Kansas","KS","District","No","Atchison Public Schools","Regular local school district","2003540","D0409","1560","Required full school year",,,,,"Required full school year",,,,
"9","Kansas","KS","District","No","Attica","Regular local school district","2003570","D0511","156",,,,,,,,,,
"10","Kansas","KS","District","No","Auburn Washburn","Regular local school district","2003200","D0437","5840",,,,,,,,,,
"11","Kansas","KS","District","No","Augusta","Regular local school district","2003630","D0402","2009",,,,,,,,,,
"12","Kansas","KS","District","No","Baldwin City","Regular local school district","2003720","D0348","1253","Required full school year",,,,,"Required full school year",,,,
"13","Kansas","KS","District","No","Barber County North","Regular local school district","2009450","D0254","419",,,,,,,,,,
"14","Kansas","KS","District","No","Barnes","Regular local school district","2000012","D0223","421",,,,,,,,,,
"15","Kansas","KS","District","No","Basehor-Linwood","Regular local school district","2003780","D0458","2809",,,,,,,,,,
"16","Kansas","KS","District","No","Baxter Springs","Regular local school district","2003810","D0508","849",,,,,,,,,,
"17","Kansas","KS","District","No","Belle Plaine","Regular local school district","2003900","D0357","531",,,,,,,,,,
"18","Kansas","KS","District","No","Beloit","Regular local school district","2003870","D0273","730",,,,,,,,,,
"19","Kansas","KS","District","No","Blue Valley","Regular local school district","2010980","D0384","203","Required full school year",,,,,"Required full school year",,,,
"20","Kansas","KS","District","No","Blue Valley","Regular local school district","2012000","D0229","22015","Required full school year",,,,,"Required full school year",,,,
"21","Kansas","KS","District","No","Bluestem","Regular local school district","2008550","D0205","480",,,,,,,,,,
"22","Kansas","KS","District","No","Bonner Springs","Regular local school district","2004050","D0204","2545","Required full school year",,,,,"Required full school year",,,,
"23","Kansas","KS","District","No","Brewster","Regular local school district","2004080","D0314","119",,,,,,,,,,
"24","Kansas","KS","District","No","Bucklin","Regular local school district","2004140","D0459","228",,,,,,,,,,
"25","Kansas","KS","District","No","Buhler","Regular local school district","2004200","D0313","2181","Required full school year",,,,,"Required full school year",,,,
"26","Kansas","KS","District","No","Burlingame Public School","Regular local school district","2004260","D0454","265","Required full school year",,,,,"Required full school year",,,,
"27","Kansas","KS","District","No","Burlington","Regular local school district","2004290","D0244","760","Required at least part of school year","8/1/20","4/19/21",,,"Required at least part of school year","8/1/20","4/19/21",,
"28","Kansas","KS","District","No","Burrton","Regular local school district","2004350","D0369","185","Required full school year",,,,,"Required full school year",,,,
"29","Kansas","KS","District","No","Caldwell","Regular local school district","2004380","D0360","224",,,,,,,,,,
"30","Kansas","KS","District","No","Caney Valley","Regular local school district","2004410","D0436","712","Required full school year",,,,,"Required full school year",,,,
"31","Kansas","KS","District","No","Canton-Galva","Regular local school district","2004440","D0419","290",,,,,,,,,,
"32","Kansas","KS","District","No","Cedar Vale","Regular local school district","2004500","D0285","124",,,,,,,,,,
"33","Kansas","KS","District","No","Central","Regular local school district","2004230","D0462","277",,,,,,,,,,
"34","Kansas","KS","District","No","Central Heights","Regular local school district","2000014","D0288","477",,,,,,,,,,
"35","Kansas","KS","District","No","Central Plains","Regular local school district","2000349","D0112","447",,,,,,,,,,
"36","Kansas","KS","District","No","Centre","Regular local school district","2008940","D0397","387",,,,,,,,,,
"37","Kansas","KS","District","No","Chanute Public Schools","Regular local school district","2004590","D0413","1698",,,,,,,,,,
"38","Kansas","KS","District","No","Chaparral Schools","Regular local school district","2003390","D0361","739",,,,,,,,,,
"39","Kansas","KS","District","No","Chapman","Regular local school district","2004620","D0473","1053",,,,,,,,,,
"40","Kansas","KS","District","No","Chase-Raymond","Regular local school district","2004650","D0401","128",,,,,,,,,,
"41","Kansas","KS","District","No","Chase County","Regular local school district","2005250","D0284","341",,,,,,,,,,
