"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Kentucky","KY","District","No","Adair County","Regular local school district","2100030","001001000","2840","Required full school year",,,,,"Required full school year",,,,
"2","Kentucky","KY","District","No","Allen County","Regular local school district","2100070","002005000","3126","Required full school year",,,,,"Required full school year",,,,
"3","Kentucky","KY","District","No","Anchorage Independent","Regular local school district","2100090","056006000","389","Required full school year",,,,,"Required full school year",,,,
"4","Kentucky","KY","District","No","Anderson County","Regular local school district","2100120","003011000","3471","Required full school year",,,,,"Required full school year",,,,
"5","Kentucky","KY","District","No","Ashland Independent","Regular local school district","2100150","010012000","3227","Required full school year",,,,,"Required full school year",,,,
"6","Kentucky","KY","District","No","Augusta Independent","Regular local school district","2100180","012013000","315","Required full school year",,,,,"Required full school year",,,,
"7","Kentucky","KY","District","No","Ballard County","Regular local school district","2100210","004015000","1095","Required full school year",,,,,"Required full school year",,,,
"8","Kentucky","KY","District","No","Barbourville Independent","Regular local school district","2100240","061016000","648","Required full school year",,,,,"Required full school year",,,,
"9","Kentucky","KY","District","No","Bardstown Independent","Regular local school district","2100270","090017000","2554","Required full school year",,,,,"Required full school year",,,,
"10","Kentucky","KY","District","No","Barren County","Regular local school district","2100300","005021000","5221","Required full school year",,,,,"Required full school year",,,,
"11","Kentucky","KY","District","No","Bath County","Regular local school district","2100330","006025000","2021","Required full school year",,,,,"Required full school year",,,,
"12","Kentucky","KY","District","No","Beechwood Independent","Regular local school district","2100360","059026000","1491","Required full school year",,,,,"Required full school year",,,,
"13","Kentucky","KY","District","No","Bell County","Regular local school district","2100390","007031000","2613","Required full school year",,,,,"Required full school year",,,,
"14","Kentucky","KY","District","No","Bellevue Independent","Regular local school district","2100420","019032000","610","Required full school year",,,,,"Required full school year",,,,
"15","Kentucky","KY","District","No","Berea Independent","Regular local school district","2100480","073034000","1189","Required full school year",,,,,"Required full school year",,,,
"16","Kentucky","KY","District","No","Boone County","Regular local school district","2100510","008035000","20953","Required full school year",,,,,"Required full school year",,,,
"17","Kentucky","KY","District","No","Bourbon County","Regular local school district","2100540","009041000","2974","Required full school year",,,,,"Required full school year",,,,
"18","Kentucky","KY","District","No","Bowling Green Independent","Regular local school district","2100570","114042000","4710","Required full school year",,,,,"Required full school year",,,,
"19","Kentucky","KY","District","No","Boyd County","Regular local school district","2100620","010045000","3209","Required full school year",,,,,"Required full school year",,,,
"20","Kentucky","KY","District","No","Boyle County","Regular local school district","2100630","011051000","2686","Required full school year",,,,,"Required full school year",,,,
"21","Kentucky","KY","District","No","Bracken County","Regular local school district","2100660","012055000","1229","Required full school year",,,,,"Required full school year",,,,
"22","Kentucky","KY","District","No","Breathitt County","Regular local school district","2100690","013061000","1951","Required full school year",,,,,"Required full school year",,,,
"23","Kentucky","KY","District","No","Breckinridge County","Regular local school district","2100720","014065000","2667","Required full school year",,,,,"Required full school year",,,,
"24","Kentucky","KY","District","No","Bullitt County","Regular local school district","2100750","015071000","13109","Required full school year",,,,,"Required full school year",,,,
"25","Kentucky","KY","District","No","Burgin Independent","Regular local school district","2100780","084072000","526","Required full school year",,,,,"Required full school year",,,,
"26","Kentucky","KY","District","No","Butler County","Regular local school district","2100810","016075000","2279","Required full school year",,,,,"Required full school year",,,,
