"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Louisiana","LA","District","No","Acadia Parish","Regular local school district","2200030","001","9240","Required full school year",,,,,"Required full school year",,,,
"2","Louisiana","LA","District","Yes","Acadiana Renaissance Charter Academy","Charter agency","2200231","W6B","1417","Required full school year",,,,,"Required full school year",,,,
"3","Louisiana","LA","District","Yes","Advantage Charter Academy","Charter agency","2200268","W1B","527","Required full school year",,,,,"Required full school year",,,,
"4","Louisiana","LA","District","No","Allen Parish","Regular local school district","2200060","002","3896","Required full school year",,,,,"Required full school year",,,,
"5","Louisiana","LA","District","No","Ascension Parish","Regular local school district","2200090","003","22590","Required full school year",,,,,"Required full school year",,,,
"6","Louisiana","LA","District","No","Assumption Parish","Regular local school district","2200120","004","2925","Required full school year",,,,,"Required full school year",,,,
"7","Louisiana","LA","District","Yes","Athlos Academy Of Jefferson Parish","Charter agency","2200305","WBR","1218","Required full school year",,,,,"Required full school year",,,,
"8","Louisiana","LA","District","No","Avoyelles Parish","Regular local school district","2200150","005","4804","Required full school year",,,,,"Required full school year",,,,
"9","Louisiana","LA","District","Yes","Avoyelles Public Charter School","Charter agency","2200035","333","669","Required full school year",,,,,"Required full school year",,,,
"10","Louisiana","LA","District","Yes","Baton Rouge University Preparatory Elementary","Charter agency","2200260","WAQ","334","Required full school year",,,,,"Required full school year",,,,
"11","Louisiana","LA","District","No","Beauregard Parish","Regular local school district","2200180","006","5553","Required full school year",,,,,"Required full school year",,,,
"12","Louisiana","LA","District","Yes","Belle Chasse Academy","Charter agency","2200041","337","876","Required full school year",,,,,"Required full school year",,,,
"13","Louisiana","LA","District","No","Bienville Parish","Regular local school district","2200210","007","1911","Required full school year",,,,,"Required full school year",,,,
"14","Louisiana","LA","District","No","Bossier Parish","Regular local school district","2200270","008","21955","Required full school year",,,,,"Required full school year",,,,
"15","Louisiana","LA","District","No","Caddo Parish","Regular local school district","2200300","009","35353","Required full school year",,,,,"Required full school year",,,,
"16","Louisiana","LA","District","No","Calcasieu Parish","Regular local school district","2200330","010","27224","Required full school year",,,,,"Required full school year",,,,
"17","Louisiana","LA","District","No","Caldwell Parish","Regular local school district","2200360","011","1443","Required full school year",,,,,"Required full school year",,,,
"18","Louisiana","LA","District","No","Cameron Parish","Regular local school district","2200390","012","1130","Required full school year",,,,,"Required full school year",,,,
"19","Louisiana","LA","District","No","Catahoula Parish","Regular local school district","2200420","013","1053","Required full school year",,,,,"Required full school year",,,,
"20","Louisiana","LA","District","No","Central Community School District","Regular local school district","2200125","069","4679","Required full school year",,,,,"Required full school year",,,,
"21","Louisiana","LA","District","No","City Of Baker School District","Regular local school district","2200040","068","1108","Required full school year",,,,,"Required full school year",,,,
"22","Louisiana","LA","District","No","City Of Bogalusa School District","Regular local school district","2200240","066","1828","Required full school year",,,,,"Required full school year",,,,
"23","Louisiana","LA","District","No","City Of Monroe School District","Regular local school district","2201080","065","7768","Required full school year",,,,,"Required full school year",,,,
"24","Louisiana","LA","District","No","Claiborne Parish","Regular local school district","2200450","014","1564","Required full school year",,,,,"Required full school year",,,,
"25","Louisiana","LA","District","Yes","Collegiate Baton Rouge","Charter agency","2200288","WJ5","481","Required full school year",,,,,"Required full school year",,,,
"26","Louisiana","LA","District","Yes","Community School For Apprenticeship Learning Inc.","Charter agency","2200148","343","608","Required full school year",,,,,"Required full school year",,,,
"27","Louisiana","LA","District","No","Concordia Parish","Regular local school district","2200480","015","3113","Required full school year",,,,,"Required full school year",,,,
"28","Louisiana","LA","District","Yes","D'arbonne Woods Charter School","Charter agency","2200146","341","953","Required full school year",,,,,"Required full school year",,,,
"29","Louisiana","LA","District","Yes","Delhi Charter School","Charter agency","2200038","336","788","Required full school year",,,,,"Required full school year",,,,
"30","Louisiana","LA","District","Yes","Delta Charter Group","Charter agency","2200247","W4A","464","Required full school year",,,,,"Required full school year",,,,
"31","Louisiana","LA","District","No","Desoto Parish","Regular local school district","2200510","016","4611","Required full school year",,,,,"Required full school year",,,,
"32","Louisiana","LA","District","No","East Baton Rouge Parish","Regular local school district","2200540","017","38766","Required full school year",,,,,"Required full school year",,,,
"33","Louisiana","LA","District","No","East Carroll Parish","Regular local school district","2200570","018","805","Required full school year",,,,,"Required full school year",,,,
"34","Louisiana","LA","District","No","East Feliciana Parish","Regular local school district","2200600","019","1619","Required full school year",,,,,"Required full school year",,,,
"35","Louisiana","LA","District","No","Evangeline Parish","Regular local school district","2200630","020","5482","Required full school year",,,,,"Required full school year",,,,
"36","Louisiana","LA","District","No","Franklin Parish","Regular local school district","2200660","021","2758","Required full school year",,,,,"Required full school year",,,,
"37","Louisiana","LA","District","Yes","Geo Next Generation High School","Charter agency","2200313","WBX","200","Required full school year",,,,,"Required full school year",,,,
"38","Louisiana","LA","District","Yes","Geo Prep Academy Of Greater Baton Rouge","Charter agency","2200230","WAU","722","Required full school year",,,,,"Required full school year",,,,
"39","Louisiana","LA","District","Yes","Geo Prep Mid-City Of Greater Baton Rouge","Charter agency","2200298","WZ8","677","Required full school year",,,,,"Required full school year",,,,
"40","Louisiana","LA","District","No","Grant Parish","Regular local school district","2200690","022","2815","Required full school year",,,,,"Required full school year",,,,
"41","Louisiana","LA","District","No","Iberia Parish","Regular local school district","2200720","023","11467","Required full school year",,,,,"Required full school year",,,,
"42","Louisiana","LA","District","Yes","Iberville Charter Academy","Charter agency","2200219","W3B","509","Required full school year",,,,,"Required full school year",,,,
"43","Louisiana","LA","District","No","Iberville Parish","Regular local school district","2200750","024","4026","Required full school year",,,,,"Required full school year",,,,
"44","Louisiana","LA","District","Yes","Impact Charter School","Charter agency","2200190","W8A","384","Required full school year",,,,,"Required full school year",,,,
"45","Louisiana","LA","District","Yes","International School Of Louisiana","Charter agency","2200033","331","1317","Required full school year",,,,,"Required full school year",,,,
"46","Louisiana","LA","District","No","Jackson Parish","Regular local school district","2200780","025","2070","Required full school year",,,,,"Required full school year",,,,
"47","Louisiana","LA","District","Yes","Jcfa-East","Charter agency","2200241","W1A","154","Required full school year",,,,,"Required full school year",,,,
"48","Louisiana","LA","District","Yes","Jcfa Lafayette","Charter agency","2200301","W1D","67","Required full school year",,,,,"Required full school year",,,,
"49","Louisiana","LA","District","No","Jefferson Davis Parish","Regular local school district","2200810","027","5368","Required full school year",,,,,"Required full school year",,,,
"50","Louisiana","LA","District","No","Jefferson Parish","Regular local school district","2200840","026","46574","Required full school year",,,,,"Required full school year",,,,
"51","Louisiana","LA","District","Yes","Js Clark Leadership Academy","Charter agency","2200215","WAL","260","Required full school year",,,,,"Required full school year",,,,
"52","Louisiana","LA","District","No","La Schools For The Deaf And Visually Impaired","Specialized public school district","2200018","304","162","Required full school year",,,,,"Required full school year",,,,
"53","Louisiana","LA","District","Yes","Lafayette Charter Foundation","Charter agency","2200235","W7B","978","Required full school year",,,,,"Required full school year",,,,
"54","Louisiana","LA","District","No","Lafayette Parish","Regular local school district","2200870","028","30333","Required full school year",,,,,"Required full school year",,,,
"55","Louisiana","LA","District","No","Lafourche Parish","Regular local school district","2200900","029","13768","Required full school year",,,,,"Required full school year",,,,
"56","Louisiana","LA","District","Yes","Lake Charles Charter Academy Foundation Inc.","Charter agency","2200158","346","923","Required full school year",,,,,"Required full school year",,,,
"57","Louisiana","LA","District","Yes","Lake Charles College Prep","Charter agency","2200198","W4B","553","Required full school year",,,,,"Required full school year",,,,
"58","Louisiana","LA","District","No","Lasalle Parish","Regular local school district","2200960","030","2459","Required full school year",,,,,"Required full school year",,,,
"59","Louisiana","LA","District","No","Lincoln Parish","Regular local school district","2200990","031","5579","Required full school year",,,,,"Required full school year",,,,
"60","Louisiana","LA","District","Yes","Lincoln Preparatory School","Charter agency","2200275","W33","572","Required full school year",,,,,"Required full school year",,,,
"61","Louisiana","LA","District","No","Livingston Parish","Regular local school district","2201020","032","25139","Required full school year",,,,,"Required full school year",,,,
"62","Louisiana","LA","District","Yes","Louisiana Key Academy","Charter agency","2200213","W7A","404","Required full school year",,,,,"Required full school year",,,,
"63","Louisiana","LA","District","No","Louisiana School For Math Science & The Arts","Regular local school district","2200017","302","327","Required full school year",,,,,"Required full school year",,,,
"64","Louisiana","LA","District","Yes","Louisiana Virtual Charter Academy","Charter agency","2200233","WAG","1920","Required full school year",,,,,"Required full school year",,,,
"65","Louisiana","LA","District","No","Lsu Laboratory School","Other education agency","2200022","318","1432","Required full school year",,,,,"Required full school year",,,,
"66","Louisiana","LA","District","Yes","Lycee Francais De La Nouvelle-Orleans","Charter agency","2200159","347","997","Required full school year",,,,,"Required full school year",,,,
"67","Louisiana","LA","District","No","Madison Parish","Regular local school district","2201050","033","1064","Required full school year",,,,,"Required full school year",,,,
"68","Louisiana","LA","District","No","Morehouse Parish","Regular local school district","2201110","034","3266","Required full school year",,,,,"Required full school year",,,,
"69","Louisiana","LA","District","No","Natchitoches Parish","Regular local school district","2201140","035","5361","Required full school year",,,,,"Required full school year",,,,
"70","Louisiana","LA","District","Yes","New Harmony High Institute","Charter agency","2200304","WBQ","188","Required full school year",,,,,"Required full school year",,,,
"71","Louisiana","LA","District","No","New Orleans Center For Creative Arts","Specialized public school district","2200036","334","241","Required full school year",,,,,"Required full school year",,,,
"72","Louisiana","LA","District","Yes","New Orleans Military & Maritime Academy","Charter agency","2200160","348","1027","Required full school year",,,,,"Required full school year",,,,
"73","Louisiana","LA","District","Yes","New Vision Learning Academy","Charter agency","2200025","321","264","Required full school year",,,,,"Required full school year",,,,
"74","Louisiana","LA","District","Yes","Noble Minds","Charter agency","2200278","W18","115","Required full school year",,,,,"Required full school year",,,,
"75","Louisiana","LA","District","Yes","Northeast Claiborne Charter","Charter agency","2200252","W5B","181","Required full school year",,,,,"Required full school year",,,,
"76","Louisiana","LA","District","No","Office Of Juvenile Justice","State-operated agency","2200047","A02","143","Required full school year",,,,,"Required full school year",,,,
"77","Louisiana","LA","District","No","Orleans Parish","Regular local school district","2201170","036","43383","Required full school year",,,,,"Required full school year",,,,
"78","Louisiana","LA","District","No","Ouachita Parish","Regular local school district","2201200","037","17853","Required full school year",,,,,"Required full school year",,,,
"79","Louisiana","LA","District","No","Plaquemines Parish","Regular local school district","2201230","038","3791","Required full school year",,,,,"Required full school year",,,,
"80","Louisiana","LA","District","No","Pointe Coupee Parish","Regular local school district","2201260","039","2517","Required full school year",,,,,"Required full school year",,,,
"81","Louisiana","LA","District","No","Rapides Parish","Regular local school district","2201290","040","21223","Required full school year",,,,,"Required full school year",,,,
"82","Louisiana","LA","District","Yes","Red River Charter Academy","Charter agency","2200308","WBY","274","Required full school year",,,,,"Required full school year",,,,
"83","Louisiana","LA","District","No","Red River Parish","Regular local school district","2201320","041","1250","Required full school year",,,,,"Required full school year",,,,
"84","Louisiana","LA","District","No","Richland Parish","Regular local school district","2201350","042","2636","Required full school year",,,,,"Required full school year",,,,
"85","Louisiana","LA","District","No","Sabine Parish","Regular local school district","2201380","043","3946","Required full school year",,,,,"Required full school year",,,,
"86","Louisiana","LA","District","No","Southern University Lab School","Other education agency","2200023","319","743","Required full school year",,,,,"Required full school year",,,,
"87","Louisiana","LA","District","Yes","Southwest Louisiana Charter Academy","Charter agency","2200189","WAK","620","Required full school year",,,,,"Required full school year",,,,
"88","Louisiana","LA","District","No","Special School District","Specialized public school district","2280100","101","167","Required full school year",,,,,"Required full school year",,,,
"89","Louisiana","LA","District","No","St. Bernard Parish","Regular local school district","2201410","044","7422","Required full school year",,,,,"Required full school year",,,,
"90","Louisiana","LA","District","No","St. Charles Parish","Regular local school district","2201440","045","9281","Required full school year",,,,,"Required full school year",,,,
"91","Louisiana","LA","District","No","St. Helena Parish","Regular local school district","2201470","046","1141","Required full school year",,,,,"Required full school year",,,,
"92","Louisiana","LA","District","No","St. James Parish","Regular local school district","2201500","047","3307","Required full school year",,,,,"Required full school year",,,,
"93","Louisiana","LA","District","No","St. John The Baptist Parish","Regular local school district","2201530","048","5417","Required full school year",,,,,"Required full school year",,,,
"94","Louisiana","LA","District","No","St. Landry Parish","Regular local school district","2201560","049","12087","Required full school year",,,,,"Required full school year",,,,
"95","Louisiana","LA","District","No","St. Martin Parish","Regular local school district","2201590","050","7025","Required full school year",,,,,"Required full school year",,,,
"96","Louisiana","LA","District","No","St. Mary Parish","Regular local school district","2201620","051","7624","Required full school year",,,,,"Required full school year",,,,
"97","Louisiana","LA","District","No","St. Tammany Parish","Regular local school district","2201650","052","35958","Required full school year",,,,,"Required full school year",,,,
"98","Louisiana","LA","District","No","Tangipahoa Parish","Regular local school district","2201680","053","18778","Required full school year",,,,,"Required full school year",,,,
"99","Louisiana","LA","District","No","Tensas Parish","Regular local school district","2201710","054","341","Required full school year",,,,,"Required full school year",,,,
"100","Louisiana","LA","District","No","Terrebonne Parish","Regular local school district","2201740","055","15844","Required full school year",,,,,"Required full school year",,,,
"101","Louisiana","LA","District","Yes","The Max Charter School","Charter agency","2200126","340","121","Required full school year",,,,,"Required full school year",,,,
"102","Louisiana","LA","District","No","Thrive Academy","Specialized public school district","2200290","3C1","180","Required full school year",,,,,"Required full school year",,,,
"103","Louisiana","LA","District","No","Union Parish","Regular local school district","2201770","056","1842","Required full school year",,,,,"Required full school year",,,,
"104","Louisiana","LA","District","Yes","University View Academy Inc. (Frm La Connections)","Charter agency","2200157","345","3495","Required full school year",,,,,"Required full school year",,,,
"105","Louisiana","LA","District","Yes","V. B. Glencoe Charter School","Charter agency","2200032","329","390","Required full school year",,,,,"Required full school year",,,,
"106","Louisiana","LA","District","No","Vermilion Parish","Regular local school district","2201800","057","9147","Required full school year",,,,,"Required full school year",,,,
"107","Louisiana","LA","District","No","Vernon Parish","Regular local school district","2201830","058","7723","Required full school year",,,,,"Required full school year",,,,
"108","Louisiana","LA","District","Yes","Voices For International Business & Education","Charter agency","2200156","344","396","Required full school year",,,,,"Required full school year",,,,
"109","Louisiana","LA","District","No","Washington Parish","Regular local school district","2201860","059","4725","Required full school year",,,,,"Required full school year",,,,
"110","Louisiana","LA","District","No","Webster Parish","Regular local school district","2201890","060","5551","Required full school year",,,,,"Required full school year",,,,
"111","Louisiana","LA","District","No","West Baton Rouge Parish","Regular local school district","2201920","061","3697","Required full school year",,,,,"Required full school year",,,,
"112","Louisiana","LA","District","No","West Carroll Parish","Regular local school district","2201950","062","1828","Required full school year",,,,,"Required full school year",,,,
"113","Louisiana","LA","District","No","West Feliciana Parish","Regular local school district","2201980","063","2026","Required full school year",,,,,"Required full school year",,,,
"114","Louisiana","LA","District","Yes","Willow Charter Academy","Charter agency","2200263","W2B","648","Required full school year",,,,,"Required full school year",,,,
"115","Louisiana","LA","District","No","Winn Parish","Regular local school district","2202010","064","1903","Required full school year",,,,,"Required full school year",,,,
"116","Louisiana","LA","District","No","Zachary Community School District","Regular local school district","2200039","067","5253","Required full school year",,,,,"Required full school year",,,,
