"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Maine","ME","District","Yes","Acadia Academy","Charter agency","2314831","1761","257","Required full school year",,,,,"Required full school year",,,,
"2","Maine","ME","District","No","Acton Public Schools","Regular local school district","2302220","2","300","Required full school year",,,,,"Required full school year",,,,
"3","Maine","ME","District","No","Airline Csd","Regular local school district","2302500","1038","56","Required full school year",,,,,"Required full school year",,,,
"4","Maine","ME","District","No","Alexander Public Schools","Regular local school district","2302280","4","52","Required full school year",,,,,"Required full school year",,,,
"5","Maine","ME","District","No","Andover Public Schools","Regular local school district","2314823","1734","79","Required full school year",,,,,"Required full school year",,,,
"6","Maine","ME","District","No","Appleton Public Schools","Regular local school district","2302510","9","129","Required full school year",,,,,"Required full school year",,,,
"7","Maine","ME","District","No","Arthur R. Gould Sch--Lcydc","State-operated agency","2300050","1069","26","Required full school year",,,,,"Required full school year",,,,
"8","Maine","ME","District","No","Athens Public Schools","Regular local school district","2314817","1629","141","Required full school year",,,,,"Required full school year",,,,
"9","Maine","ME","District","No","Auburn Public Schools","Regular local school district","2302610","14","3386","Required full school year",,,,,"Required full school year",,,,
"10","Maine","ME","District","No","Augusta Public Schools","Regular local school district","2302640","28","2131","Required full school year",,,,,"Required full school year",,,,
"11","Maine","ME","District","No","Baileyville Public Schools","Regular local school district","2302730","38","232","Required full school year",,,,,"Required full school year",,,,
"12","Maine","ME","District","No","Bangor Public Schools","Regular local school district","2302820","42","3347","Required full school year",,,,,"Required full school year",,,,
"13","Maine","ME","District","No","Bar Harbor Public Schools","Regular local school district","2302850","53","326","Required full school year",,,,,"Required full school year",,,,
"14","Maine","ME","District","No","Baring Plt Public Schools","Regular local school district","2302880","547","24","Required full school year",,,,,"Required full school year",,,,
"15","Maine","ME","District","Yes","Baxter Academy For Technology And Science","Charter agency","2314812","1630","390","Required full school year",,,,,"Required full school year",,,,
"16","Maine","ME","District","No","Beals Public Schools","Regular local school district","2302950","62","45","Required full school year",,,,,"Required full school year",,,,
"17","Maine","ME","District","No","Beaver Cove Public Schools","Regular local school district","2302960","550","4","Required full school year",,,,,"Required full school year",,,,
"18","Maine","ME","District","No","Beddington Public Schools","Regular local school district","2302980","64","7","Required full school year",,,,,"Required full school year",,,,
"19","Maine","ME","District","No","Biddeford Public Schools","Regular local school district","2303150","65","2336","Required full school year",,,,,"Required full school year",,,,
"20","Maine","ME","District","No","Blue Hill Public Schools","Regular local school district","2303210","72","393","Required full school year",,,,,"Required full school year",,,,
"21","Maine","ME","District","No","Boothbay-Boothbay Hbr Csd","Regular local school district","2303290","1031","419","Required full school year",,,,,"Required full school year",,,,
"22","Maine","ME","District","No","Bowerbank Public Schools","Regular local school district","2303390","74","10","Required full school year",,,,,"Required full school year",,,,
"23","Maine","ME","District","No","Bremen Public Schools","Regular local school district","2303480","77","32","Required full school year",,,,,"Required full school year",,,,
"24","Maine","ME","District","No","Brewer Public Schools","Regular local school district","2303510","78","1306","Required full school year",,,,,"Required full school year",,,,
"25","Maine","ME","District","No","Bridgewater Public Schools","Regular local school district","2300004","86","42","Required full school year",,,,,"Required full school year",,,,
"26","Maine","ME","District","No","Brighton Plt School Department","Regular local school district","2314811","1633","10","Required full school year",,,,,"Required full school year",,,,
"27","Maine","ME","District","No","Bristol Public Schools","Regular local school district","2303600","88","277","Required full school year",,,,,"Required full school year",,,,
