"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Maryland","MD","District","No","Allegany","Regular local school district","2400030","MD-01","8075","Required full school year",,,,,"Required full school year",,,,
"2","Maryland","MD","District","No","Anne Arundel","Regular local school district","2400060","MD-02","83044","Required full school year",,,,,"Required full school year",,,,
"3","Maryland","MD","District","No","Baltimore City","Regular local school district","2400090","MD-30","77856","Required full school year",,,,,"Required full school year",,,,
"4","Maryland","MD","District","No","Baltimore County","Regular local school district","2400120","MD-03","111084","Required full school year",,,,,"Required full school year",,,,
"5","Maryland","MD","District","No","Calvert","Regular local school district","2400150","MD-04","15292","Required full school year",,,,,"Required full school year",,,,
"6","Maryland","MD","District","No","Caroline","Regular local school district","2400180","MD-05","5553","Required full school year",,,,,"Required full school year",,,,
"7","Maryland","MD","District","No","Carroll","Regular local school district","2400210","MD-06","24568","Required full school year",,,,,"Required full school year",,,,
"8","Maryland","MD","District","No","Cecil","Regular local school district","2400240","MD-07","14718","Required full school year",,,,,"Required full school year",,,,
"9","Maryland","MD","District","No","Charles","Regular local school district","2400270","MD-08","26768","Required full school year",,,,,"Required full school year",,,,
"10","Maryland","MD","District","No","Dorchester","Regular local school district","2400300","MD-09","4662","Required full school year",,,,,"Required full school year",,,,
"11","Maryland","MD","District","No","Frederick","Regular local school district","2400330","MD-10","43221","Required full school year",,,,,"Required full school year",,,,
"12","Maryland","MD","District","No","Garrett","Regular local school district","2400360","MD-11","3648","Required full school year",,,,,"Required full school year",,,,
"13","Maryland","MD","District","No","Harford","Regular local school district","2400390","MD-12","37333","Required full school year",,,,,"Required full school year",,,,
"14","Maryland","MD","District","No","Howard","Regular local school district","2400420","MD-13","57293","Required full school year",,,,,"Required full school year",,,,
"15","Maryland","MD","District","No","Kent","Regular local school district","2400450","MD-14","1812","Required full school year",,,,,"Required full school year",,,,
"16","Maryland","MD","District","No","Montgomery","Regular local school district","2400480","MD-15","160564","Required full school year",,,,,"Required full school year",,,,
"17","Maryland","MD","District","No","Prince George's","Regular local school district","2400510","MD-16","131657","Required full school year",,,,,"Required full school year",,,,
"18","Maryland","MD","District","No","Queen Anne's","Regular local school district","2400540","MD-17","7395","Required full school year",,,,,"Required full school year",,,,
"19","Maryland","MD","District","No","Somerset","Regular local school district","2400570","MD-19","2818","Required full school year",,,,,"Required full school year",,,,
"20","Maryland","MD","District","No","St. Mary's","Regular local school district","2400600","MD-18","17246","Required full school year",,,,,"Required full school year",,,,
"21","Maryland","MD","District","No","Talbot","Regular local school district","2400630","MD-20","4524","Required full school year",,,,,"Required full school year",,,,
"22","Maryland","MD","District","No","Washington","Regular local school district","2400660","MD-21","21939","Required full school year",,,,,"Required full school year",,,,
"23","Maryland","MD","District","No","Wicomico","Regular local school district","2400690","MD-22","14354","Required full school year",,,,,"Required full school year",,,,
"24","Maryland","MD","District","No","Worcester","Regular local school district","2400720","MD-23","6711","Required full school year",,,,,"Required full school year",,,,
