"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Massachusetts","MA","District","Yes","Abby Kelley Foster Charter Public (District)","Charter agency","2500051","4450000.0","1425","Required full school year",,,,,"Required full school year",,,,
"2","Massachusetts","MA","District","No","Abington","Regular local school district","2501650","10000.0","2058","Required full school year",,,,,"Required full school year",,,,
"3","Massachusetts","MA","District","Yes","Academy Of The Pacific Rim Charter Public (District)","Charter agency","2500021","4120000.0","540","Required full school year",,,,,"Required full school year",,,,
"4","Massachusetts","MA","District","No","Accept Education Collaborative","Regional education service agency","2500578","05500000","78","Required full school year",,,,,"Required full school year",,,,
"5","Massachusetts","MA","District","No","Acton-Boxborough","Regular local school district","2501710","6000000.0","5130","Required full school year",,,,,"Required full school year",,,,
"6","Massachusetts","MA","District","No","Acushnet","Regular local school district","2501740","30000.0","882","Required full school year",,,,,"Required full school year",,,,
"7","Massachusetts","MA","District","Yes","Advanced Math And Science Academy Charter (District)","Charter agency","2500085","4300000.0","966","Required full school year",,,,,"Required full school year",,,,
"8","Massachusetts","MA","District","No","Agawam","Regular local school district","2501800","50000.0","3402","Required full school year",,,,,"Required full school year",,,,
"9","Massachusetts","MA","District","Yes","Alma Del Mar Charter School (District)","Charter agency","2500525","4090000.0","797","Required full school year",,,,,"Required full school year",,,,
"10","Massachusetts","MA","District","No","Amesbury","Regular local school district","2501860","70000.0","1819","Required full school year",,,,,"Required full school year",,,,
"11","Massachusetts","MA","District","No","Amherst","Regular local school district","2501890","80000.0","997","Required full school year",,,,,"Required full school year",,,,
"12","Massachusetts","MA","District","No","Amherst-Pelham","Regular local school district","2501920","6050000.0","1275","Required full school year",,,,,"Required full school year",,,,
"13","Massachusetts","MA","District","No","Andover","Regular local school district","2501950","90000.0","5492","Required full school year",,,,,"Required full school year",,,,
"14","Massachusetts","MA","District","Yes","Argosy Collegiate Charter School (District)","Charter agency","2500552","3.509E7","571","Required full school year",,,,,"Required full school year",,,,
"15","Massachusetts","MA","District","No","Arlington","Regular local school district","2501980","100000.0","5690","Required full school year",,,,,"Required full school year",,,,
"16","Massachusetts","MA","District","No","Ashburnham-Westminster","Regular local school district","2502040","6100000.0","2153","Required full school year",,,,,"Required full school year",,,,
"17","Massachusetts","MA","District","No","Ashland","Regular local school district","2502100","140000.0","2679","Required full school year",,,,,"Required full school year",,,,
"18","Massachusetts","MA","District","No","Assabet Valley Collaborative","Regional education service agency","2500572","05020000","76","Required full school year",,,,,"Required full school year",,,,
"19","Massachusetts","MA","District","No","Assabet Valley Regional Vocational Technical","Regular local school district","2502110","8010000.0","1149","Required full school year",,,,,"Required full school year",,,,
"20","Massachusetts","MA","District","No","Athol-Royalston","Regular local school district","2502160","6150000.0","1375","Required full school year",,,,,"Required full school year",,,,
"21","Massachusetts","MA","District","Yes","Atlantis Charter (District)","Charter agency","2500041","4910000.0","1296","Required full school year",,,,,"Required full school year",,,,
"22","Massachusetts","MA","District","No","Attleboro","Regular local school district","2502190","160000.0","5633","Required full school year",,,,,"Required full school year",,,,
"23","Massachusetts","MA","District","No","Auburn","Regular local school district","2502220","170000.0","2447","Required full school year",,,,,"Required full school year",,,,
"24","Massachusetts","MA","District","No","Avon","Regular local school district","2502250","180000.0","672","Required full school year",,,,,"Required full school year",,,,
"25","Massachusetts","MA","District","No","Ayer Shirley School District","Regular local school district","2500542","6160000.0","1552","Required full school year",,,,,"Required full school year",,,,
"26","Massachusetts","MA","District","No","Barnstable","Regular local school district","2502310","200000.0","4578","Required full school year",,,,,"Required full school year",,,,
"27","Massachusetts","MA","District","Yes","Baystate Academy Charter Public School (District)","Charter agency","2500550","3.502E7","469","Required full school year",,,,,"Required full school year",,,,
"28","Massachusetts","MA","District","No","Bedford","Regular local school district","2502400","230000.0","2587","Required full school year",,,,,"Required full school year",,,,
"29","Massachusetts","MA","District","No","Belchertown","Regular local school district","2502430","240000.0","2109","Required full school year",,,,,"Required full school year",,,,
"30","Massachusetts","MA","District","No","Bellingham","Regular local school district","2502460","250000.0","1924","Required full school year",,,,,"Required full school year",,,,
"31","Massachusetts","MA","District","No","Belmont","Regular local school district","2502490","260000.0","4372","Required full school year",,,,,"Required full school year",,,,
"32","Massachusetts","MA","District","Yes","Benjamin Banneker Charter Public (District)","Charter agency","2500022","4200000.0","325","Required full school year",,,,,"Required full school year",,,,
"33","Massachusetts","MA","District","Yes","Benjamin Franklin Classical Charter Public (District)","Charter agency","2500030","4470000.0","776","Required full school year",,,,,"Required full school year",,,,
"34","Massachusetts","MA","District","No","Berkley","Regular local school district","2502520","270000.0","823","Required full school year",,,,,"Required full school year",,,,
"35","Massachusetts","MA","District","Yes","Berkshire Arts And Technology Charter Public (District)","Charter agency","2500079","4140000.0","372","Required full school year",,,,,"Required full school year",,,,
"36","Massachusetts","MA","District","No","Berkshire Hills","Regular local school district","2502530","6180000.0","1148","Required full school year",,,,,"Required full school year",,,,
"37","Massachusetts","MA","District","No","Berlin-Boylston","Regular local school district","2502580","6200000.0","1013","Required full school year",,,,,"Required full school year",,,,
"38","Massachusetts","MA","District","No","Beverly","Regular local school district","2502640","300000.0","4542","Required full school year",,,,,"Required full school year",,,,
"39","Massachusetts","MA","District","No","Bi-County Collaborative (Bico)","Regional education service agency","2500582","05040000","194","Required full school year",,,,,"Required full school year",,,,
"40","Massachusetts","MA","District","No","Billerica","Regular local school district","2502670","310000.0","4453","Required full school year",,,,,"Required full school year",,,,
"41","Massachusetts","MA","District","No","Blackstone-Millville","Regular local school district","2502715","6220000.0","1515","Required full school year",,,,,"Required full school year",,,,
"42","Massachusetts","MA","District","No","Blackstone Valley Regional Vocational Technical","Regular local school district","2502710","8050000.0","1231","Required full school year",,,,,"Required full school year",,,,
"43","Massachusetts","MA","District","No","Blue Hills Regional Vocational Technical","Regular local school district","2502740","8060000.0","890","Required full school year",,,,,"Required full school year",,,,
"44","Massachusetts","MA","District","No","Boston","Regular local school district","2502790","350000.0","45204","Required full school year",,,,,"Required full school year",,,,
"45","Massachusetts","MA","District","Yes","Boston Collegiate Charter (District)","Charter agency","2500053","4490000.0","723","Required full school year",,,,,"Required full school year",,,,
"46","Massachusetts","MA","District","Yes","Boston Day And Evening Academy Charter (District)","Charter agency","2500049","4240000.0","356","Required full school year",,,,,"Required full school year",,,,
"47","Massachusetts","MA","District","Yes","Boston Green Academy Horace Mann Charter School (District)","Charter agency","2500526","4110000.0","505","Required full school year",,,,,"Required full school year",,,,
"48","Massachusetts","MA","District","Yes","Boston Preparatory Charter Public (District)","Charter agency","2500080","4160000.0","671","Required full school year",,,,,"Required full school year",,,,
"49","Massachusetts","MA","District","Yes","Boston Renaissance Charter Public (District)","Charter agency","2500039","4810000.0","826","Required full school year",,,,,"Required full school year",,,,
"50","Massachusetts","MA","District","No","Bourne","Regular local school district","2502820","360000.0","1600","Required full school year",,,,,"Required full school year",,,,
"51","Massachusetts","MA","District","No","Boxford","Regular local school district","2502880","380000.0","652","Required full school year",,,,,"Required full school year",,,,
"52","Massachusetts","MA","District","No","Braintree","Regular local school district","2502940","400000.0","5377","Required full school year",,,,,"Required full school year",,,,
"53","Massachusetts","MA","District","No","Brewster","Regular local school district","2502970","410000.0","402","Required full school year",,,,,"Required full school year",,,,
"54","Massachusetts","MA","District","Yes","Bridge Boston Charter School (District)","Charter agency","2500527","4170000.0","307","Required full school year",,,,,"Required full school year",,,,
"55","Massachusetts","MA","District","No","Bridgewater-Raynham","Regular local school district","2503030","6250000.0","5168","Required full school year",,,,,"Required full school year",,,,
"56","Massachusetts","MA","District","No","Brimfield","Regular local school district","2503060","430000.0","259","Required full school year",,,,,"Required full school year",,,,
"57","Massachusetts","MA","District","No","Bristol-Plymouth Regional Vocational Technical","Regular local school district","2503080","8100000.0","1319","Required full school year",,,,,"Required full school year",,,,
"58","Massachusetts","MA","District","No","Bristol County Agricultural","Regular local school district","2503070","9100000.0","448","Required full school year",,,,,"Required full school year",,,,
"59","Massachusetts","MA","District","No","Brockton","Regular local school district","2503090","440000.0","15114","Required full school year",,,,,"Required full school year",,,,
"60","Massachusetts","MA","District","Yes","Brooke Charter School (District)","Charter agency","2500071","4280000.0","2053","Required full school year",,,,,"Required full school year",,,,
"61","Massachusetts","MA","District","No","Brookfield","Regular local school district","2503120","450000.0","254","Required full school year",,,,,"Required full school year",,,,
"62","Massachusetts","MA","District","No","Brookline","Regular local school district","2503150","460000.0","6720","Required full school year",,,,,"Required full school year",,,,
"63","Massachusetts","MA","District","No","Burlington","Regular local school district","2503240","480000.0","3315","Required full school year",,,,,"Required full school year",,,,
"64","Massachusetts","MA","District","No","C.a.s.e. Concord Area Sped Collaborative","Regional education service agency","2500580","05160000","90","Required full school year",,,,,"Required full school year",,,,
"65","Massachusetts","MA","District","No","Cambridge","Regular local school district","2503270","490000.0","6216","Required full school year",,,,,"Required full school year",,,,
"66","Massachusetts","MA","District","No","Canton","Regular local school district","2503300","500000.0","3134","Required full school year",,,,,"Required full school year",,,,
"67","Massachusetts","MA","District","Yes","Cape Cod Lighthouse Charter (District)","Charter agency","2500024","4320000.0","250","Required full school year",,,,,"Required full school year",,,,
"68","Massachusetts","MA","District","No","Cape Cod Regional Vocational Technical","Regular local school district","2503310","8150000.0","626","Required full school year",,,,,"Required full school year",,,,
"69","Massachusetts","MA","District","No","Caps Education Collaborative","Regional education service agency","2500570","05140000","116","Required full school year",,,,,"Required full school year",,,,
"70","Massachusetts","MA","District","No","Carlisle","Regular local school district","2503330","510000.0","570","Required full school year",,,,,"Required full school year",,,,
"71","Massachusetts","MA","District","No","Carver","Regular local school district","2503360","520000.0","1441","Required full school year",,,,,"Required full school year",,,,
"72","Massachusetts","MA","District","No","Central Berkshire","Regular local school district","2503390","6350000.0","1474","Required full school year",,,,,"Required full school year",,,,
"73","Massachusetts","MA","District","No","Central Massachusetts Sped Collaborative","Regional education service agency","2500565","05180000","479","Required full school year",,,,,"Required full school year",,,,
"74","Massachusetts","MA","District","No","Chelmsford","Regular local school district","2503510","560000.0","4750","Required full school year",,,,,"Required full school year",,,,
"75","Massachusetts","MA","District","No","Chelsea","Regular local school district","2503540","570000.0","5870","Required full school year",,,,,"Required full school year",,,,
"76","Massachusetts","MA","District","No","Chesterfield-Goshen","Regular local school district","2500014","6320000.0","101","Required full school year",,,,,"Required full school year",,,,
"77","Massachusetts","MA","District","No","Chicopee","Regular local school district","2503660","610000.0","6727","Required full school year",,,,,"Required full school year",,,,
"78","Massachusetts","MA","District","Yes","Christa Mcauliffe Charter Public (District)","Charter agency","2500068","4180000.0","399","Required full school year",,,,,"Required full school year",,,,
"79","Massachusetts","MA","District","Yes","City On A Hill Charter Public School Circuit Street (District)","Charter agency","2500026","4370000.0","299","Required full school year",,,,,"Required full school year",,,,
"80","Massachusetts","MA","District","No","Clarksburg","Regular local school district","2503720","630000.0","190","Required full school year",,,,,"Required full school year",,,,
"81","Massachusetts","MA","District","No","Clinton","Regular local school district","2503750","640000.0","1785","Required full school year",,,,,"Required full school year",,,,
"82","Massachusetts","MA","District","Yes","Codman Academy Charter Public (District)","Charter agency","2500070","4380000.0","328","Required full school year",,,,,"Required full school year",,,,
"83","Massachusetts","MA","District","No","Cohasset","Regular local school district","2503780","650000.0","1423","Required full school year",,,,,"Required full school year",,,,
"84","Massachusetts","MA","District","No","Collaborative For Educational Services","Regional education service agency","2500567","05320000","32","Required full school year",,,,,"Required full school year",,,,
"85","Massachusetts","MA","District","No","Collaborative For Regional Educational Service And Training (Crest)","Regional education service agency","2500585","05280000","140","Required full school year",,,,,"Required full school year",,,,
"86","Massachusetts","MA","District","Yes","Collegiate Charter School Of Lowell (District)","Charter agency","2500545","3.503E7","1015","Required full school year",,,,,"Required full school year",,,,
"87","Massachusetts","MA","District","Yes","Community Charter School Of Cambridge (District)","Charter agency","2500086","4360000.0","304","Required full school year",,,,,"Required full school year",,,,
"88","Massachusetts","MA","District","Yes","Community Day Charter Public School - Gateway (District)","Charter agency","2500538","4260000.0","366","Required full school year",,,,,"Required full school year",,,,
"89","Massachusetts","MA","District","Yes","Community Day Charter Public School - Prospect (District)","Charter agency","2500027","4400000.0","367","Required full school year",,,,,"Required full school year",,,,
"90","Massachusetts","MA","District","Yes","Community Day Charter Public School - R. Kingman Webster (District)","Charter agency","2500535","4310000.0","368","Required full school year",,,,,"Required full school year",,,,
"91","Massachusetts","MA","District","No","Concord","Regular local school district","2503840","670000.0","1964","Required full school year",,,,,"Required full school year",,,,
"92","Massachusetts","MA","District","No","Concord-Carlisle","Regular local school district","2503870","6400000.0","1311","Required full school year",,,,,"Required full school year",,,,
"93","Massachusetts","MA","District","Yes","Conservatory Lab Charter (District)","Charter agency","2500060","4390000.0","408","Required full school year",,,,,"Required full school year",,,,
"94","Massachusetts","MA","District","No","Conway","Regular local school district","2503900","680000.0","118","Required full school year",,,,,"Required full school year",,,,
"95","Massachusetts","MA","District","No","Danvers","Regular local school district","2503990","710000.0","3218","Required full school year",,,,,"Required full school year",,,,
