"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Michigan","MI","District","Yes","Academic And Career Education Academy","Charter agency","2600330","56903","82","Required full school year",,,,,"Required full school year",,,,
"2","Michigan","MI","District","Yes","Academy For Business And Technology","Charter agency","2600166","82921","539","Required full school year",,,,,"Required full school year",,,,
"3","Michigan","MI","District","Yes","Academy Of Warren","Charter agency","2600308","50911","644","Required full school year",,,,,"Required full school year",,,,
"4","Michigan","MI","District","Yes","Ace Academy (Sda)","Charter agency","2600943","82998","136","Required full school year",,,,,"Required full school year",,,,
"5","Michigan","MI","District","Yes","Achieve Charter Academy","Charter agency","2600963","82717","792","Required full school year",,,,,"Required full school year",,,,
"6","Michigan","MI","District","No","Adams Township School District","Regular local school district","2601890","31020","453","Required full school year",,,,,"Required full school year",,,,
"7","Michigan","MI","District","No","Addison Community Schools","Regular local school district","2601920","46020","763","Required full school year",,,,,"Required full school year",,,,
"8","Michigan","MI","District","No","Adrian Public Schools","Regular local school district","2601950","46010","2797","Required full school year",,,,,"Required full school year",,,,
"9","Michigan","MI","District","Yes","Advanced Technology Academy","Charter agency","2600255","63914","1260","Required full school year",,,,,"Required full school year",,,,
"10","Michigan","MI","District","Yes","Agbu Alex-Marie Manoogian School","Charter agency","2600106","63901","373","Required full school year",,,,,"Required full school year",,,,
"11","Michigan","MI","District","No","Airport Community Schools","Regular local school district","2601980","58020","2601","Required full school year",,,,,"Required full school year",,,,
"12","Michigan","MI","District","No","Akron-Fairgrove Schools","Regular local school district","2602010","79010","340","Required full school year",,,,,"Required full school year",,,,
"13","Michigan","MI","District","No","Alanson Public Schools","Regular local school district","2621810","24030","210","Required full school year",,,,,"Required full school year",,,,
"14","Michigan","MI","District","No","Alba Public Schools","Regular local school district","2602040","05010","111","Required full school year",,,,,"Required full school year",,,,
"15","Michigan","MI","District","No","Alcona Community Schools","Regular local school district","2602160","01010","660","Required full school year",,,,,"Required full school year",,,,
"16","Michigan","MI","District","No","Algonac Community School District","Regular local school district","2602190","74030","1372","Required full school year",,,,,"Required full school year",,,,
"17","Michigan","MI","District","No","Allegan Public Schools","Regular local school district","2602220","03030","2209","Required full school year",,,,,"Required full school year",,,,
