"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Minnesota","MN","District","Yes","Academia Cesar Chavez Charter School","Charter agency","2700185","7.4073e+10","518","Required full school year",,,,,"Required full school year",,,,
"2","Minnesota","MN","District","Yes","Academic Arts High School","Charter agency","2700361","7.4119e+10","89","Required full school year",,,,,"Required full school year",,,,
"3","Minnesota","MN","District","Yes","Academy For Sciences & Agriculture (Afsa)","Charter agency","2700186","7.4074e+10","438","Required full school year",,,,,"Required full school year",,,,
"4","Minnesota","MN","District","Yes","Achieve Language Academy","Charter agency","2700118","7.4018e+10","413","Required full school year",,,,,"Required full school year",,,,
"5","Minnesota","MN","District","No","Ada-Borup Public School District","Regular local school district","2700126","1.2854e+10","578","Required full school year",,,,,"Required full school year",,,,
"6","Minnesota","MN","District","No","Adrian Public School District","Regular local school district","2702730","1.0511e+10","563","Required full school year",,,,,"Required full school year",,,,
"7","Minnesota","MN","District","Yes","Agamim Classical Academy","Charter agency","2700394","7.422e+10","314","Required full school year",,,,,"Required full school year",,,,
"8","Minnesota","MN","District","No","Aitkin Public School District","Regular local school district","2702760","1.0001e+10","1107","Required full school year",,,,,"Required full school year",,,,
"9","Minnesota","MN","District","No","Albany Public School District","Regular local school district","2702930","1.0745e+10","1758","Required full school year",,,,,"Required full school year",,,,
"10","Minnesota","MN","District","No","Albert Lea Public School District","Regular local school district","2702970","1.0241e+10","3331","Required full school year",,,,,"Required full school year",,,,
"11","Minnesota","MN","District","No","Alden-Conger Public School District","Regular local school district","2703030","1.0242e+10","468","Required full school year",,,,,"Required full school year",,,,
"12","Minnesota","MN","District","No","Alexandria Public School District","Regular local school district","2703060","1.0206e+10","3973","Required full school year",,,,,"Required full school year",,,,
"13","Minnesota","MN","District","No","Annandale Public School District","Regular local school district","2703150","1.0876e+10","1977","Required full school year",,,,,"Required full school year",,,,
"14","Minnesota","MN","District","No","Anoka-Hennepin Public School District","Regular local school district","2703180","1.0011e+10","36750","Required full school year",,,,,"Required full school year",,,,
"15","Minnesota","MN","District","Yes","Arcadia Charter School","Charter agency","2700355","7.4091e+10","108","Required full school year",,,,,"Required full school year",,,,
"16","Minnesota","MN","District","Yes","Art And Science Academy","Charter agency","2700397","7.4227e+10","347","Required full school year",,,,,"Required full school year",,,,
"17","Minnesota","MN","District","No","Ashby Public School District","Regular local school district","2703300","1.0261e+10","309","Required full school year",,,,,"Required full school year",,,,
"18","Minnesota","MN","District","Yes","Aspen Academy","Charter agency","2700311","7.4184e+10","647","Required full school year",,,,,"Required full school year",,,,
"19","Minnesota","MN","District","Yes","Athlos Academy Of Saint Cloud","Charter agency","2700430","7.425e+10","644","Required full school year",,,,,"Required full school year",,,,
"20","Minnesota","MN","District","Yes","Athlos Leadership Academy","Charter agency","2700096","7.4011e+10","916","Required full school year",,,,,"Required full school year",,,,
"21","Minnesota","MN","District","No","Atwater Cosmos Grove City (A.c.g.c.) Public School District","Regular local school district","2700106","1.2396e+10","846","Required full school year",,,,,"Required full school year",,,,
"22","Minnesota","MN","District","Yes","Augsburg Fairview Academy","Charter agency","2700350","7.4111e+10","98","Required full school year",,,,,"Required full school year",,,,
"23","Minnesota","MN","District","Yes","Aurora Charter School","Charter agency","2700220","7.4067e+10","395","Required full school year",,,,,"Required full school year",,,,
"24","Minnesota","MN","District","Yes","Aurora Waasakone Community Of Learners","Charter agency","2700455","7.4271e+10","104","Required full school year",,,,,"Required full school year",,,,
"25","Minnesota","MN","District","No","Austin Albert Lea Area Special Education","Specialized public school district","2700426","5.26095e+11","41","Required full school year",,,,,"Required full school year",,,,
"26","Minnesota","MN","District","No","Austin Public School District","Regular local school district","2703450","1.0492e+10","4854","Required full school year",,,,,"Required full school year",,,,
"27","Minnesota","MN","District","Yes","Avalon School","Charter agency","2700187","7.4075e+10","247","Required full school year",,,,,"Required full school year",,,,
"28","Minnesota","MN","District","No","Badger Public School District","Regular local school district","2703540","1.0676e+10","219","Required full school year",,,,,"Required full school year",,,,
"29","Minnesota","MN","District","No","Bagley Public School District","Regular local school district","2703570","1.0162e+10","888","Required full school year",,,,,"Required full school year",,,,
"30","Minnesota","MN","District","No","Barnesville Public School District","Regular local school district","2703660","1.0146e+10","898","Required full school year",,,,,"Required full school year",,,,
"31","Minnesota","MN","District","No","Barnum Public School District","Regular local school district","2703690","1.0091e+10","699","Required full school year",,,,,"Required full school year",,,,
"32","Minnesota","MN","District","No","Battle Lake Public School District","Regular local school district","2703750","1.0542e+10","426","Required full school year",,,,,"Required full school year",,,,
"33","Minnesota","MN","District","Yes","Bdote Learning Center","Charter agency","2700396","7.4226e+10","102","Required full school year",,,,,"Required full school year",,,,
"34","Minnesota","MN","District","Yes","Beacon Academy","Charter agency","2700366","7.4124e+10","568","Required full school year",,,,,"Required full school year",,,,
"35","Minnesota","MN","District","No","Becker Public School District","Regular local school district","2703870","1.0726e+10","2810","Required full school year",,,,,"Required full school year",,,,
"36","Minnesota","MN","District","No","Belgrade-Brooten-Elrosa School District","Regular local school district","2700105","1.2364e+10","629","Required full school year",,,,,"Required full school year",,,,
"37","Minnesota","MN","District","No","Belle Plaine Public School District","Regular local school district","2704050","1.0716e+10","1539","Required full school year",,,,,"Required full school year",,,,
"38","Minnesota","MN","District","No","Bemidji Public School District","Regular local school district","2704440","1.0031e+10","4838","Required full school year",,,,,"Required full school year",,,,
"39","Minnesota","MN","District","No","Benson Public School District","Regular local school district","2704470","1.0777e+10","756","Required full school year",,,,,"Required full school year",,,,
"40","Minnesota","MN","District","No","Benton-Stearns Education District","Specialized public school district","2700071","6.16383e+11","59","Required full school year",,,,,"Required full school year",,,,
"41","Minnesota","MN","District","No","Bertha-Hewitt Public School District","Regular local school district","2705430","1.0786e+10","504","Required full school year",,,,,"Required full school year",,,,
"42","Minnesota","MN","District","Yes","Best Academy","Charter agency","2700309","7.4192e+10","715","Required full school year",,,,,"Required full school year",,,,
"43","Minnesota","MN","District","No","Big Lake Public School District","Regular local school district","2705460","1.0727e+10","2935","Required full school year",,,,,"Required full school year",,,,
"44","Minnesota","MN","District","Yes","Birch Grove Community School","Charter agency","2700255","7.4145e+10","43","Required full school year",,,,,"Required full school year",,,,
"45","Minnesota","MN","District","No","Bird Island-Olivia-Lake Lillian","Regular local school district","2705660","1.2534e+10","611","Required full school year",,,,,"Required full school year",,,,
"46","Minnesota","MN","District","No","Blackduck Public School District","Regular local school district","2705730","1.0032e+10","624","Required full school year",,,,,"Required full school year",,,,
"47","Minnesota","MN","District","No","Blooming Prairie Public School District","Regular local school district","2705760","1.0756e+10","792","Required full school year",,,,,"Required full school year",,,,
"48","Minnesota","MN","District","No","Bloomington Public School District","Regular local school district","2705790","1.0271e+10","9806","Required full school year",,,,,"Required full school year",,,,
"49","Minnesota","MN","District","No","Blue Earth Area Public School","Regular local school district","2700130","1.286e+10","1034","Required full school year",,,,,"Required full school year",,,,
"50","Minnesota","MN","District","Yes","Bluesky Charter School","Charter agency","2700193","7.4082e+10","603","Required full school year",,,,,"Required full school year",,,,
"51","Minnesota","MN","District","Yes","Bluffview Montessori","Charter agency","2705850","7.4001e+10","208","Required full school year",,,,,"Required full school year",,,,
"52","Minnesota","MN","District","No","Braham Public School District","Regular local school district","2706060","1.0314e+10","739","Required full school year",,,,,"Required full school year",,,,
"53","Minnesota","MN","District","No","Brainerd Public School District","Regular local school district","2706090","1.0181e+10","6173","Required full school year",,,,,"Required full school year",,,,
"54","Minnesota","MN","District","No","Brandon-Evansville Public Schools","Regular local school district","2700382","1.2908e+10","488","Required full school year",,,,,"Required full school year",,,,
"55","Minnesota","MN","District","No","Breckenridge Public School District","Regular local school district","2706150","1.0846e+10","616","Required full school year",,,,,"Required full school year",,,,
"56","Minnesota","MN","District","No","Brooklyn Center School District","Regular local school district","2706240","1.0286e+10","2234","Required full school year",,,,,"Required full school year",,,,
"57","Minnesota","MN","District","No","Browerville Public School District","Regular local school district","2706300","1.0787e+10","523","Required full school year",,,,,"Required full school year",,,,
"58","Minnesota","MN","District","No","Browns Valley Public School District","Regular local school district","2707110","1.0801e+10","166","Required full school year",,,,,"Required full school year",,,,
"59","Minnesota","MN","District","No","Buffalo-Hanover-Montrose Public Schools","Regular local school district","2707200","1.0877e+10","5379","Required full school year",,,,,"Required full school year",,,,
"60","Minnesota","MN","District","No","Buffalo Lake-Hector-Stewart Public Schools","Regular local school district","2700023","1.2159e+10","471","Required full school year",,,,,"Required full school year",,,,
"61","Minnesota","MN","District","No","Burnsville Public School District","Regular local school district","2707290","1.0191e+10","7569","Required full school year",,,,,"Required full school year",,,,
"62","Minnesota","MN","District","No","Butterfield Public School District","Regular local school district","2707320","1.0836e+10","205","Required full school year",,,,,"Required full school year",,,,
"63","Minnesota","MN","District","No","Byron Public School District","Regular local school district","2707350","1.0531e+10","2244","Required full school year",,,,,"Required full school year",,,,
"64","Minnesota","MN","District","No","Caledonia Public School District","Regular local school district","2707380","1.0299e+10","718","Required full school year",,,,,"Required full school year",,,,
"65","Minnesota","MN","District","No","Cambridge-Isanti Public School District","Regular local school district","2707410","1.0911e+10","4816","Required full school year",,,,,"Required full school year",,,,
