"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Mississippi","MS","District","No","Aberdeen School Dist","Regular local school district","2800360","4820","1066","Required full school year",,,,,"Required full school year",,,,
"2","Mississippi","MS","District","No","Alcorn School Dist","Regular local school district","2800390","0200","3013","Required full school year",,,,,"Required full school year",,,,
"3","Mississippi","MS","District","Yes","Ambition Preparatory Charter School","Charter agency","2800197","2545","239","Required full school year",,,,,"Required full school year",,,,
"4","Mississippi","MS","District","No","Amite County School District","Regular local school district","2800420","0300","816","Required full school year",,,,,"Required full school year",,,,
"5","Mississippi","MS","District","No","Amory School Dist","Regular local school district","2800450","4821","1532","Required full school year",,,,,"Required full school year",,,,
"6","Mississippi","MS","District","No","Attala Co School Dist","Regular local school district","2800510","0400","962","Required full school year",,,,,"Required full school year",,,,
"7","Mississippi","MS","District","No","Baldwyn School District","Regular local school district","2800540","5920","740","Required full school year",,,,,"Required full school year",,,,
"8","Mississippi","MS","District","No","Bay St Louis Waveland School Dist","Regular local school district","2800570","2320","1618","Required full school year",,,,,"Required full school year",,,,
"9","Mississippi","MS","District","No","Benton Co School Dist","Regular local school district","2800600","0500","935","Required full school year",,,,,"Required full school year",,,,
"10","Mississippi","MS","District","No","Biloxi Public School Dist","Regular local school district","2800630","2420","5831","Required full school year",,,,,"Required full school year",,,,
"11","Mississippi","MS","District","No","Booneville School Dist","Regular local school district","2800820","5921","1267","Required full school year",,,,,"Required full school year",,,,
"12","Mississippi","MS","District","No","Brookhaven School Dist","Regular local school district","2800840","4320","2572","Required full school year",,,,,"Required full school year",,,,
"13","Mississippi","MS","District","No","Calhoun Co School Dist","Regular local school district","2800870","0700","2161","Required full school year",,,,,"Required full school year",,,,
"14","Mississippi","MS","District","No","Canton Public School Dist","Regular local school district","2800900","4520","3138","Required full school year",,,,,"Required full school year",,,,
"15","Mississippi","MS","District","No","Carroll County School Dist","Regular local school district","2800930","0800","785","Required full school year",,,,,"Required full school year",,,,
"16","Mississippi","MS","District","No","Chickasaw Co School Dist","Regular local school district","2800960","0900","452","Required full school year",,,,,"Required full school year",,,,
"17","Mississippi","MS","District","No","Choctaw Co School Dist","Regular local school district","2800990","1000","1116","Required full school year",,,,,"Required full school year",,,,
"18","Mississippi","MS","District","No","Claiborne Co School Dist","Regular local school district","2801020","1100","1286","Required full school year",,,,,"Required full school year",,,,
"19","Mississippi","MS","District","Yes","Clarksdale Collegiate District","Charter agency","2800194","1425","330","Required full school year",,,,,"Required full school year",,,,
"20","Mississippi","MS","District","No","Clarksdale Municipal School Dist","Regular local school district","2801050","1420","2161","Required full school year",,,,,"Required full school year",,,,
"21","Mississippi","MS","District","No","Cleveland School Dist","Regular local school district","2800750","0614","2843","Required full school year",,,,,"Required full school year",,,,
"22","Mississippi","MS","District","No","Clinton Public School Dist","Regular local school district","2801090","2521","5205","Required full school year",,,,,"Required full school year",,,,
"23","Mississippi","MS","District","No","Coahoma County School District","Regular local school district","2801110","1400","1108","Required full school year",,,,,"Required full school year",,,,
"24","Mississippi","MS","District","No","Coahoma Early College","Regular local school district","2801100","1402","110","Required full school year",,,,,"Required full school year",,,,
"25","Mississippi","MS","District","No","Coffeeville School Dist","Regular local school district","2801140","8111","431","Required full school year",,,,,"Required full school year",,,,
"26","Mississippi","MS","District","No","Columbia School District","Regular local school district","2801170","4620","1574","Required full school year",,,,,"Required full school year",,,,
"27","Mississippi","MS","District","No","Columbus Municipal School Dist","Regular local school district","2801200","4420","3184","Required full school year",,,,,"Required full school year",,,,
"28","Mississippi","MS","District","No","Copiah Co School Dist","Regular local school district","2801220","1500","2254","Required full school year",,,,,"Required full school year",,,,
"29","Mississippi","MS","District","No","Corinth School Dist","Regular local school district","2801260","0220","2390","Required full school year",,,,,"Required full school year",,,,
"30","Mississippi","MS","District","No","Covington County School District","Regular local school district","2801290","1600","2600","Required full school year",,,,,"Required full school year",,,,
"31","Mississippi","MS","District","No","Desoto Co School Dist","Regular local school district","2801320","1700","33651","Required full school year",,,,,"Required full school year",,,,
"32","Mississippi","MS","District","No","East Jasper Consolidated Sch Dist","Regular local school district","2801380","3111","806","Required full school year",,,,,"Required full school year",,,,
"33","Mississippi","MS","District","No","East Tallahatchie Consol Sch Dist","Regular local school district","2801410","6811","927","Required full school year",,,,,"Required full school year",,,,
"34","Mississippi","MS","District","No","Enterprise School Dist","Regular local school district","2801440","1211","875","Required full school year",,,,,"Required full school year",,,,
"35","Mississippi","MS","District","No","Forest Municipal School Dist","Regular local school district","2801470","6220","1596","Required full school year",,,,,"Required full school year",,,,
"36","Mississippi","MS","District","No","Forrest County Ag High School","Regular local school district","2801510","1802","441","Required full school year",,,,,"Required full school year",,,,
"37","Mississippi","MS","District","No","Forrest County School District","Regular local school district","2801490","1800","2146","Required full school year",,,,,"Required full school year",,,,
"38","Mississippi","MS","District","No","Franklin Co School Dist","Regular local school district","2801530","1900","1059","Required full school year",,,,,"Required full school year",,,,
"39","Mississippi","MS","District","No","George Co School Dist","Regular local school district","2801560","2000","3735","Required full school year",,,,,"Required full school year",,,,
"40","Mississippi","MS","District","No","Greene County School District","Regular local school district","2801590","2100","1674","Required full school year",,,,,"Required full school year",,,,
"41","Mississippi","MS","District","No","Greenville Public Schools","Regular local school district","2801620","7620","3786","Required full school year",,,,,"Required full school year",,,,
"42","Mississippi","MS","District","No","Greenwood-Leflore Cons Sch District","Regular local school district","2800198","4211","4051","Required full school year",,,,,"Required full school year",,,,
"43","Mississippi","MS","District","No","Grenada School Dist","Regular local school district","2801680","2220","3731","Required full school year",,,,,"Required full school year",,,,
"44","Mississippi","MS","District","No","Gulfport School Dist","Regular local school district","2801710","2421","6303","Required full school year",,,,,"Required full school year",,,,
"45","Mississippi","MS","District","No","Hancock Co School Dist","Regular local school district","2801740","2300","4119","Required full school year",,,,,"Required full school year",,,,
"46","Mississippi","MS","District","No","Harrison Co School Dist","Regular local school district","2801770","2400","13610","Required full school year",,,,,"Required full school year",,,,
"47","Mississippi","MS","District","No","Hattiesburg Public School Dist","Regular local school district","2801800","1820","3600","Required full school year",,,,,"Required full school year",,,,
"48","Mississippi","MS","District","No","Hazlehurst City School District","Regular local school district","2801830","1520","1418","Required full school year",,,,,"Required full school year",,,,
"49","Mississippi","MS","District","No","Hinds Co School Dist","Regular local school district","2801860","2500","5260","Required full school year",,,,,"Required full school year",,,,
"50","Mississippi","MS","District","No","Hollandale School Dist","Regular local school district","2801890","7611","498","Required full school year",,,,,"Required full school year",,,,
"51","Mississippi","MS","District","No","Holly Springs School Dist","Regular local school district","2801950","4720","1116","Required full school year",,,,,"Required full school year",,,,
"52","Mississippi","MS","District","No","Holmes Co Consolidated School Dist","Regular local school district","2800195","2611","2641","Required full school year",,,,,"Required full school year",,,,
"53","Mississippi","MS","District","No","Houston  School Dist","Regular local school district","2802010","0920","1676","Required full school year",,,,,"Required full school year",,,,
"54","Mississippi","MS","District","No","Humphreys Co School Dist","Regular local school district","2802040","2700","1386","Required full school year",,,,,"Required full school year",,,,
"55","Mississippi","MS","District","No","Itawamba County School Dist","Regular local school district","2802100","2900","3371","Required full school year",,,,,"Required full school year",,,,
"56","Mississippi","MS","District","No","Jackson Co School Dist","Regular local school district","2802160","3000","8713","Required full school year",,,,,"Required full school year",,,,
"57","Mississippi","MS","District","No","Jackson Public School District","Regular local school district","2802190","2520","19967","Required full school year",,,,,"Required full school year",,,,
"58","Mississippi","MS","District","No","Jefferson Co School Dist","Regular local school district","2802220","3200","1070","Required full school year",,,,,"Required full school year",,,,
"59","Mississippi","MS","District","No","Jefferson Davis Co School Dist","Regular local school district","2802250","3300","1258","Required full school year",,,,,"Required full school year",,,,
"60","Mississippi","MS","District","Yes","Joel E Smilow Collegiate","Charter agency","2800193","2505","516","Required full school year",,,,,"Required full school year",,,,
"61","Mississippi","MS","District","Yes","Joel E. Smillow Prep","Charter agency","2800192","2535","503","Required full school year",,,,,"Required full school year",,,,
"62","Mississippi","MS","District","No","Jones Co School Dist","Regular local school district","2802280","3400","7941","Required full school year",,,,,"Required full school year",,,,
"63","Mississippi","MS","District","No","Kemper Co School Dist","Regular local school district","2802310","3500","839","Required full school year",,,,,"Required full school year",,,,
"64","Mississippi","MS","District","No","Kosciusko School District","Regular local school district","2802340","0420","2093","Required full school year",,,,,"Required full school year",,,,
