"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Missouri","MO","District","Yes","Academie Lafayette","Charter agency","2900017","048914","1196",,,,,,,,,,
"2","Missouri","MO","District","Yes","Academy For Integrated Arts","Charter agency","2900604","048927","246",,,,,,,,,,
"3","Missouri","MO","District","No","Adair Co. R-I","Regular local school district","2922980","001090","208",,,,,,,,,,
"4","Missouri","MO","District","No","Adair Co. R-Ii","Regular local school district","2905790","001092","145","Required at least part of school year","11/25/20","4/15/21",,,"Required at least part of school year","11/25/20","4/15/21",,
"5","Missouri","MO","District","No","Adrian R-Iii","Regular local school district","2902850","007123","682",,,,,,,,,,
"6","Missouri","MO","District","No","Advance R-Iv","Regular local school district","2902880","103129","419","Required full school year",,,,,"Required full school year",,,,
"7","Missouri","MO","District","No","Affton 101","Regular local school district","2902910","096098","2515",,,,,,,,,,
"8","Missouri","MO","District","No","Albany R-Iii","Regular local school district","2902970","038046","414","Required at least part of school year","10/1/20","5/20/21",,,"Required at least part of school year","10/1/20","5/20/21",,
"9","Missouri","MO","District","Yes","Allen Village","Charter agency","2900025","048909","489","Required full school year",,,,,"Required full school year",,,,
"10","Missouri","MO","District","No","Altenburg 48","Regular local school district","2903040","079078","89","Required full school year",,,,,"Required full school year",,,,
"11","Missouri","MO","District","No","Alton R-Iv","Regular local school district","2903060","075087","585","Required at least part of school year","11/12/20","5/13/21",,,"Required at least part of school year","11/12/20","5/13/21",,
"12","Missouri","MO","District","No","Appleton City R-Ii","Regular local school district","2903120","093120","329",,,,,,,,,,
"13","Missouri","MO","District","No","Arcadia Valley R-Ii","Regular local school district","2903150","047062","920",,,,,,,,,,
"14","Missouri","MO","District","No","Archie R-V","Regular local school district","2903200","019139","495",,,,,,,,,,
"15","Missouri","MO","District","No","Ash Grove R-Iv","Regular local school district","2903270","039135","667","Required full school year",,,,,"Required full school year",,,,
"16","Missouri","MO","District","No","Atlanta C-3","Regular local school district","2903480","061150","195",,,,,,,,,,
"17","Missouri","MO","District","No","Aurora R-Viii","Regular local school district","2904020","055110","1687","Not required",,,,,"Not required",,,,
"18","Missouri","MO","District","No","Ava R-I","Regular local school district","2904050","034124","1296",,,,,,,,,,
"19","Missouri","MO","District","No","Avenue City R-Ix","Regular local school district","2904080","002090","167","Required at least part of school year","12/1/20","5/1/21",,,"Required at least part of school year","12/1/20","5/1/21",,
"20","Missouri","MO","District","No","Avilla R-Xiii","Regular local school district","2904110","049135","126","Not required",,,,,"Not required",,,,
"21","Missouri","MO","District","No","Bakersfield R-Iv","Regular local school district","2904140","077101","375",,,,,,,,,,
"22","Missouri","MO","District","No","Ballard R-Ii","Regular local school district","2904170","007122","118",,,,,,,,,,
"23","Missouri","MO","District","No","Bayless","Regular local school district","2904500","096099","1650",,,,,,,,,,
"24","Missouri","MO","District","No","Bell City R-Ii","Regular local school district","2904530","103128","217",,,,,,,,,,
"25","Missouri","MO","District","No","Belleview R-Iii","Regular local school district","2904590","047064","111",,,,,,,,,,
"26","Missouri","MO","District","No","Belton 124","Regular local school district","2904620","019152","4334","Required full school year",,,,,"Required full school year",,,,
"27","Missouri","MO","District","No","Bernie R-Xiii","Regular local school district","2904950","103135","508",,,,,,,,,,
"28","Missouri","MO","District","No","Bevier C-4","Regular local school district","2904980","061151","184",,,,,,,,,,
"29","Missouri","MO","District","No","Billings R-Iv","Regular local school district","2905070","022091","356",,,,,,,,,,
"30","Missouri","MO","District","No","Bismarck R-V","Regular local school district","2905130","094076","490",,,,,,,,,,
"31","Missouri","MO","District","No","Blackwater R-Ii","Regular local school district","2905190","027055","87","Not required",,,,,"Not required",,,,
"32","Missouri","MO","District","No","Blair Oaks R-Ii","Regular local school district","2909930","026002","1232",,,,,,,,,,
"33","Missouri","MO","District","No","Bloomfield R-Xiv","Regular local school district","2905250","103131","609",,,,,,,,,,
"34","Missouri","MO","District","No","Blue Eye R-V","Regular local school district","2905280","104045","473",,,,,,,,,,
"35","Missouri","MO","District","No","Blue Springs R-Iv","Regular local school district","2905310","048068","14533",,,,,,,,,,
"36","Missouri","MO","District","No","Bolivar R-I","Regular local school district","2905370","084001","2651",,,,,,,,,,
"37","Missouri","MO","District","No","Boncl R-X","Regular local school district","2905400","082105","49",,,,,,,,,,
"38","Missouri","MO","District","No","Boonville R-I","Regular local school district","2905580","027061","1510",,,,,,,,,,
"39","Missouri","MO","District","No","Bosworth R-V","Regular local school district","2905610","017124","47",,,,,,,,,,
"40","Missouri","MO","District","No","Bowling Green R-I","Regular local school district","2905660","082100","1300",,,,,,,,,,
"41","Missouri","MO","District","No","Bradleyville R-I","Regular local school district","2905700","106001","220",,,,,,,,,,
"42","Missouri","MO","District","No","Branson R-Iv","Regular local school district","2905760","106004","4464",,,,,,,,,,
"43","Missouri","MO","District","No","Braymer C-4","Regular local school district","2905820","013061","281",,,,,,,,,,
"44","Missouri","MO","District","No","Breckenridge R-I","Regular local school district","2905850","013054","57",,,,,,,,,,
"45","Missouri","MO","District","No","Brentwood","Regular local school district","2905880","096101","734",,,,,,,,,,
"46","Missouri","MO","District","No","Bronaugh R-Vii","Regular local school district","2905910","108143","173",,,,,,,,,,
"47","Missouri","MO","District","No","Brookfield R-Iii","Regular local school district","2905940","058112","886","Required full school year",,,,,"Not required",,,,
"48","Missouri","MO","District","Yes","Brookside Charter Sch.","Charter agency","2900024","048916","691",,,,,,,,,,
"49","Missouri","MO","District","No","Brunswick R-Ii","Regular local school district","2906030","021149","238",,,,,,,,,,
"50","Missouri","MO","District","No","Buchanan Co. R-Iv","Regular local school district","2910590","011079","260","Required full school year",,,,,"Required full school year",,,,
"51","Missouri","MO","District","No","Bucklin R-Ii","Regular local school district","2906090","058107","130",,,,,,,,,,
"52","Missouri","MO","District","No","Bunker R-Iii","Regular local school district","2906170","090077","212","Required at least part of school year","12/1/20","2/1/21",,,"Required at least part of school year","12/1/20","2/1/21",,
"53","Missouri","MO","District","No","Butler R-V","Regular local school district","2906360","007129","918",,,,,,,,,,
"54","Missouri","MO","District","No","Cabool R-Iv","Regular local school district","2906430","107155","662",,,,,,,,,,
"55","Missouri","MO","District","No","Cainsville R-I","Regular local school district","2906450","041001","83","Required at least part of school year","8/28/20","9/18/20",,,"Required at least part of school year","8/28/20","9/18/20",,
"56","Missouri","MO","District","No","Calhoun R-Viii","Regular local school district","2906480","042117","88",,,,,,,,,,
"57","Missouri","MO","District","No","Callao C-8","Regular local school district","2906540","061157","51","Required full school year",,,,,"Required full school year",,,,
"58","Missouri","MO","District","No","Camdenton R-Iii","Regular local school district","2906990","015002","3874",,,,,,,,,,
"59","Missouri","MO","District","No","Cameron R-I","Regular local school district","2907020","025001","1592","Required full school year",,,,,"Required full school year",,,,
"60","Missouri","MO","District","No","Campbell R-Ii","Regular local school district","2907050","035093","504","Required at least part of school year","1/1/21","5/1/21",,,"Required at least part of school year","1/1/21","5/1/21",,
"61","Missouri","MO","District","No","Canton R-V","Regular local school district","2907080","056015","493","Required at least part of school year",,,,,"Required at least part of school year",,,,
"62","Missouri","MO","District","No","Cape Girardeau 63","Regular local school district","2907120","016096","4151",,,,,,,,,,
"63","Missouri","MO","District","No","Carl Junction R-I","Regular local school district","2907350","049132","3169",,,,,,,,,,
"64","Missouri","MO","District","No","Carrollton R-Vii","Regular local school district","2907380","017125","831",,,,,,,,,,
"65","Missouri","MO","District","No","Carthage R-Ix","Regular local school district","2907460","049142","4873",,,,,,,,,,
"66","Missouri","MO","District","No","Caruthersville 18","Regular local school district","2907470","078012","965",,,,,,,,,,
"67","Missouri","MO","District","No","Cassville R-Iv","Regular local school district","2908170","005123","1775","Required full school year","8/1/20","5/1/21",,,"Required at least part of school year","11/1/20","5/1/21",,
"68","Missouri","MO","District","No","Center 58","Regular local school district","2908250","048080","2416",,,,,,,,,,
"69","Missouri","MO","District","No","Centerville R-I","Regular local school district","2908340","090075","59",,,,,,,,,,
"70","Missouri","MO","District","No","Central R-Iii","Regular local school district","2929170","094086","2014","Required at least part of school year","9/22/20","10/21/20","1/11/21","5/21/21","Required at least part of school year","9/22/20","10/21/20","1/11/21","5/21/21"
"71","Missouri","MO","District","No","Centralia R-Vi","Regular local school district","2908400","010091","1309",,,,,,,,,,
"72","Missouri","MO","District","No","Chadwick R-I","Regular local school district","2908430","022088","245",,,,,,,,,,
"73","Missouri","MO","District","No","Chaffee R-Ii","Regular local school district","2908460","100060","630",,,,,,,,,,
"74","Missouri","MO","District","No","Charleston R-I","Regular local school district","2908670","067061","786","Required full school year",,,,,"Required full school year",,,,
"75","Missouri","MO","District","No","Chilhowee R-Iv","Regular local school district","2908730","051153","159",,,,,,,,,,
"76","Missouri","MO","District","No","Chillicothe R-Ii","Regular local school district","2908760","059117","1739",,,,,,,,,,
"77","Missouri","MO","District","Yes","Citizens Of The World Charter","Charter agency","2900612","048928","521",,,,,,,,,,
"78","Missouri","MO","District","Yes","City Garden Montessori","Charter agency","2900585","115911","205","Required full school year",,,,,"Required full school year",,,,
"79","Missouri","MO","District","No","Clark Co. R-I","Regular local school district","2916380","023101","1015","Required at least part of school year","11/15/20","5/8/21",,,"Required at least part of school year","11/15/20","5/8/21",,
"80","Missouri","MO","District","No","Clarksburg C-2","Regular local school district","2909090","068075","50",,,,,,,,,,
"81","Missouri","MO","District","No","Clarkton C-4","Regular local school district","2909120","035097","319",,,,,,,,,,
"82","Missouri","MO","District","No","Clayton","Regular local school district","2909720","096102","2525",,,,,,,,,,
"83","Missouri","MO","District","No","Clearwater R-I","Regular local school district","2909750","111087","853",,,,,,,,,,
"84","Missouri","MO","District","No","Clever R-V","Regular local school district","2909780","022092","1228","Required full school year",,,,,"Required full school year",,,,
"85","Missouri","MO","District","No","Climax Springs R-Iv","Regular local school district","2909810","015003","182","Required full school year","8/17/20","5/1/21",,,"Required at least part of school year","11/15/20","5/1/21",,
"86","Missouri","MO","District","No","Clinton","Regular local school district","2909860","042124","1705",,,,,,,,,,
"87","Missouri","MO","District","No","Clinton Co. R-Iii","Regular local school district","2925290","025003","617",,,,,,,,,,
"88","Missouri","MO","District","No","Cole Camp R-I","Regular local school district","2909900","008111","675","Required full school year",,,,,"Required full school year",,,,
"89","Missouri","MO","District","No","Cole Co. R-I","Regular local school district","2926970","026001","606","Not required",,,,,"Not required",,,,
"90","Missouri","MO","District","No","Cole Co. R-V","Regular local school district","2911550","026005","620",,,,,,,,,,
"91","Missouri","MO","District","No","Columbia 93","Regular local school district","2901000","010093","17706",,,,,,,,,,
