"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Montana","MT","District","No","Absarokee Elem","Regular local school district","3001710","0861",,"Required at least part of school year",,,,,"Required at least part of school year",,,,
"2","Montana","MT","District","No","Absarokee H S","Regular local school district","3001740","0862",,"Required at least part of school year",,,,,"Required at least part of school year",,,,
"3","Montana","MT","District","No","Alberton K-12 Schools","Regular local school district","3001860","0577",,"Required full school year",,,,,"Required full school year",,,,
"4","Montana","MT","District","No","Amsterdam Elem","Regular local school district","3001980","0376",,,,,,,,,,,
"5","Montana","MT","District","No","Anaconda Elem","Regular local school district","3002010","0236",,,,,,,,,,,
"6","Montana","MT","District","No","Anaconda H S","Regular local school district","3002030","0237",,,,,,,,,,,
"7","Montana","MT","District","No","Anderson Elem","Regular local school district","3002070","0366",,"Required full school year",,,,,"Required full school year",,,,
"8","Montana","MT","District","No","Arlee Elem","Regular local school district","3002220","0474",,"Required full school year",,,,,"Required full school year",,,,
"9","Montana","MT","District","No","Arlee H S","Regular local school district","3002250","0475",,"Required full school year",,,,,"Required full school year",,,,
"10","Montana","MT","District","No","Arrowhead Elem","Regular local school district","3002300","1215",,,,,,,,,,,
"11","Montana","MT","District","No","Augusta Elem","Regular local school district","3002430","0502",,,,,,,,,,,
"12","Montana","MT","District","No","Augusta H S","Regular local school district","3002450","0503",,,,,,,,,,,
"13","Montana","MT","District","No","Avon Elem","Regular local school district","3002550","0720",,"Required full school year",,,,,"Required full school year",,,,
"14","Montana","MT","District","No","Bainville K-12 Schools","Regular local school district","3002640","0785",,,,,,,,,,,
"15","Montana","MT","District","No","Baker K-12 Schools","Regular local school district","3002730","0244",,,,,,,,,,,
"16","Montana","MT","District","No","Basin Elem","Regular local school district","3002820","0455",,,,,,,,,,,
"17","Montana","MT","District","No","Bear Paw Cooperative","Regional education service agency","3000012","9689",,,,,,,,,,,
"18","Montana","MT","District","No","Beaverhead","Supervisory union","3000009","9600",,"Required full school year",,,,,"Required full school year",,,,
"19","Montana","MT","District","No","Beaverhead County H S","Regular local school district","3003090","0006",,,,,,,,,,,
"20","Montana","MT","District","No","Belfry K-12 Schools","Regular local school district","3003270","0076",,,,,,,,,,,
"21","Montana","MT","District","No","Belgrade Elem","Regular local school district","3003290","0368",,"Required full school year",,,,,"Required full school year",,,,
