"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Nebraska","NE","District","No","Adams Central Public Schools","Regular local school district","3102770","010090000","885",,,,,,,,,,
"2","Nebraska","NE","District","No","Ainsworth Community Schools","Regular local school district","3102790","090010000","386",,,,,,,,,,
"3","Nebraska","NE","District","No","Allen Consolidated Schools","Regular local school district","3102880","260070000","144",,,,,,,,,,
"4","Nebraska","NE","District","No","Alliance Public Schools","Regular local school district","3102910","070006000","1300",,,,,,,,,,
"5","Nebraska","NE","District","No","Alma Public Schools","Regular local school district","3100080","420002000","336",,,,,,,,,,
"6","Nebraska","NE","District","No","Amherst Public Schools","Regular local school district","3100070","100119000","353",,,,,,,,,,
"7","Nebraska","NE","District","No","Anselmo-Merna Public Schools","Regular local school district","3100010","210015000","242",,,,,,,,,,
"8","Nebraska","NE","District","No","Ansley Public Schools","Regular local school district","3103060","210044000","178",,,,,,,,,,
"9","Nebraska","NE","District","No","Arapahoe Public Schools","Regular local school district","3103090","330018000","310",,,,,,,,,,
"10","Nebraska","NE","District","No","Arcadia Public Schools","Regular local school district","3103120","880021000","112",,,,,,,,,,
"11","Nebraska","NE","District","No","Arlington Public Schools","Regular local school district","3103130","890024000","659",,,,,,,,,,
"12","Nebraska","NE","District","No","Arnold Public Schools","Regular local school district","3100073","210089000","174",,,,,,,,,,
"13","Nebraska","NE","District","No","Arthur County Schools","Regular local school district","3103210","030500000","120",,,,,,,,,,
"14","Nebraska","NE","District","No","Ashland-Greenwood Public Schs","Regular local school district","3100034","780001000","988",,,,,,,,,,
"15","Nebraska","NE","District","No","Auburn Public Schools","Regular local school district","3103330","640029000","844",,,,,,,,,,
"16","Nebraska","NE","District","No","Aurora Public Schools","Regular local school district","3103360","410504000","1154",,,,,,,,,,
"17","Nebraska","NE","District","No","Axtell Community Schools","Regular local school district","3103420","500501000","273",,,,,,,,,,
"18","Nebraska","NE","District","No","Bancroft-Rosalie Comm Schools","Regular local school district","3103440","200020000","274",,,,,,,,,,
"19","Nebraska","NE","District","No","Banner County Public Schools","Regular local school district","3100067","040001000","138",,,,,,,,,,
"20","Nebraska","NE","District","No","Battle Creek Public Schools","Regular local school district","3103540","590005000","473",,,,,,,,,,
"21","Nebraska","NE","District","No","Bayard Public Schools","Regular local school district","3100090","620021000","344",,,,,,,,,,
"22","Nebraska","NE","District","No","Beatrice Public Schools","Regular local school district","3103600","340015000","1893",,,,,,,,,,
"23","Nebraska","NE","District","No","Bellevue Public Schools","Regular local school district","3103810","770001000","9070",,,,,,,,,,
"24","Nebraska","NE","District","No","Bennington Public Schools","Regular local school district","3103990","280059000","3497",,,,,,,,,,
"25","Nebraska","NE","District","No","Bertrand Public Schools","Regular local school district","3104020","690054000","235",,,,,,,,,,
"26","Nebraska","NE","District","No","Blair Community Schools","Regular local school district","3104100","890001000","2134",,,,,,,,,,
"27","Nebraska","NE","District","No","Bloomfield Community Schools","Regular local school district","3104140","540586000","256",,,,,,,,,,
"28","Nebraska","NE","District","No","Blue Hill Public Schools","Regular local school district","3104200","910074000","286",,,,,,,,,,
"29","Nebraska","NE","District","No","Boone Central Schools","Regular local school district","3102820","060001000","571",,,,,,,,,,
"30","Nebraska","NE","District","No","Boyd County Schools","Regular local school district","3100187","080051000","328",,,,,,,,,,
"31","Nebraska","NE","District","No","Brady Public Schools","Regular local school district","3104290","560006000","178",,,,,,,,,,
"32","Nebraska","NE","District","No","Bridgeport Public Schools","Regular local school district","3100105","620063000","454",,,,,,,,,,
"33","Nebraska","NE","District","No","Broken Bow Public Schools","Regular local school district","3100011","210025000","786",,,,,,,,,,
