"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Nevada","NV","District","No","Carson City School District","Regular local school district","3200390","13","7668","Required full school year",,,,,"Required full school year",,,,
"2","Nevada","NV","District","No","Churchill County School District","Regular local school district","3200030","01","3086","Required full school year",,,,,"Required full school year",,,,
"3","Nevada","NV","District","No","Clark County School District","Regular local school district","3200060","02","307229","Required full school year",,,,,"Required full school year",,,,
"4","Nevada","NV","District","No","Douglas County School District","Regular local school district","3200090","03","5281","Required full school year",,,,,"Required full school year",,,,
"5","Nevada","NV","District","No","Elko County School District","Regular local school district","3200120","04","9391","Required full school year",,,,,"Required full school year",,,,
"6","Nevada","NV","District","No","Esmeralda County School District","Regular local school district","3200150","05","92","Required full school year",,,,,"Required full school year",,,,
"7","Nevada","NV","District","No","Eureka County School District","Regular local school district","3200180","06","312","Required full school year",,,,,"Required full school year",,,,
"8","Nevada","NV","District","No","Humboldt County School District","Regular local school district","3200210","07","3195","Required full school year",,,,,"Required full school year",,,,
"9","Nevada","NV","District","No","Lander County School District","Regular local school district","3200240","08","984","Required full school year",,,,,"Required full school year",,,,
"10","Nevada","NV","District","No","Lincoln County School District","Regular local school district","3200270","09","789","Required full school year",,,,,"Required full school year",,,,
"11","Nevada","NV","District","No","Lyon County School District","Regular local school district","3200300","10","8736","Required full school year",,,,,"Required full school year",,,,
"12","Nevada","NV","District","No","Mineral County School District","Regular local school district","3200330","11","540","Required full school year",,,,,"Required full school year",,,,
"13","Nevada","NV","District","No","Nye County School District","Regular local school district","3200360","12","5169","Required full school year",,,,,"Required full school year",,,,
"14","Nevada","NV","District","No","Pershing County School District","Regular local school district","3200420","14","627","Required full school year",,,,,"Required full school year",,,,
"15","Nevada","NV","District","Yes","State-Sponsored Charter Schools","Charter agency","3200001","18","53057","Required full school year",,,,,"Required full school year",,,,
"16","Nevada","NV","District","No","Storey County School District","Regular local school district","3200450","15","446","Required full school year",,,,,"Required full school year",,,,
"17","Nevada","NV","District","No","Washoe County School District","Regular local school district","3200480","16","63891","Required full school year",,,,,"Required full school year",,,,
"18","Nevada","NV","District","No","White Pine County School District","Regular local school district","3200510","17","1167","Required full school year",,,,,"Required full school year",,,,
