"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","New Hampshire","NH","District","Yes","Academy For Science And Design Charter School","Charter agency","3300040","725","541",,,,,,,,,,
"2","New Hampshire","NH","District","No","Alton School District","Local school district that is a component of a supervisory union","3301440","015","376",,,,,,,,,,
"3","New Hampshire","NH","District","No","Amherst Sau Office","Supervisory union","3399939","39","69",,,,,,,,,,
"4","New Hampshire","NH","District","No","Barnstead School District","Local school district that is a component of a supervisory union","3301620","031","438",,,,,,,,,,
"5","New Hampshire","NH","District","No","Barrington School District","Local school district that is a component of a supervisory union","3301650","033","862",,,,,,,,,,
"6","New Hampshire","NH","District","No","Bedford School District","Local school district that is a component of a supervisory union","3301740","041","4215","Required full school year",,,,,"Required full school year",,,,
"7","New Hampshire","NH","District","No","Berlin School District","Local school district that is a component of a supervisory union","3301860","051","1090","Required full school year",,,,,"Required full school year",,,,
"8","New Hampshire","NH","District","No","Bow Sau Office","Supervisory union","3300024","67",,,,,,,,,,,
"9","New Hampshire","NH","District","No","Chester School District","Local school district that is a component of a supervisory union","3302250","093","469",,,,,,,,,,
"10","New Hampshire","NH","District","No","Claremont Sau Office","Supervisory union","3399906","06",,"Required full school year",,,,,"Required full school year",,,,
"11","New Hampshire","NH","District","Yes","Cocheco Arts And Technology Academy","Charter agency","3300036","707","42",,,,,,,,,,
"12","New Hampshire","NH","District","No","Coe Brown Academy School District","Regular local school district","3307330","998","673","Required full school year",,,,,"Required full school year",,,,
"13","New Hampshire","NH","District","No","Colebrook Sau Office","Supervisory union","3399907","07",,,,,,,,,,,
"14","New Hampshire","NH","District","Yes","Compass Classical Academy Charter School","Charter agency","3303301","743","151",,,,,,,,,,
"15","New Hampshire","NH","District","No","Concord School District","Local school district that is a component of a supervisory union","3302460","111","4026","Required full school year",,,,,"Required full school year",,,,
"16","New Hampshire","NH","District","No","Contoocook Valley School District","Local school district that is a component of a supervisory union","3302480","112","1974",,,,,,,,,,
"17","New Hampshire","NH","District","No","Conway Sau Office","Supervisory union","3399909","09",,"Required full school year",,,,,"Required full school year",,,,
"18","New Hampshire","NH","District","No","Coos County","Supervisory union","3300034","98",,"Not required",,,,,"Not required",,,,
"19","New Hampshire","NH","District","No","Cornish School District","Local school district that is a component of a supervisory union","3302520","115","100",,,,,,,,,,
