"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","New Jersey","NJ","District","No","Absecon Public Schools District","Regular local school district","3400660","010010","888","Required full school year",,,,,"Required full school year",,,,
"2","New Jersey","NJ","District","Yes","Academy Charter High School","Charter agency","3400048","806010","153","Required full school year",,,,,"Required full school year",,,,
"3","New Jersey","NJ","District","Yes","Academy For Urban Leadership Charter School","Charter agency","3400741","806032","486","Required full school year",,,,,"Required full school year",,,,
"4","New Jersey","NJ","District","Yes","Achieve Community Charter School","Charter agency","3400792","806110","183","Required full school year",,,,,"Required full school year",,,,
"5","New Jersey","NJ","District","Yes","Achievers Early College Prep Charter School","Charter agency","3400794","807895","264","Required full school year",,,,,"Required full school year",,,,
"6","New Jersey","NJ","District","No","Alexandria Township School District","Regular local school district","3400690","190020","463","Required full school year",,,,,"Required full school year",,,,
"7","New Jersey","NJ","District","No","Allamuchy Township School District","Regular local school district","3400720","410030","424","Required full school year",,,,,"Required full school year",,,,
"8","New Jersey","NJ","District","No","Allendale Public School District","Regular local school district","3400750","030040","849","Required full school year",,,,,"Required full school year",,,,
"9","New Jersey","NJ","District","No","Alloway Twp School District","Regular local school district","3400810","330060","297","Required full school year",,,,,"Required full school year",,,,
"10","New Jersey","NJ","District","No","Alpha Borough School District","Regular local school district","3400840","410070","184","Required full school year",,,,,"Required full school year",,,,
"11","New Jersey","NJ","District","No","Alpine School District","Regular local school district","3400870","030080","151","Required full school year",,,,,"Required full school year",,,,
"12","New Jersey","NJ","District","No","Andover Regional School District","Regular local school district","3400900","370090","436","Required full school year",,,,,"Required full school year",,,,
"13","New Jersey","NJ","District","No","Area Vocational Technical Schools Of Mercer County","Specialized public school district","3409950","213105","1023","Required full school year",,,,,"Required full school year",,,,
"14","New Jersey","NJ","District","No","Asbury Park School District","Regular local school district","3400930","250100","1593","Required full school year",,,,,"Required full school year",,,,
"15","New Jersey","NJ","District","No","Atlantic City School District","Regular local school district","3400960","010110","6450","Required full school year",,,,,"Required full school year",,,,
"16","New Jersey","NJ","District","Yes","Atlantic Community Charter School","Charter agency","3400771","806060","354","Required full school year",,,,,"Required full school year",,,,
"17","New Jersey","NJ","District","No","Atlantic County Special Services School District","Regular local school district","3400006","010125","306","Required full school year",,,,,"Required full school year",,,,
"18","New Jersey","NJ","District","No","Atlantic County Vocational School District","Specialized public school district","3400990","010120","1714","Required full school year",,,,,"Required full school year",,,,
"19","New Jersey","NJ","District","No","Atlantic Highlands School District","Regular local school district","3401020","250130","255","Required full school year",,,,,"Required full school year",,,,
"20","New Jersey","NJ","District","No","Audubon Public School District","Regular local school district","3401050","070150","1444","Required full school year",,,,,"Required full school year",,,,
"21","New Jersey","NJ","District","No","Avalon School District","Regular local school district","3401110","090170","77","Required full school year",,,,,"Required full school year",,,,
"22","New Jersey","NJ","District","No","Avon Boro School District","Regular local school district","3401140","250180","133","Required full school year",,,,,"Required full school year",,,,
"23","New Jersey","NJ","District","No","Barnegat Township School District","Regular local school district","3416470","290185","3436","Required full school year",,,,,"Required full school year",,,,
"24","New Jersey","NJ","District","No","Barrington School District","Regular local school district","3401170","070190","563","Required full school year",,,,,"Required full school year",,,,
"25","New Jersey","NJ","District","No","Bay Head Borough School District","Regular local school district","3401230","290210","127","Required full school year",,,,,"Required full school year",,,,
"26","New Jersey","NJ","District","No","Bayonne School District","Regular local school district","3401260","170220","9469","Required full school year",,,,,"Required full school year",,,,
"27","New Jersey","NJ","District","No","Bayshore Jointure Commission School District","Regular local school district","3400069","250225","52","Required full school year",,,,,"Required full school year",,,,
"28","New Jersey","NJ","District","No","Beach Haven School District","Regular local school district","3401290","290230","86","Required full school year",,,,,"Required full school year",,,,
"29","New Jersey","NJ","District","No","Bedminster Township Public School District","Regular local school district","3401320","35240","483","Required full school year",,,,,"Required full school year",,,,
