"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","New Mexico","NM","District","Yes","21st Century Public Academy","Charter Agency","3500187","580","351","Required full school year",,,,,"Required full school year",,,,
"2","New Mexico","NM","District","Yes","Abq School Of Excellence","Charter agency","3500122","516","905","Required full school year",,,,,"Required full school year",,,,
"3","New Mexico","NM","District","Yes","Abq Sign Language Academy","Charter agency","3500123","517","111","Required full school year",,,,,"Required full school year",,,,
"4","New Mexico","NM","District","Yes","Aces Technical Charter School","Charter agency","3500185","579","45","Required full school year",,,,,"Required full school year",,,,
"5","New Mexico","NM","District","No","Alamogordo Public Schools","Regular local school district","3500030","046","5407","Required full school year",,,,,"Required full school year",,,,
"6","New Mexico","NM","District","Yes","Albuquerque Collegiate Charter School","Charter agency","3500181","574","131","Required full school year",,,,,"Required full school year",,,,
"7","New Mexico","NM","District","Yes","Albuquerque Institute Of Math & Science","Charter agency","3500130","524","382","Required full school year",,,,,"Required full school year",,,,
"8","New Mexico","NM","District","No","Albuquerque Public Schools","Regular local school district","3500060","001","81857","Required full school year",,,,,"Required full school year",,,,
"9","New Mexico","NM","District","Yes","Aldo Leopold Charter","Charter agency","3500138","532","167","Required full school year",,,,,"Required full school year",,,,
"10","New Mexico","NM","District","Yes","Alma D'arte Charter","Charter agency","3500116","511","135","Required full school year",,,,,"Required full school year",,,,
"11","New Mexico","NM","District","Yes","Altura Preparatory School","Charter agency","3500178","575","184","Required full school year",,,,,"Required full school year",,,,
"12","New Mexico","NM","District","Yes","Amy Biehl Charter High School","Charter agency","3500131","525","277","Required full school year",,,,,"Required full school year",,,,
"13","New Mexico","NM","District","No","Animas Public Schools","Regular local school district","3500090","030","146","Required full school year",,,,,"Required full school year",,,,
"14","New Mexico","NM","District","No","Artesia Public Schools","Regular local school district","3500120","022","3682","Required full school year",,,,,"Required full school year",,,,
"15","New Mexico","NM","District","No","Aztec Municipal Schools","Regular local school district","3500150","064","2448","Required full school year",,,,,"Required full school year",,,,
"16","New Mexico","NM","District","No","Belen Consolidated Schools","Regular local school district","3500180","087","3615","Required full school year",,,,,"Required full school year",,,,
"17","New Mexico","NM","District","No","Bernalillo Public Schools","Regular local school district","3500210","061","2692","Required full school year",,,,,"Required full school year",,,,
"18","New Mexico","NM","District","No","Bloomfield Schools","Regular local school district","3500240","066","2451","Required full school year",,,,,"Required full school year",,,,
"19","New Mexico","NM","District","No","Capitan Municipal Schools","Regular local school district","3500270","040","423","Required full school year",,,,,"Required full school year",,,,
"20","New Mexico","NM","District","No","Carlsbad Municipal Schools","Regular local school district","3500300","020","8627","Required full school year",,,,,"Required full school year",,,,
"21","New Mexico","NM","District","No","Carrizozo Municipal Schools","Regular local school district","3500330","037","136","Required full school year",,,,,"Required full school year",,,,
"22","New Mexico","NM","District","No","Central Consolidated Schools","Regular local school district","3500390","067","5042","Required full school year",,,,,"Required full school year",,,,
"23","New Mexico","NM","District","Yes","Cesar Chavez Community  School","Charter agency","3500117","512","203","Required full school year",,,,,"Required full school year",,,,
"24","New Mexico","NM","District","No","Chama Valley Indep. Schools","Regular local school district","3500420","053","363","Required full school year",,,,,"Required full school year",,,,
"25","New Mexico","NM","District","No","Childrens Psyc","State-operated agency","3500016","095","41","Required full school year",,,,,"Required full school year",,,,
"26","New Mexico","NM","District","No","Cimarron Municipal Schools","Regular local school district","3500480","008","379","Required full school year",,,,,"Required full school year",,,,
"27","New Mexico","NM","District","No","Clayton Municipal Schools","Regular local school district","3500510","084","383","Required full school year",,,,,"Required full school year",,,,
"28","New Mexico","NM","District","No","Cloudcroft Municipal Schools","Regular local school district","3500540","048","366","Required full school year",,,,,"Required full school year",,,,
"29","New Mexico","NM","District","No","Clovis Municipal Schools","Regular local school district","3500570","012","7518","Required full school year",,,,,"Required full school year",,,,
"30","New Mexico","NM","District","No","Cobre Consolidated Schools","Regular local school district","3500600","024","1022","Required full school year",,,,,"Required full school year",,,,
"31","New Mexico","NM","District","No","Corona Municipal Schools","Regular local school district","3500630","038","63","Required full school year",,,,,"Required full school year",,,,
"32","New Mexico","NM","District","No","Cuba Independent Schools","Regular local school district","3500660","062","585","Required full school year",,,,,"Required full school year",,,,
"33","New Mexico","NM","District","No","Deming Public Schools","Regular local school district","3500690","042","4955","Required full school year",,,,,"Required full school year",,,,
"34","New Mexico","NM","District","No","Des Moines Municipal Schools","Regular local school district","3500720","085","84","Required full school year",,,,,"Required full school year",,,,
"35","New Mexico","NM","District","No","Dexter Consolidated Schools","Regular local school district","3500750","006","796","Required full school year",,,,,"Required full school year",,,,
"36","New Mexico","NM","District","No","Dora Municipal Schools","Regular local school district","3500790","060","203","Required full school year",,,,,"Required full school year",,,,
