"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","New York","NY","District","No","Addison Central School District","Regular local school district","3602370","570101040000","950","Required full school year",,,,,"Required full school year",,,,
"2","New York","NY","District","No","Adirondack Central School District","Regular local school district","3605040","410401060000","1110","Required full school year",,,,,"Required full school year",,,,
"3","New York","NY","District","No","Afton Central School District","Regular local school district","3602400","080101040000","463","Required full school year",,,,,"Required full school year",,,,
"4","New York","NY","District","No","Akron Central School District","Regular local school district","3602430","142101040000","1240","Required full school year",,,,,"Required full school year",,,,
"5","New York","NY","District","No","Albany City School District","Regular local school district","3602460","010100010000","8210","Required full school year",,,,,"Required full school year",,,,
"6","New York","NY","District","No","Albion Central School District","Regular local school district","3602520","450101060000","1686","Required full school year",,,,,"Required full school year",,,,
"7","New York","NY","District","No","Alden Central School District","Regular local school district","3602550","140101060000","1465","Required full school year",,,,,"Required full school year",,,,
"8","New York","NY","District","No","Alexander Central School District","Regular local school district","3602580","180202040000","727","Required full school year",,,,,"Required full school year",,,,
"9","New York","NY","District","No","Alexandria Central School District","Regular local school district","3602670","220202040000","454","Required full school year",,,,,"Required full school year",,,,
"10","New York","NY","District","No","Alfred-Almond Central School District","Regular local school district","3602700","020101040000","555","Required full school year",,,,,"Required full school year",,,,
"11","New York","NY","District","No","Allegany-Limestone Central School District","Regular local school district","3600015","040302060000","1027","Required full school year",,,,,"Required full school year",,,,
"12","New York","NY","District","No","Altmar-Parish-Williamstown Central School District","Regular local school district","3602820","460102040000","1022","Required full school year",,,,,"Required full school year",,,,
"13","New York","NY","District","No","Amagansett Union Free School District","Regular local school district","3602880","580303020000","101","Required full school year",,,,,"Required full school year",,,,
"14","New York","NY","District","No","Amherst Central School District","Regular local school district","3602920","140201060000","2899","Required full school year",,,,,"Required full school year",,,,
"15","New York","NY","District","No","Amityville Union Free School District","Regular local school district","3602940","580106030000","2829","Required full school year",,,,,"Required full school year",,,,
"16","New York","NY","District","No","Amsterdam City School District","Regular local school district","3602970","270100010000","3573","Required full school year",,,,,"Required full school year",,,,
"17","New York","NY","District","No","Andes Central School District","Regular local school district","3603000","120102040000","61","Required full school year",,,,,"Required full school year",,,,
"18","New York","NY","District","No","Andover Central School District","Regular local school district","3603030","020601040000","249","Required full school year",,,,,"Required full school year",,,,
"19","New York","NY","District","No","Ardsley Union Free School District","Regular local school district","3603180","660405030000","2277","Required full school year",,,,,"Required full school year",,,,
"20","New York","NY","District","No","Argyle Central School District","Regular local school district","3603210","640101040000","447","Required full school year",,,,,"Required full school year",,,,
"21","New York","NY","District","No","Arkport Central School District","Regular local school district","3603240","571901040000","442","Required full school year",,,,,"Required full school year",,,,
"22","New York","NY","District","No","Arlington Central School District","Regular local school district","3603270","131601060000","7704","Required full school year",,,,,"Required full school year",,,,
"23","New York","NY","District","No","Attica Central School District","Regular local school district","3603420","670201060000","1130","Required full school year",,,,,"Required full school year",,,,
"24","New York","NY","District","No","Auburn City School District","Regular local school district","3603480","050100010000","3945","Required full school year",,,,,"Required full school year",,,,
"25","New York","NY","District","No","Ausable Valley Central School District","Regular local school district","3616170","090201040000","1112","Required full school year",,,,,"Required full school year",,,,
"26","New York","NY","District","No","Averill Park Central School District","Regular local school district","3600016","491302060000","2600","Required full school year",,,,,"Required full school year",,,,
"27","New York","NY","District","No","Avoca Central School District","Regular local school district","3603630","570201040000","364","Required full school year",,,,,"Required full school year",,,,
