"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","North Carolina","NC","District","Yes","A.c.e. Academy","Charter agency","3700372","13C","354","Required full school year",,,,,"Required full school year",,,,
"2","North Carolina","NC","District","Yes","Achievement Charter Academy","Charter agency","3700459","43D","168","Required full school year",,,,,"Required full school year",,,,
"3","North Carolina","NC","District","No","Alamance-Burlington Schools","Regular local school district","3700030","010","22238","Required full school year",,,,,"Required full school year",,,,
"4","North Carolina","NC","District","Yes","Alamance Community School","Charter agency","3700467","01F","335","Required full school year",,,,,"Required full school year",,,,
"5","North Carolina","NC","District","No","Alexander County Schools","Regular local school district","3700090","020","4543","Required full school year",,,,,"Required full school year",,,,
"6","North Carolina","NC","District","No","Alleghany County Schools","Regular local school district","3700120","030","1316","Required full school year",,,,,"Required full school year",,,,
"7","North Carolina","NC","District","Yes","Alpha Academy","Charter agency","3700103","26B","991","Required full school year",,,,,"Required full school year",,,,
"8","North Carolina","NC","District","Yes","American Renaissance School","Charter agency","3700086","49B","633","Required full school year",,,,,"Required full school year",,,,
"9","North Carolina","NC","District","Yes","Anderson Creek Academy","Charter agency","3700381","43C","313","Required full school year",,,,,"Required full school year",,,,
"10","North Carolina","NC","District","No","Anson County Schools","Regular local school district","3700180","040","3008","Required full school year",,,,,"Required full school year",,,,
"11","North Carolina","NC","District","No","Appalachian State U Academy Middle Fork","Regular local school district","3700427","34Z","276","Required full school year",,,,,"Required full school year",,,,
"12","North Carolina","NC","District","Yes","Apprentice Academy Hs Of Nc","Charter agency","3700439","90F","282","Required full school year",,,,,"Required full school year",,,,
"13","North Carolina","NC","District","Yes","Arapahoe Charter School","Charter agency","3700038","69A","511","Required full school year",,,,,"Required full school year",,,,
"14","North Carolina","NC","District","Yes","Aristotle Preparatory Academy","Charter agency","3700350","60N","178","Required full school year",,,,,"Required full school year",,,,
"15","North Carolina","NC","District","Yes","Arts Based School","Charter agency","3700126","34G","524","Required full school year",,,,,"Required full school year",,,,
"16","North Carolina","NC","District","Yes","Artspace Charter","Charter agency","3700117","11B","395","Required full school year",,,,,"Required full school year",,,,
"17","North Carolina","NC","District","Yes","Ascend Leadership Academy: Lee County","Charter agency","3700438","53B","405","Required full school year",,,,,"Required full school year",,,,
"18","North Carolina","NC","District","No","Ashe County Schools","Regular local school district","3700210","050","2872","Required full school year",,,,,"Required full school year",,,,
"19","North Carolina","NC","District","No","Asheboro City Schools","Regular local school district","3700240","761","4524","Required full school year",,,,,"Required full school year",,,,
"20","North Carolina","NC","District","No","Asheville City Schools","Regular local school district","3700270","111","4275","Required full school year",,,,,"Required full school year",,,,
"21","North Carolina","NC","District","No","Avery County Schools","Regular local school district","3700300","060","1837","Required full school year",,,,,"Required full school year",,,,
"22","North Carolina","NC","District","Yes","Bear Grass Charter School","Charter agency","3700322","58B","421","Required full school year",,,,,"Required full school year",,,,
"23","North Carolina","NC","District","No","Beaufort County Schools","Regular local school district","3700330","070","5977","Required full school year",,,,,"Required full school year",,,,
"24","North Carolina","NC","District","No","Bertie County Schools","Regular local school district","3700360","080","1896","Required full school year",,,,,"Required full school year",,,,
"25","North Carolina","NC","District","Yes","Bethany Community Middle","Charter agency","3700110","79A","581","Required full school year",,,,,"Required full school year",,,,
"26","North Carolina","NC","District","Yes","Bethel Hill Charter","Charter agency","3700109","73A","367","Required full school year",,,,,"Required full school year",,,,
"27","North Carolina","NC","District","No","Bladen County Schools","Regular local school district","3700390","090","3933","Required full school year",,,,,"Required full school year",,,,
"28","North Carolina","NC","District","Yes","Bonnie Cone Classical Academy","Charter agency","3700449","61V","759","Required full school year",,,,,"Required full school year",,,,
"29","North Carolina","NC","District","Yes","Bradford Preparatory School","Charter agency","3700356","60S","1585","Required full school year",,,,,"Required full school year",,,,
"30","North Carolina","NC","District","Yes","Brevard Academy","Charter agency","3700068","88A","419","Required full school year",,,,,"Required full school year",,,,
"31","North Carolina","NC","District","Yes","Bridges Academy","Charter agency","3700041","97D","179","Required full school year",,,,,"Required full school year",,,,
"32","North Carolina","NC","District","No","Brunswick County Schools","Regular local school district","3700420","100","12321","Required full school year",,,,,"Required full school year",,,,
"33","North Carolina","NC","District","No","Buncombe County Schools","Regular local school district","3700450","110","22837","Required full school year",,,,,"Required full school year",,,,
"34","North Carolina","NC","District","No","Burke County Schools","Regular local school district","3700480","120","11611","Required full school year",,,,,"Required full school year",,,,
"35","North Carolina","NC","District","Yes","Cabarrus Charter Academy","Charter agency","3700347","13B","775","Required full school year",,,,,"Required full school year",,,,
