"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","North Dakota","ND","District","No","Alexander 2","Regular local school district","3801760","27002","274",,,,,,,,,,
"2","North Dakota","ND","District","No","Anamoose 14","Regular local school district","3801950","25014","73",,,,,,,,,,
"3","North Dakota","ND","District","No","Apple Creek 39","Regular local school district","3802014","08039","75",,,,,,,,,,
"4","North Dakota","ND","District","No","Ashley 9","Regular local school district","3802170","26009","148",,,,,,,,,,
"5","North Dakota","ND","District","No","Bakker 10","Regular local school district","3802240","15010","7",,,,,,,,,,
"6","North Dakota","ND","District","No","Barnes County North 7","Regular local school district","3800060","02007","262",,,,,,,,,,
"7","North Dakota","ND","District","No","Beach 3","Regular local school district","3802380","17003","277",,,,,,,,,,
"8","North Dakota","ND","District","No","Belcourt 7","Regular local school district","3802530","40007","1614",,,,,,,,,,
"9","North Dakota","ND","District","No","Belfield 13","Regular local school district","3806210","45013","254",,,,,,,,,,
"10","North Dakota","ND","District","No","Beulah 27","Regular local school district","3800032","29027","721",,,,,,,,,,
"11","North Dakota","ND","District","No","Billings Co 1","Regular local school district","3802840","04001","102",,,,,,,,,,
"12","North Dakota","ND","District","No","Bismarck 1","Regular local school district","3800014","08001","13415",,,,,,,,,,
"13","North Dakota","ND","District","No","Bismarck Special Ed Unit","Regional education service agency","3880720","08711",,,,,,,,,,,
"14","North Dakota","ND","District","No","Bismarck Technical Center","Regional education service agency","3880750","08500",,,,,,,,,,,
"15","North Dakota","ND","District","No","Bottineau 1","Regular local school district","3803060","05001","677",,,,,,,,,,
"16","North Dakota","ND","District","No","Bowbells 14","Regular local school district","3803090","07014","68","Required at least part of school year",,,,,"Required at least part of school year",,,,
"17","North Dakota","ND","District","No","Bowman Co 1","Regular local school district","3803200","06001","512",,,,,,,,,,
