"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Ohio","OH","District","No","Ada Exempted Village","Regular local school district","3904518","45187","806","Required full school year",,,,,"Required full school year",,,,
"2","Ohio","OH","District","No","Adams County/Ohio Valley Local","Regular local school district","3906190","61903","3469","Required full school year",,,,,"Required full school year",,,,
"3","Ohio","OH","District","No","Adena Local","Regular local school district","3904949","49494","1117","Required full school year",,,,,"Required full school year",,,,
"4","Ohio","OH","District","No","Akron City","Regular local school district","3904348","43489","20089","Required full school year",,,,,"Required full school year",,,,
"5","Ohio","OH","District","No","Alexander Local","Regular local school district","3904590","45906","1381","Required full school year",,,,,"Required full school year",,,,
"6","Ohio","OH","District","No","Allen East Local","Regular local school district","3904575","45757","1023","Required full school year",,,,,"Required full school year",,,,
"7","Ohio","OH","District","No","Alliance City","Regular local school district","3904349","43497","2815","Required full school year",,,,,"Required full school year",,,,
"8","Ohio","OH","District","No","Amanda-Clearcreek Local","Regular local school district","3904684","46847","1412","Required full school year",,,,,"Required full school year",,,,
"9","Ohio","OH","District","No","Amherst Exempted Village","Regular local school district","3904519","45195","3426","Required full school year",,,,,"Required full school year",,,,
"10","Ohio","OH","District","No","Anna Local","Regular local school district","3910004","49759","1089","Required full school year",,,,,"Required full school year",,,,
"11","Ohio","OH","District","No","Ansonia Local","Regular local school district","3904662","46623","704","Required full school year",,,,,"Required full school year",,,,
"12","Ohio","OH","District","No","Anthony Wayne Local","Regular local school district","3904820","48207","4182","Required full school year",,,,,"Required full school year",,,,
"13","Ohio","OH","District","No","Antwerp Local","Regular local school district","3904899","48991","655","Required full school year",,,,,"Required full school year",,,,
"14","Ohio","OH","District","No","Arcadia Local","Regular local school district","3910002","47415","540","Required full school year",,,,,"Required full school year",,,,
"15","Ohio","OH","District","No","Arcanum-Butler Local","Regular local school district","3904663","46631","1020","Required full school year",,,,,"Required full school year",,,,
"16","Ohio","OH","District","No","Archbold-Area Local","Regular local school district","3904704","47043","1163","Required full school year",,,,,"Required full school year",,,,
"17","Ohio","OH","District","No","Arlington Local","Regular local school district","3904742","47423","539","Required full school year",,,,,"Required full school year",,,,
"18","Ohio","OH","District","No","Ashland City","Regular local school district","3904350","43505","2976","Required full school year",,,,,"Required full school year",,,,
"19","Ohio","OH","District","No","Ashtabula Area City","Regular local school district","3904351","43513","3050","Required full school year",,,,,"Required full school year",,,,
"20","Ohio","OH","District","No","Athens City","Regular local school district","3904352","43521","2269","Required full school year",,,,,"Required full school year",,,,
"21","Ohio","OH","District","No","Aurora City","Regular local school district","3904917","49171","2946","Required full school year",,,,,"Required full school year",,,,
"22","Ohio","OH","District","No","Austintown Local","Regular local school district","3904829","48298","4122","Required full school year",,,,,"Required full school year",,,,
"23","Ohio","OH","District","No","Avon Lake City","Regular local school district","3904812","48124","3614","Required full school year",,,,,"Required full school year",,,,
"24","Ohio","OH","District","No","Avon Local","Regular local school district","3904811","48116","4414","Required full school year",,,,,"Required full school year",,,,
"25","Ohio","OH","District","No","Ayersville Local","Regular local school district","3904670","46706","713","Required full school year",,,,,"Required full school year",,,,
"26","Ohio","OH","District","No","Barberton City","Regular local school district","3904353","43539","3508","Required full school year",,,,,"Required full school year",,,,
"27","Ohio","OH","District","No","Barnesville Exempted Village","Regular local school district","3904520","45203","1284","Required full school year",,,,,"Required full school year",,,,
"28","Ohio","OH","District","No","Batavia Local","Regular local school district","3904630","46300","2219","Required full school year",,,,,"Required full school year",,,,
"29","Ohio","OH","District","No","Bath Local","Regular local school district","3904576","45765","1699","Required full school year",,,,,"Required full school year",,,,
"30","Ohio","OH","District","No","Bay Village City","Regular local school district","3904354","43547","2359","Required full school year",,,,,"Required full school year",,,,
"31","Ohio","OH","District","No","Beachwood City","Regular local school district","3904355","43554","1598","Required full school year",,,,,"Required full school year",,,,
"32","Ohio","OH","District","No","Beaver Local","Regular local school district","3904642","46425","1681","Required full school year",,,,,"Required full school year",,,,
"33","Ohio","OH","District","No","Beavercreek City","Regular local school district","3904724","47241","7552","Required full school year",,,,,"Required full school year",,,,
"34","Ohio","OH","District","No","Bedford City","Regular local school district","3910017","43562","2874","Required full school year",,,,,"Required full school year",,,,
"35","Ohio","OH","District","No","Bellaire Local","Regular local school district","3904357","43570","1090","Required full school year",,,,,"Required full school year",,,,
"36","Ohio","OH","District","No","Bellbrook-Sugarcreek Local","Regular local school district","3904727","47274","2605","Required full school year",,,,,"Required full school year",,,,
"37","Ohio","OH","District","No","Bellefontaine City","Regular local school district","3904358","43588","2221","Required full school year",,,,,"Required full school year",,,,
"38","Ohio","OH","District","No","Bellevue City","Regular local school district","3904359","43596","1771","Required full school year",,,,,"Required full school year",,,,
"39","Ohio","OH","District","No","Belpre City","Regular local school district","3904361","43604","979","Required full school year",,,,,"Required full school year",,,,
"40","Ohio","OH","District","No","Benjamin Logan Local","Regular local school district","3904807","48074","1615","Required full school year",,,,,"Required full school year",,,,
"41","Ohio","OH","District","No","Benton Carroll Salem Local","Regular local school district","3904892","48926","1374","Required full school year",,,,,"Required full school year",,,,
"42","Ohio","OH","District","No","Berea City","Regular local school district","3904360","43612","5366","Required full school year",,,,,"Required full school year",,,,
"43","Ohio","OH","District","No","Berkshire Local","Regular local school district","3904716","47167","1345","Required full school year",,,,,"Required full school year",,,,
"44","Ohio","OH","District","No","Berne Union Local","Regular local school district","3904685","46854","745","Required full school year",,,,,"Required full school year",,,,
"45","Ohio","OH","District","No","Bethel-Tate Local","Regular local school district","3904631","46318","1387","Required full school year",,,,,"Required full school year",,,,
"46","Ohio","OH","District","No","Bethel Local","Regular local school district","3904861","48611","1579","Required full school year",,,,,"Required full school year",,,,
"47","Ohio","OH","District","No","Bexley City","Regular local school district","3904362","43620","2348","Required full school year",,,,,"Required full school year",,,,
"48","Ohio","OH","District","No","Big Walnut Local","Regular local school district","3904674","46748","3794","Required full school year",,,,,"Required full school year",,,,
"49","Ohio","OH","District","No","Black River Local","Regular local school district","3904846","48462","943","Required full school year",,,,,"Required full school year",,,,
"50","Ohio","OH","District","No","Blanchester Local","Regular local school district","3904638","46383","1272","Required full school year",,,,,"Required full school year",,,,
"51","Ohio","OH","District","No","Bloom-Carroll Local","Regular local school district","3904686","46862","2152","Required full school year",,,,,"Required full school year",,,,
"52","Ohio","OH","District","No","Bloom-Vernon Local","Regular local school district","3904959","49593","778","Required full school year",,,,,"Required full school year",,,,
"53","Ohio","OH","District","No","Bloomfield-Mespo Local","Regular local school district","3905009","50096","177","Required full school year",,,,,"Required full school year",,,,
"54","Ohio","OH","District","No","Bluffton Exempted Village","Regular local school district","3904521","45211","1162","Required full school year",,,,,"Required full school year",,,,
"55","Ohio","OH","District","No","Boardman Local","Regular local school district","3904830","48306","3808","Required full school year",,,,,"Required full school year",,,,
"56","Ohio","OH","District","No","Botkins Local","Regular local school district","3904976","49767","607","Required full school year",,,,,"Required full school year",,,,
"57","Ohio","OH","District","No","Bowling Green City","Regular local school district","3904363","43638","2613","Required full school year",,,,,"Required full school year",,,,
"58","Ohio","OH","District","No","Bradford Exempted Village","Regular local school district","3904522","45229","471","Required full school year",,,,,"Required full school year",,,,
"59","Ohio","OH","District","No","Brecksville-Broadview Heights City","Regular local school district","3904364","43646","3583","Required full school year",,,,,"Required full school year",,,,
"60","Ohio","OH","District","No","Bridgeport Exempted Village","Regular local school district","3904523","45237","726","Required full school year",,,,,"Required full school year",,,,
"61","Ohio","OH","District","No","Bright Local","Regular local school district","3904761","47613","659","Required full school year",,,,,"Required full school year",,,,
"62","Ohio","OH","District","No","Bristol Local","Regular local school district","3905011","50112","473","Required full school year",,,,,"Required full school year",,,,
"63","Ohio","OH","District","No","Brookfield Local","Regular local school district","3905012","50120","973","Required full school year",,,,,"Required full school year",,,,
"64","Ohio","OH","District","No","Brooklyn City","Regular local school district","3904365","43653","1166","Required full school year",,,,,"Required full school year",,,,
"65","Ohio","OH","District","No","Brookville Local","Regular local school district","3904867","48678","1374","Required full school year",,,,,"Required full school year",,,,
"66","Ohio","OH","District","No","Brown Local","Regular local school district","3904617","46177","600","Required full school year",,,,,"Required full school year",,,,
"67","Ohio","OH","District","No","Brunswick City","Regular local school district","3904366","43661","6337","Required full school year",,,,,"Required full school year",,,,
"68","Ohio","OH","District","No","Bryan City","Regular local school district","3904367","43679","1790","Required full school year",,,,,"Required full school year",,,,
"69","Ohio","OH","District","No","Buckeye Central Local","Regular local school district","3904650","46508","569","Required full school year",,,,,"Required full school year",,,,
"70","Ohio","OH","District","No","Buckeye Local (Ashtabula)","Regular local school district","3904585","45856","1664","Required full school year",,,,,"Required full school year",,,,
"71","Ohio","OH","District","No","Buckeye Local (Jefferson)","Regular local school district","3904778","47787","1368","Required full school year",,,,,"Required full school year",,,,
"72","Ohio","OH","District","No","Buckeye Local (Medina)","Regular local school district","3904847","48470","2114","Required full school year",,,,,"Required full school year",,,,
"73","Ohio","OH","District","No","Buckeye Valley Local","Regular local school district","3904675","46755","2118","Required full school year",,,,,"Required full school year",,,,
"74","Ohio","OH","District","No","Bucyrus City","Regular local school district","3904368","43687","1036","Required full school year",,,,,"Required full school year",,,,
"75","Ohio","OH","District","No","Caldwell Exempted Village","Regular local school district","3904525","45252","726","Required full school year",,,,,"Required full school year",,,,
"76","Ohio","OH","District","No","Cambridge City","Regular local school district","3904369","43695","1798","Required full school year",,,,,"Required full school year",,,,
"77","Ohio","OH","District","No","Campbell City","Regular local school district","3904370","43703","970","Required full school year",,,,,"Required full school year",,,,
"78","Ohio","OH","District","No","Canal Winchester Local","Regular local school district","3904694","46946","3735","Required full school year",,,,,"Required full school year",,,,
"79","Ohio","OH","District","No","Canfield Local","Regular local school district","3904831","48314","2483","Required full school year",,,,,"Required full school year",,,,
"80","Ohio","OH","District","No","Canton City","Regular local school district","3904371","43711","7678","Required full school year",,,,,"Required full school year",,,,
"81","Ohio","OH","District","No","Canton Local","Regular local school district","3904983","49833","1903","Required full school year",,,,,"Required full school year",,,,
"82","Ohio","OH","District","No","Cardinal Local","Regular local school district","3904717","47175","842","Required full school year",,,,,"Required full school year",,,,
"83","Ohio","OH","District","No","Cardington-Lincoln Local","Regular local school district","3904879","48793","991","Required full school year",,,,,"Required full school year",,,,
"84","Ohio","OH","District","No","Carey Exempted Village","Regular local school district","3904526","45260","809","Required full school year",,,,,"Required full school year",,,,
