"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Oklahoma","OK","District","Yes","Academy Of Seminole Charter","Charter agency","4000803","55-J002","277",,,,,,,,,,
"2","Oklahoma","OK","District","No","Achille","Regular local school district","4002370","07-I003","281",,,,,,,,,,
"3","Oklahoma","OK","District","No","Ada","Regular local school district","4002430","62-I019","2269","Required full school year",,,,,"Required full school year",,,,
"4","Oklahoma","OK","District","No","Adair","Regular local school district","4002460","46-I002","929",,,,,,,,,,
"5","Oklahoma","OK","District","No","Afton","Regular local school district","4002520","58-I026","437",,,,,,,,,,
"6","Oklahoma","OK","District","No","Agra","Regular local school district","4002550","41-I134","295",,,,,,,,,,
"7","Oklahoma","OK","District","No","Albion","Regular local school district","4002580","64-C002","52",,,,,,,,,,
"8","Oklahoma","OK","District","No","Alex","Regular local school district","4002670","26-I056","275",,,,,,,,,,
"9","Oklahoma","OK","District","No","Aline-Cleo","Regular local school district","4002720","44-I004","107",,,,,,,,,,
"10","Oklahoma","OK","District","No","Allen","Regular local school district","4002760","62-I001","434",,,,,,,,,,
"11","Oklahoma","OK","District","No","Allen-Bowden","Regular local school district","4002790","19-C035","238",,,,,,,,,,
"12","Oklahoma","OK","District","No","Altus","Regular local school district","4002850","33-I018","3025",,,,,,,,,,
"13","Oklahoma","OK","District","No","Alva","Regular local school district","4002880","76-I001","962",,,,,,,,,,
"14","Oklahoma","OK","District","No","Amber-Pocasset","Regular local school district","4002910","26-I128","411",,,,,,,,,,
"15","Oklahoma","OK","District","No","Anadarko","Regular local school district","4003000","08-I020","1407",,,,,,,,,,
"16","Oklahoma","OK","District","No","Anderson","Regular local school district","4003010","57-C052","186",,,,,,,,,,
"17","Oklahoma","OK","District","No","Antlers","Regular local school district","4003060","64-I013","845",,,,,,,,,,
"18","Oklahoma","OK","District","No","Arapaho-Butler","Regular local school district","4003120","20-I005","439",,,,,,,,,,
"19","Oklahoma","OK","District","No","Ardmore","Regular local school district","4003180","10-I019","2524",,,,,,,,,,
"20","Oklahoma","OK","District","No","Arkoma","Regular local school district","4003210","40-I091","367",,,,,,,,,,
"21","Oklahoma","OK","District","No","Arnett","Regular local school district","4003240","23-I003","152",,,,,,,,,,
"22","Oklahoma","OK","District","No","Asher","Regular local school district","4003300","63-I112","234",,,,,,,,,,
"23","Oklahoma","OK","District","Yes","Astec Charters","Charter agency","4000783","55-G004","1254",,,,,,,,,,
"24","Oklahoma","OK","District","No","Atoka","Regular local school district","4003360","03-I015","782",,,,,,,,,,
"25","Oklahoma","OK","District","No","Autry Technology Center","Other education agency","4000061","24-V015",,,,,,,,,,,
"26","Oklahoma","OK","District","No","Avant","Regular local school district","4003450","57-C035","61",,,,,,,,,,
"27","Oklahoma","OK","District","No","Balko","Regular local school district","4003510","04-I075","133",,,,,,,,,,
"28","Oklahoma","OK","District","No","Banner","Regular local school district","4003540","09-C031","238",,,,,,,,,,
"29","Oklahoma","OK","District","No","Barnsdall","Regular local school district","4003570","57-I029","354",,,,,,,,,,
"30","Oklahoma","OK","District","No","Bartlesville","Regular local school district","4003630","74-I030","5451","Required at least part of school year","8/13/20","4/23/21",,,"Required at least part of school year","8/13/20","4/23/21",,
"31","Oklahoma","OK","District","No","Battiest","Regular local school district","4003660","48-I071","247",,,,,,,,,,
"32","Oklahoma","OK","District","No","Bearden","Regular local school district","4003690","54-C029","124",,,,,,,,,,
"33","Oklahoma","OK","District","No","Beaver","Regular local school district","4003750","04-I022","260",,,,,,,,,,
"34","Oklahoma","OK","District","No","Beggs","Regular local school district","4003810","56-I004","889","Not required",,,,,"Not required",,,,
"35","Oklahoma","OK","District","No","Belfonte","Regular local school district","4003840","68-C050","139",,,,,,,,,,
"36","Oklahoma","OK","District","No","Bennington","Regular local school district","4003930","07-I040","292",,,,,,,,,,
"37","Oklahoma","OK","District","No","Berryhill","Regular local school district","4004020","72-I010","1071",,,,,,,,,,
"38","Oklahoma","OK","District","No","Bethany","Regular local school district","4004110","55-I088","1612",,,,,,,,,,
"39","Oklahoma","OK","District","No","Bethel","Regular local school district","4004230","63-I003","1055",,,,,,,,,,
"40","Oklahoma","OK","District","No","Big Pasture","Regular local school district","4004350","17-I333","181","Not required",,,,,"Not required",,,,
"41","Oklahoma","OK","District","No","Billings","Regular local school district","4004360","52-I002","70",,,,,,,,,,
"42","Oklahoma","OK","District","No","Binger-Oney","Regular local school district","4033603","08-I168","304",,,,,,,,,,
"43","Oklahoma","OK","District","No","Bishop","Regular local school district","4004470","16-C049","432",,,,,,,,,,
"44","Oklahoma","OK","District","No","Bixby","Regular local school district","4004500","72-I004","6328","Required full school year",,,,,"Required full school year",,,,
"45","Oklahoma","OK","District","No","Blackwell","Regular local school district","4004630","36-I045","1015",,,,,,,,,,
"46","Oklahoma","OK","District","No","Blair","Regular local school district","4004650","33-I054","231",,,,,,,,,,
"47","Oklahoma","OK","District","No","Blanchard","Regular local school district","4004680","47-I029","1839",,,,,,,,,,
"48","Oklahoma","OK","District","No","Bluejacket","Regular local school district","4004830","18-I020","189",,,,,,,,,,
"49","Oklahoma","OK","District","No","Boise City","Regular local school district","4004860","13-I002","288",,,,,,,,,,
"50","Oklahoma","OK","District","No","Bokoshe","Regular local school district","4004950","40-I026","138",,,,,,,,,,
"51","Oklahoma","OK","District","No","Boone-Apache","Regular local school district","4005010","08-I056","491",,,,,,,,,,
"52","Oklahoma","OK","District","No","Boswell","Regular local school district","4005040","12-I001","269",,,,,,,,,,
"53","Oklahoma","OK","District","No","Bowlegs","Regular local school district","4005130","67-I003","214",,,,,,,,,,
"54","Oklahoma","OK","District","No","Bowring","Regular local school district","4005160","57-C007","52","Not required",,,,,"Not required",,,,
"55","Oklahoma","OK","District","No","Braggs","Regular local school district","4005280","51-I046","112",,,,,,,,,,
"56","Oklahoma","OK","District","No","Bray-Doyle","Regular local school district","4005340","69-I042","246",,,,,,,,,,
"57","Oklahoma","OK","District","No","Bridge Creek","Regular local school district","4005400","26-I095","1582",,,,,,,,,,
"58","Oklahoma","OK","District","No","Briggs","Regular local school district","4005430","11-C044","410",,,,,,,,,,
"59","Oklahoma","OK","District","No","Bristow","Regular local school district","4005460","19-I002","1577",,,,,,,,,,
"60","Oklahoma","OK","District","No","Broken Arrow","Regular local school district","4005490","72-I003","17644",,,,,,,,,,
"61","Oklahoma","OK","District","No","Broken Bow","Regular local school district","4005520","48-I074","1459",,,,,,,,,,
"62","Oklahoma","OK","District","No","Brushy","Regular local school district","4005580","68-C036","310",,,,,,,,,,
"63","Oklahoma","OK","District","No","Buffalo","Regular local school district","4005760","30-I004","272",,,,,,,,,,
"64","Oklahoma","OK","District","No","Buffalo Valley","Regular local school district","4005820","39-I003","108",,,,,,,,,,
"65","Oklahoma","OK","District","No","Burlington","Regular local school district","4005910","02-I001","119",,,,,,,,,,
"66","Oklahoma","OK","District","No","Burns Flat-Dill City","Regular local school district","4000014","75-I010","456","Required full school year",,,,,"Required full school year",,,,
"67","Oklahoma","OK","District","No","Butner","Regular local school district","4006000","67-I015","177",,,,,,,,,,
"68","Oklahoma","OK","District","No","Byng","Regular local school district","4006060","62-I016","1547",,,,,,,,,,
"69","Oklahoma","OK","District","No","Cache","Regular local school district","4006120","16-I001","1825",,,,,,,,,,
"70","Oklahoma","OK","District","No","Caddo","Regular local school district","4006150","07-I005","472","Not required",,,,,"Not required",,,,
"71","Oklahoma","OK","District","No","Caddo-Kiowa Technology Center","Other education agency","4000051","08-V002",,,,,,,,,,,
"72","Oklahoma","OK","District","No","Calera","Regular local school district","4006180","07-I048","761",,,,,,,,,,
"73","Oklahoma","OK","District","No","Calumet","Regular local school district","4006240","09-I076","263","Required full school year",,,,,"Required full school year",,,,
"74","Oklahoma","OK","District","No","Calvin","Regular local school district","4006270","32-I048","154",,,,,,,,,,
