"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Oregon","OR","District","No","Adel Sd 21","Regular local school district","4100990","00000000002063","12","Required full school year",,,,,"Required full school year",,,,
"2","Oregon","OR","District","No","Adrian Sd 61","Regular local school district","4101020","00000000002113","254","Required full school year",,,,,"Required full school year",,,,
"3","Oregon","OR","District","Yes","Alsea Sd 7j","Charter agency","4101200","00000000001899","460","Required full school year",,,,,"Required full school year",,,,
"4","Oregon","OR","District","No","Amity Sd 4j","Regular local school district","4101230","00000000002252","733","Required full school year",,,,,"Required full school year",,,,
"5","Oregon","OR","District","Yes","Annex Sd 29","Charter agency","4101350","00000000002111","82","Required full school year",,,,,"Required full school year",,,,
"6","Oregon","OR","District","Yes","Arlington Sd 3","Charter agency","4101470","00000000002005","162","Required full school year",,,,,"Required full school year",,,,
"7","Oregon","OR","District","No","Arock Sd 81","Regular local school district","4101500","00000000002115","16","Required full school year",,,,,"Required full school year",,,,
"8","Oregon","OR","District","No","Ashland Sd 5","Regular local school district","4101560","00000000002041","2551","Required full school year",,,,,"Required full school year",,,,
"9","Oregon","OR","District","No","Ashwood Sd 8","Regular local school district","4101590","00000000002051","10","Required full school year",,,,,"Required full school year",,,,
"10","Oregon","OR","District","No","Astoria Sd 1","Regular local school district","4101620","00000000001933","1809","Required full school year",,,,,"Required full school year",,,,
"11","Oregon","OR","District","No","Athena-Weston Sd 29rj","Regular local school district","4101660","00000000002208","548","Required full school year",,,,,"Required full school year",,,,
"12","Oregon","OR","District","No","Baker Sd 5j","Regular local school district","4101710","00000000001894","4669","Required full school year",,,,,"Required full school year",,,,
"13","Oregon","OR","District","No","Bandon Sd 54","Regular local school district","4101800","00000000001969","634","Required full school year",,,,,"Required full school year",,,,
"14","Oregon","OR","District","No","Banks Sd 13","Regular local school district","4101830","00000000002240","1062","Required full school year",,,,,"Required full school year",,,,
"15","Oregon","OR","District","No","Beaverton Sd 48j","Regular local school district","4101920","00000000002243","39515","Required full school year",,,,,"Required full school year",,,,
"16","Oregon","OR","District","No","Bend-Lapine Administrative Sd 1","Regular local school district","4101980","00000000001976","17542","Required full school year",,,,,"Required full school year",,,,
"17","Oregon","OR","District","No","Bethel Sd 52","Regular local school district","4102040","00000000002088","5291","Required full school year",,,,,"Required full school year",,,,
"18","Oregon","OR","District","Yes","Blachly Sd 90","Charter agency","4102160","00000000002095","217","Required full school year",,,,,"Required full school year",,,,
"19","Oregon","OR","District","No","Black Butte Sd 41","Regular local school district","4102190","00000000002052","22","Required full school year",,,,,"Required full school year",,,,
"20","Oregon","OR","District","No","Brookings-Harbor Sd 17c","Regular local school district","4102310","00000000001974","1405","Required full school year",,,,,"Required full school year",,,,
"21","Oregon","OR","District","Yes","Burnt River Sd 30j","Charter agency","4101740","00000000001896","30","Required full school year",,,,,"Required full school year",,,,
"22","Oregon","OR","District","Yes","Butte Falls Sd 91","Charter agency","4102580","00000000002046","232","Required full school year",,,,,"Required full school year",,,,
"23","Oregon","OR","District","Yes","Camas Valley Sd 21j","Charter agency","4102610","00000000001995","226","Required full school year",,,,,"Required full school year",,,,
"24","Oregon","OR","District","No","Canby Sd 86","Regular local school district","4102640","00000000001929","4190","Required full school year",,,,,"Required full school year",,,,
"25","Oregon","OR","District","No","Cascade Sd 5","Regular local school district","4102780","00000000002139","2453","Required full school year",,,,,"Required full school year",,,,
"26","Oregon","OR","District","No","Centennial Sd 28j","Regular local school district","4102800","00000000002185","5710","Required full school year",,,,,"Required full school year",,,,
"27","Oregon","OR","District","No","Central Curry Sd 1","Regular local school district","4105760","00000000001972","434","Required full school year",,,,,"Required full school year",,,,
"28","Oregon","OR","District","No","Central Linn Sd 552","Regular local school district","4102910","00000000002105","576","Required full school year",,,,,"Required full school year",,,,
"29","Oregon","OR","District","No","Central Point Sd 6","Regular local school district","4102940","00000000002042","4731","Required full school year",,,,,"Required full school year",,,,
"30","Oregon","OR","District","No","Central Sd 13j","Regular local school district","4102840","00000000002191","3127","Required full school year",,,,,"Required full school year",,,,
"31","Oregon","OR","District","No","Clackamas Esd","Regional education service agency","4180505","00000000001902","194","Required full school year",,,,,"Required full school year",,,,
"32","Oregon","OR","District","No","Clatskanie Sd 6j","Regular local school district","4103260","00000000001945","651","Required full school year",,,,,"Required full school year",,,,
"33","Oregon","OR","District","No","Colton Sd 53","Regular local school district","4103270","00000000001927","510","Required full school year",,,,,"Required full school year",,,,
"34","Oregon","OR","District","No","Condon Sd 25j","Regular local school district","4103330","00000000002006","134","Required full school year",,,,,"Required full school year",,,,
"35","Oregon","OR","District","No","Coos Bay Sd 9","Regular local school district","4103660","00000000001965","3022","Required full school year",,,,,"Required full school year",,,,
"36","Oregon","OR","District","No","Coquille Sd 8","Regular local school district","4103390","00000000001964","1322","Required full school year",,,,,"Required full school year",,,,
"37","Oregon","OR","District","Yes","Corbett Sd 39","Charter agency","4103420","00000000002186","1083","Required full school year",,,,,"Required full school year",,,,
"38","Oregon","OR","District","No","Corvallis Sd 509j","Regular local school district","4103480","00000000001901","6461","Required full school year",,,,,"Required full school year",,,,
"39","Oregon","OR","District","Yes","Cove Sd 15","Charter agency","4103540","00000000002216","252","Required full school year",,,,,"Required full school year",,,,
"40","Oregon","OR","District","No","Creswell Sd 40","Regular local school district","4103690","00000000002086","1152","Required full school year",,,,,"Required full school year",,,,
"41","Oregon","OR","District","No","Crook County Sd","Regular local school district","4103720","00000000001970","3060","Required full school year",,,,,"Required full school year",,,,
"42","Oregon","OR","District","No","Crow-Applegate-Lorane Sd 66","Regular local school district","4103780","00000000002089","248","Required full school year",,,,,"Required full school year",,,,
