"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Pennsylvania","PA","District","Yes","21st Century Cyber Cs","Charter agency","4200091","124150002","2503","Required full school year",,,,,"Required full school year",,,,
"2","Pennsylvania","PA","District","No","A W Beattie Career Center","Specialized public school district","4280010","103020407","822","Required full school year",,,,,"Required full school year",,,,
"3","Pennsylvania","PA","District","No","Abington Heights Sd","Regular local school district","4202010","119350303","3351","Required full school year",,,,,"Required full school year",,,,
"4","Pennsylvania","PA","District","No","Abington Sd","Regular local school district","4202040","123460302","8359","Required full school year",,,,,"Required full school year",,,,
"5","Pennsylvania","PA","District","Yes","Achievement House Cs","Charter agency","4200128","125230001","928","Required full school year",,,,,"Required full school year",,,,
"6","Pennsylvania","PA","District","Yes","Ad Prima Cs","Charter agency","4200129","126510015","651","Required full school year",,,,,"Required full school year",,,,
"7","Pennsylvania","PA","District","No","Admiral Peary Avts","Specialized public school district","4280120","108110307","580","Required full school year",,,,,"Required full school year",,,,
"8","Pennsylvania","PA","District","Yes","Agora Cyber Cs","Charter agency","4200140","126510020","7345","Required full school year",,,,,"Required full school year",,,,
"9","Pennsylvania","PA","District","No","Albert Gallatin Area Sd","Regular local school district","4202100","101260303","3088","Required full school year",,,,,"Required full school year",,,,
"10","Pennsylvania","PA","District","No","Aliquippa Sd","Regular local school district","4202130","127040503","940","Required full school year",,,,,"Required full school year",,,,
"11","Pennsylvania","PA","District","No","Allegheny-Clarion Valley Sd","Regular local school district","4202310","106160303","616","Required full school year",,,,,"Required full school year",,,,
"12","Pennsylvania","PA","District","No","Allegheny Iu 3","Regional education service agency","4289130","103000000","518","Required full school year",,,,,"Required full school year",,,,
"13","Pennsylvania","PA","District","No","Allegheny Valley Sd","Regular local school district","4202190","103020603","876","Required full school year",,,,,"Required full school year",,,,
"14","Pennsylvania","PA","District","No","Allentown City Sd","Regular local school district","4202280","121390302","16231","Required full school year",,,,,"Required full school year",,,,
"15","Pennsylvania","PA","District","Yes","Alliance For Progress Cs","Charter agency","4200039","126512990","540","Required full school year",,,,,"Required full school year",,,,
"16","Pennsylvania","PA","District","No","Altoona Area Sd","Regular local school district","4202340","108070502","7227","Required full school year",,,,,"Required full school year",,,,
"17","Pennsylvania","PA","District","No","Ambridge Area Sd","Regular local school district","4202440","127040703","2240","Required full school year",,,,,"Required full school year",,,,
"18","Pennsylvania","PA","District","No","Annville-Cleona Sd","Regular local school district","4202490","113380303","1452","Required full school year",,,,,"Required full school year",,,,
"19","Pennsylvania","PA","District","No","Antietam Sd","Regular local school district","4202480","114060503","1090","Required full school year",,,,,"Required full school year",,,,
"20","Pennsylvania","PA","District","Yes","Antonia Pantoja Community Charter School","Charter agency","4200813","104510394","698","Required full school year",,,,,"Required full school year",,,,
"21","Pennsylvania","PA","District","No","Apollo-Ridge Sd","Regular local school district","4202550","128030603","1119","Required full school year",,,,,"Required full school year",,,,
"22","Pennsylvania","PA","District","No","Appalachia Iu 8","Regional education service agency","4289180","108000000","171","Required full school year",,,,,"Required full school year",,,,
"23","Pennsylvania","PA","District","No","Arin Iu 28","Regional education service agency","4289380","128000000","34","Required full school year",,,,,"Required full school year",,,,
"24","Pennsylvania","PA","District","No","Armstrong Sd","Regular local school district","4202590","128030852","4798","Required full school year",,,,,"Required full school year",,,,
"25","Pennsylvania","PA","District","Yes","Arts Academy Cs","Charter agency","4200860","121395927","334","Required full school year",,,,,"Required full school year",,,,
"26","Pennsylvania","PA","District","Yes","Arts Academy Elementary Charter School","Charter agency","4200883","121399898","432","Required full school year",,,,,"Required full school year",,,,
"27","Pennsylvania","PA","District","Yes","Aspira Bilingual Cyber Charter School","Charter agency","4200835","181519176","450","Required full school year",,,,,"Required full school year",,,,
"28","Pennsylvania","PA","District","No","Athens Area Sd","Regular local school district","4202670","117080503","2035","Required full school year",,,,,"Required full school year",,,,
"29","Pennsylvania","PA","District","No","Austin Area Sd","Regular local school district","4202700","109530304","177","Required full school year",,,,,"Required full school year",,,,
"30","Pennsylvania","PA","District","No","Avella Area Sd","Regular local school district","4202760","101630504","518","Required full school year",,,,,"Required full school year",,,,
"31","Pennsylvania","PA","District","Yes","Avon Grove Cs","Charter agency","4200101","124150003","1846","Required full school year",,,,,"Required full school year",,,,
"32","Pennsylvania","PA","District","No","Avon Grove Sd","Regular local school district","4202790","124150503","4934","Required full school year",,,,,"Required full school year",,,,
"33","Pennsylvania","PA","District","No","Avonworth Sd","Regular local school district","4202820","103020753","1853","Required full school year",,,,,"Required full school year",,,,
"34","Pennsylvania","PA","District","Yes","Baden Academy Cs","Charter agency","4200861","127046517","577","Required full school year",,,,,"Required full school year",,,,
"35","Pennsylvania","PA","District","No","Bald Eagle Area Sd","Regular local school district","4202910","110141003","1528","Required full school year",,,,,"Required full school year",,,,
"36","Pennsylvania","PA","District","No","Baldwin-Whitehall Sd","Regular local school district","4202970","103021102","4466","Required full school year",,,,,"Required full school year",,,,
"37","Pennsylvania","PA","District","No","Bangor Area Sd","Regular local school district","4203000","120480803","2755","Required full school year",,,,,"Required full school year",,,,
"38","Pennsylvania","PA","District","Yes","Bear Creek Community Cs","Charter agency","4200126","118400001","466","Required full school year",,,,,"Required full school year",,,,
"39","Pennsylvania","PA","District","No","Beaver Area Sd","Regular local school district","4203120","127041203","1972","Required full school year",,,,,"Required full school year",,,,
"40","Pennsylvania","PA","District","No","Beaver County Ctc","Specialized public school district","4280500","127041307","627","Required full school year",,,,,"Required full school year",,,,
"41","Pennsylvania","PA","District","No","Beaver Valley Iu 27","Regional education service agency","4289370","127000000","171","Required full school year",,,,,"Required full school year",,,,
"42","Pennsylvania","PA","District","No","Bedford Area Sd","Regular local school district","4203180","108051003","1705","Required full school year",,,,,"Required full school year",,,,
"43","Pennsylvania","PA","District","No","Bedford County Technical Center","Specialized public school district","4200001","108051307","299","Required full school year",,,,,"Required full school year",,,,
"44","Pennsylvania","PA","District","No","Belle Vernon Area Sd","Regular local school district","4203210","107650603","2330","Required full school year",,,,,"Required full school year",,,,
"45","Pennsylvania","PA","District","No","Bellefonte Area Sd","Regular local school district","4203240","110141103","2664","Required full school year",,,,,"Required full school year",,,,
"46","Pennsylvania","PA","District","No","Bellwood-Antis Sd","Regular local school district","4203300","108071003","1212","Required full school year",,,,,"Required full school year",,,,
"47","Pennsylvania","PA","District","Yes","Belmont Charter School","Charter agency","4200108","126510010","973","Required full school year",,,,,"Required full school year",,,,
