"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Rhode Island","RI","District","Yes","Achievement First Rhode Island","Charter agency","4400021","41","1772","Required full school year",,,,,"Required full school year",,,,
"2","Rhode Island","RI","District","No","Barrington","Regular local school district","4400030","01","3388","Required full school year",,,,,"Required full school year",,,,
"3","Rhode Island","RI","District","Yes","Beacon Charter School","Charter agency","4400008","58","390","Required full school year",,,,,"Required full school year",,,,
"4","Rhode Island","RI","District","Yes","Blackstone Academy","Charter agency","4400036","54","351","Required full school year",,,,,"Required full school year",,,,
"5","Rhode Island","RI","District","Yes","Blackstone Valley Prep  A Ri Mayoral Academy","Charter agency","4400015","47","2105","Required full school year",,,,,"Required full school year",,,,
"6","Rhode Island","RI","District","No","Bristol Warren","Regular local school district","4400065","96","3061","Required full school year",,,,,"Required full school year",,,,
"7","Rhode Island","RI","District","No","Burrillville","Regular local school district","4400090","03","2106","Required full school year",,,,,"Required full school year",,,,
"8","Rhode Island","RI","District","No","Central Falls","Regular local school district","4400120","04","2780","Required full school year",,,,,"Required full school year",,,,
"9","Rhode Island","RI","District","Yes","Charette Charter","Charter agency","4400037","81","167","Required full school year",,,,,"Required full school year",,,,
"10","Rhode Island","RI","District","No","Chariho","Regular local school district","4400150","98","3143","Required full school year",,,,,"Required full school year",,,,
"11","Rhode Island","RI","District","No","Coventry","Regular local school district","4400210","06","4390","Required full school year",,,,,"Required full school year",,,,
"12","Rhode Island","RI","District","No","Cranston","Regular local school district","4400240","07","10403","Required full school year",,,,,"Required full school year",,,,
"13","Rhode Island","RI","District","No","Cumberland","Regular local school district","4400270","08","4602","Required full school year",,,,,"Required full school year",,,,
"14","Rhode Island","RI","District","No","Davies Career And Tech","State-operated agency","4400004","40","905","Required full school year",,,,,"Required full school year",,,,
"15","Rhode Island","RI","District","No","Dcyf","State-operated agency","4400009","67","19","Required full school year",,,,,"Required full school year",,,,
"16","Rhode Island","RI","District","No","East Greenwich","Regular local school district","4400300","09","2532","Required full school year",,,,,"Required full school year",,,,
