"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","South Dakota","SD","District","No","Aberdeen School District 06-1","Regular local school district","4602070","06001","4474",,,,,,,,,,
"2","South Dakota","SD","District","No","Agar-Blunt-Onida School District 58-3","Regular local school district","4600042","58003","265",,,,,,,,,,
"3","South Dakota","SD","District","No","Alcester-Hudson School District 61-1","Regular local school district","4600028","61001","344","Required at least part of school year",,,,,"Required at least part of school year",,,,
"4","South Dakota","SD","District","No","Andes Central School District 11-1","Regular local school district","4639540","11001","325","Required full school year",,,,,"Required full school year",,,,
"5","South Dakota","SD","District","No","Arlington School District 38-1","Regular local school district","4603720","38001","258",,,,,,,,,,
"6","South Dakota","SD","District","No","Armour School District 21-1","Regular local school district","4603780","21001","180",,,,,,,,,,
"7","South Dakota","SD","District","No","Avon School District 04-1","Regular local school district","4604270","04001","231",,,,,,,,,,
"8","South Dakota","SD","District","No","Baltic School District 49-1","Regular local school district","4604680","49001","519",,,,,,,,,,
"9","South Dakota","SD","District","No","Belle Fourche School District 09-1","Regular local school district","4605610","09001","1375",,,,,,,,,,
"10","South Dakota","SD","District","No","Bennett County School District 03-1","Regular local school district","4606240","03001","487",,,,,,,,,,
"11","South Dakota","SD","District","No","Beresford School District 61-2","Regular local school district","4606360","61002","703",,,,,,,,,,
"12","South Dakota","SD","District","No","Big Stone City School District 25-1","Regular local school district","4606960","25001","70",,,,,,,,,,
"13","South Dakota","SD","District","No","Bison School District 52-1","Regular local school district","4607050","52001","141",,,,,,,,,,
"14","South Dakota","SD","District","No","Black Hills Special Services Cooperative","Regional education service agency","4680120","40201",,,,,,,,,,,
"15","South Dakota","SD","District","No","Bon Homme School District 04-2","Regular local school district","4607400","04002","495",,,,,,,,,,
"16","South Dakota","SD","District","No","Bowdle School District 22-1","Regular local school district","4607800","22001","118","Not required",,,,,"Not required",,,,
"17","South Dakota","SD","District","No","Brandon Valley School District 49-2","Regular local school district","4607950","49002","4643",,,,,,,,,,
"18","South Dakota","SD","District","No","Bridgewater-Emery 30-3","Regular local school district","4621420","30003","333",,,,,,,,,,
"19","South Dakota","SD","District","No","Britton-Hecla School District 45-4","Regular local school district","4600041","45004","432",,,,,,,,,,
"20","South Dakota","SD","District","No","Brookings School District 05-1","Regular local school district","4608520","05001","3344","Required full school year",,,,,"Required full school year",,,,
"21","South Dakota","SD","District","No","Burke School District 26-2","Regular local school district","4609512","26002","253",,,,,,,,,,
"22","South Dakota","SD","District","No","Canistota School District 43-1","Regular local school district","4610320","43001","217","Required full school year",,,,,"Required at least part of school year",,,,
"23","South Dakota","SD","District","No","Canton School District 41-1","Regular local school district","4610560","41001","863","Required full school year",,,,,"Required full school year",,,,
"24","South Dakota","SD","District","No","Castlewood School District 28-1","Regular local school district","4611280","28001","310",,,,,,,,,,
"25","South Dakota","SD","District","No","Centerville School District 60-1","Regular local school district","4611760","60001","282",,,,,,,,,,
"26","South Dakota","SD","District","No","Chamberlain School District 07-1","Regular local school district","4612000","07001","873","Required full school year","8/19/20","4/6/21",,,"Required at least part of school year","9/28/20","3/9/21","5/1/21","5/15/21"
"27","South Dakota","SD","District","No","Chester Area School District 39-1","Regular local school district","4612300","39001","549",,,,,,,,,,
"28","South Dakota","SD","District","No","Clark School District 12-2","Regular local school district","4612940","12002","435","Not required",,,,,"Not required",,,,
"29","South Dakota","SD","District","No","Colman-Egan School District 50-5","Regular local school district","4614100","50005","279",,,,,,,,,,
"30","South Dakota","SD","District","No","Colome Consolidated 59-3","Regular local school district","4614130","59003","202",,,,,,,,,,
"31","South Dakota","SD","District","No","Core Educational Cooperative","Regional education service agency","4680446","11202",,,,,,,,,,,
"32","South Dakota","SD","District","No","Cornbelt Educational Cooperative","Regional education service agency","4616150","60201",,,,,,,,,,,
"33","South Dakota","SD","District","No","Corsica-Stickney 21-3","Regular local school district","4680445","21003","257","Required at least part of school year",,,,,"Required at least part of school year",,,,
"34","South Dakota","SD","District","No","Custer School District 16-1","Regular local school district","4616950","16001","889","Required at least part of school year",,,,,"Required at least part of school year",,,,
"35","South Dakota","SD","District","No","Dakota Valley School District 61-8","Regular local school district","4636990","61008","1376",,,,,,,,,,
"36","South Dakota","SD","District","No","De Smet School District 38-2","Regular local school district","4617850","38002","283",,,,,,,,,,
"37","South Dakota","SD","District","No","Dell Rapids School District 49-3","Regular local school district","4618120","49003","975",,,,,,,,,,
