"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Tennessee","TN","District","No","Achievement School District","Regular local school district","4700147","00985","10764",,,,,,,,,,
"2","Tennessee","TN","District","No","Alamo","Regular local school district","4700030","00171","575",,,,,,,,,,
"3","Tennessee","TN","District","No","Alcoa","Regular local school district","4700060","00051","2075",,,,,,,,,,
"4","Tennessee","TN","District","No","Alvin C York Institute","Regular local school district","4700144","00961","516",,,,,,,,,,
"5","Tennessee","TN","District","No","Anderson County","Regular local school district","4700090","00010","6141",,,,,,,,,,
"6","Tennessee","TN","District","No","Arlington","Regular local school district","4700152","00793","4778",,,,,,,,,,
"7","Tennessee","TN","District","No","Athens","Regular local school district","4700120","00541","1628",,,,,,,,,,
"8","Tennessee","TN","District","No","Bartlett","Regular local school district","4700153","00794","8967",,,,,,,,,,
"9","Tennessee","TN","District","No","Bells","Regular local school district","4700210","00172","366","Required at least part of school year","8/24/20","3/13/21",,,"Not required",,,,
"10","Tennessee","TN","District","No","Benton County","Regular local school district","4700240","00030","2067",,,,,,,,,,
"11","Tennessee","TN","District","No","Bledsoe County","Regular local school district","4700270","00040","1627","Required full school year",,,,,"Required full school year",,,,
"12","Tennessee","TN","District","No","Blount County","Regular local school district","4700300","00050","10470",,,,,,,,,,
"13","Tennessee","TN","District","No","Bradford","Regular local school district","4701390","00274","568","Required full school year",,,,,"Required full school year",,,,
"14","Tennessee","TN","District","No","Bradley County","Regular local school district","4700330","00060","9943",,,,,,,,,,
"15","Tennessee","TN","District","No","Bristol","Regular local school district","4700360","00821","3902",,,,,,,,,,
"16","Tennessee","TN","District","No","Campbell County","Regular local school district","4700420","00070","5160",,,,,,,,,,
"17","Tennessee","TN","District","No","Cannon County","Regular local school district","4700450","00080","1932","Not required",,,,,"Not required",,,,
"18","Tennessee","TN","District","No","Carroll County","Regular local school district","4700480","00090","2",,,,,,,,,,
"19","Tennessee","TN","District","No","Carter County","Regular local school district","4700510","00100","4856",,,,,,,,,,
