"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Texas","TX","District","Yes","A W Brown Leadership Academy","Charter agency","4800095","057816","1382","Required full school year",,,,,"Required full school year",,,,
"2","Texas","TX","District","Yes","A+ Academy","Charter agency","4800203","057829","1456","Required full school year",,,,,"Required full school year",,,,
"3","Texas","TX","District","Yes","A+ Unlimited Potential","Charter agency","4801453","101871","153","Required full school year",,,,,"Required full school year",,,,
"4","Texas","TX","District","No","Abbott Isd","Regular local school district","4807380","109901","276",,,,,,,,,,
"5","Texas","TX","District","No","Abernathy Isd","Regular local school district","4807410","095901","805","Required at least part of school year","8/10/20","3/22/21",,,"Required at least part of school year","8/19/20","3/22/21",,
"6","Texas","TX","District","No","Abilene Isd","Regular local school district","4807440","221901","15844",,,,,,,,,,
"7","Texas","TX","District","Yes","Academy For Academic Excellence","Charter agency","4800093","057814","321",,,,,,,,,,
"8","Texas","TX","District","No","Academy Isd","Regular local school district","4807470","014901","1727",,,,,,,,,,
"9","Texas","TX","District","Yes","Academy Of Accelerated Learning Inc","Charter agency","4800032","101810","852",,,,,,,,,,
"10","Texas","TX","District","Yes","Academy Of Dallas","Charter agency","4800090","057810","341","Required full school year",,,,,"Required full school year",,,,
"11","Texas","TX","District","Yes","Accelerated Intermediate Academy","Charter agency","4800192","101849","233",,,,,,,,,,
"12","Texas","TX","District","No","Adrian Isd","Regular local school district","4807500","180903","122",,,,,,,,,,
"13","Texas","TX","District","Yes","Advantage Academy","Charter agency","4800041","057806","1208","Required full school year",,,,,"Required full school year",,,,
"14","Texas","TX","District","No","Agua Dulce Isd","Regular local school district","4807530","178901","445",,,,,,,,,,
"15","Texas","TX","District","No","Alamo Heights Isd","Regular local school district","4807590","015901","4778",,,,,,,,,,
"16","Texas","TX","District","No","Alba-Golden Isd","Regular local school district","4807650","250906","853",,,,,,,,,,
"17","Texas","TX","District","No","Albany Isd","Regular local school district","4807680","209901","503",,,,,,,,,,
"18","Texas","TX","District","No","Aldine Isd","Regular local school district","4807710","101902","63449",,,,,,,,,,
"19","Texas","TX","District","No","Aledo Isd","Regular local school district","4807780","184907","6716","Required at least part of school year","8/10/20","4/15/21",,,"Required at least part of school year","8/19/20","4/15/21",,
"20","Texas","TX","District","No","Alice Isd","Regular local school district","4807800","125901","4671",,,,,,,,,,
"21","Texas","TX","District","No","Alief Isd","Regular local school district","4807830","101903","43233",,,,,,,,,,
"22","Texas","TX","District","Yes","Alief Montessori Community School","Charter agency","4800035","101815","332","Required full school year",,,,,"Required full school year",,,,
"23","Texas","TX","District","No","Allen Isd","Regular local school district","4807890","043901","21656",,,,,,,,,,
"24","Texas","TX","District","No","Alpine Isd","Regular local school district","4807950","022901","926",,,,,,,,,,
"25","Texas","TX","District","No","Alto Isd","Regular local school district","4807980","037901","609",,,,,,,,,,
"26","Texas","TX","District","No","Alvarado Isd","Regular local school district","4800011","126901","3464",,,,,,,,,,
"27","Texas","TX","District","No","Alvin Isd","Regular local school district","4808090","020901","26997",,,,,,,,,,
"28","Texas","TX","District","No","Alvord Isd","Regular local school district","4808100","249901","711",,,,,,,,,,
"29","Texas","TX","District","No","Amarillo Isd","Regular local school district","4808130","188901","31402",,,,,,,,,,
"30","Texas","TX","District","Yes","Ambassadors Preparatory Academy","Charter agency","4800284","084804","246",,,,,,,,,,
"31","Texas","TX","District","No","Amherst Isd","Regular local school district","4808160","140901","133",,,,,,,,,,
"32","Texas","TX","District","Yes","Amigos Por Vida-Friends For Life Pub Chtr Sch","Charter agency","4800113","101819","479",,,,,,,,,,
"33","Texas","TX","District","No","Anahuac Isd","Regular local school district","4808190","036901","1322",,,,,,,,,,
"34","Texas","TX","District","No","Anderson-Shiro Cisd","Regular local school district","4808230","093901","881",,,,,,,,,,
"35","Texas","TX","District","No","Andrews Isd","Regular local school district","4808280","002901","4149",,,,,,,,,,
"36","Texas","TX","District","No","Angleton Isd","Regular local school district","4808310","020902","6853",,,,,,,,,,
"37","Texas","TX","District","No","Anna Isd","Regular local school district","4808340","043902","3980",,,,,,,,,,
"38","Texas","TX","District","No","Anson Isd","Regular local school district","4808400","127901","711",,,,,,,,,,
"39","Texas","TX","District","No","Anthony Isd","Regular local school district","4808430","071906","787",,,,,,,,,,
"40","Texas","TX","District","No","Anton Isd","Regular local school district","4808460","110901","184","Required full school year",,,,,"Required full school year",,,,
"41","Texas","TX","District","No","Apple Springs Isd","Regular local school district","4808490","228905","207",,,,,,,,,,
"42","Texas","TX","District","No","Aquilla Isd","Regular local school district","4808520","109912","319",,,,,,,,,,
"43","Texas","TX","District","No","Aransas County Isd","Regular local school district","4808550","004901","3010",,,,,,,,,,
"44","Texas","TX","District","No","Aransas Pass Isd","Regular local school district","4808580","205901","1641","Required full school year",,,,,"Required full school year",,,,
"45","Texas","TX","District","No","Archer City Isd","Regular local school district","4808610","005901","502",,,,,,,,,,
"46","Texas","TX","District","No","Argyle Isd","Regular local school district","4808670","061910","3751",,,,,,,,,,
"47","Texas","TX","District","Yes","Aristoi Classical Academy","Charter agency","4800019","101803","1073","Required full school year",,,,,"Required full school year",,,,
"48","Texas","TX","District","Yes","Arlington Classics Academy","Charter agency","4800158","220802","1541",,,,,,,,,,
"49","Texas","TX","District","No","Arlington Isd","Regular local school district","4808700","220901","56995",,,,,,,,,,
"50","Texas","TX","District","No","Arp Isd","Regular local school district","4808730","212901","874",,,,,,,,,,
"51","Texas","TX","District","Yes","Arrow Academy","Charter agency","4801416","021805","686","Required full school year",,,,,"Required full school year",,,,
