"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Utah","UT","District","Yes","Academy For Math Engineering & Science","Charter agency","4900017","83","487","Required full school year",,,,,"Required full school year",,,,
"2","Utah","UT","District","Yes","Advantage Arts Academy","Charter agency","4900198","1M","327","Required full school year",,,,,"Required full school year",,,,
"3","Utah","UT","District","No","Alpine District","Regular local school district","4900030","01","80953","Required full school year",,,,,"Required full school year",,,,
"4","Utah","UT","District","Yes","American Academy Of Innovation","Charter agency","4900186","8K","401","Required full school year",,,,,"Required full school year",,,,
"5","Utah","UT","District","Yes","American Leadership Academy","Charter agency","4900033","8B","1652","Required full school year",,,,,"Required full school year",,,,
"6","Utah","UT","District","Yes","American Preparatory Academy","Charter agency","4900005","74","5359","Required full school year",,,,,"Required full school year",,,,
"7","Utah","UT","District","Yes","Ascent Academies Of Utah","Charter agency","4900174","2J","2221","Required full school year",,,,,"Required full school year",,,,
"8","Utah","UT","District","Yes","Athenian Eacademy","Charter agency","4900181","4K","545","Required full school year",,,,,"Required full school year",,,,
"9","Utah","UT","District","Yes","Athlos Academy Of Utah","Charter agency","4900189","1L","611","Required full school year",,,,,"Required full school year",,,,
"10","Utah","UT","District","Yes","Bear River Charter School","Charter agency","4900146","3G","161","Required full school year",,,,,"Required full school year",,,,
"11","Utah","UT","District","No","Beaver District","Regular local school district","4900060","02","1519","Required full school year",,,,,"Required full school year",,,,
"12","Utah","UT","District","Yes","Beehive Science & Technology Academy","Charter agency","4900023","3B","312","Required full school year",,,,,"Required full school year",,,,
"13","Utah","UT","District","Yes","Bonneville Academy","Charter agency","4900195","6L","521","Required full school year",,,,,"Required full school year",,,,
"14","Utah","UT","District","No","Box Elder District","Regular local school district","4900090","03","11832","Required full school year",,,,,"Required full school year",,,,
"15","Utah","UT","District","Yes","Bridge Elementary School","Charter agency","4900202","3M","485","Required full school year",,,,,"Required full school year",,,,
"16","Utah","UT","District","Yes","C.s. Lewis Academy","Charter agency","4900074","3E","268","Required full school year",,,,,"Required full school year",,,,
"17","Utah","UT","District","No","Cache District","Regular local school district","4900120","04","18833","Required full school year",,,,,"Required full school year",,,,
"18","Utah","UT","District","Yes","Canyon Grove Academy","Charter agency","4900143","5G","631","Required full school year",,,,,"Required full school year",,,,
"19","Utah","UT","District","Yes","Canyon Rim Academy","Charter agency","4900071","9D","525","Required full school year",,,,,"Required full school year",,,,
"20","Utah","UT","District","No","Canyons District","Regular local school district","4900142","42","33488","Required full school year",,,,,"Required full school year",,,,
"21","Utah","UT","District","No","Carbon District","Regular local school district","4900150","05","3289","Required full school year",,,,,"Required full school year",,,,
"22","Utah","UT","District","Yes","Channing Hall","Charter agency","4900040","2D","579","Required full school year",,,,,"Required full school year",,,,
"23","Utah","UT","District","Yes","City Academy","Charter agency","4900009","87","136","Required full school year",,,,,"Required full school year",,,,
"24","Utah","UT","District","No","Daggett District","Regular local school district","4900180","06","187","Required full school year",,,,,"Required full school year",,,,
"25","Utah","UT","District","Yes","Davinci Academy","Charter agency","4900065","A3","1283","Required full school year",,,,,"Required full school year",,,,
"26","Utah","UT","District","No","Davis District","Regular local school district","4900210","07","70643","Required full school year",,,,,"Required full school year",,,,
"27","Utah","UT","District","Yes","Dixie Montessori Academy","Charter agency","4900169","3J","195","Required full school year",,,,,"Required full school year",,,,
"28","Utah","UT","District","Yes","Dual Immersion Academy","Charter agency","4900073","4E","443","Required full school year",,,,,"Required full school year",,,,
"29","Utah","UT","District","No","Duchesne District","Regular local school district","4900240","08","4987","Required full school year",,,,,"Required full school year",,,,
"30","Utah","UT","District","Yes","Early Light Academy At Daybreak","Charter agency","4900140","6F","952","Required full school year",,,,,"Required full school year",,,,
"31","Utah","UT","District","Yes","East Hollywood High","Charter agency","4900036","A8","273","Required full school year",,,,,"Required full school year",,,,
"32","Utah","UT","District","Yes","Edith Bowen Laboratory School","Charter agency","4900070","5E","357","Required full school year",,,,,"Required full school year",,,,
"33","Utah","UT","District","No","Emery District","Regular local school district","4900270","09","2172","Required full school year",,,,,"Required full school year",,,,
