"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Vermont","VT","District","No","Addison Central Unified School District","Local school district that is a component of a supervisory union","5000402","U055","1608","Required full school year",,,,,"Required full school year",,,,
"2","Vermont","VT","District","No","Addison Northwest Unified School District","Local school district that is a component of a supervisory union","5000398","U054","827","Required full school year",,,,,"Required full school year",,,,
"3","Vermont","VT","District","No","Alburg School District","Local school district that is a component of a supervisory union","5001770","T003","171","Required full school year",,,,,"Required full school year",,,,
"4","Vermont","VT","District","No","Arlington School District","Local school district that is a component of a supervisory union","5001830","T005","380","Required full school year",,,,,"Required full school year",,,,
"5","Vermont","VT","District","No","Barnard School District","Local school district that is a component of a supervisory union","5001950","T009","66","Required full school year",,,,,"Required full school year",,,,
"6","Vermont","VT","District","No","Barre Unified Union School District #97","Local school district that is a component of a supervisory union","5000445","U097","1992","Required full school year",,,,,"Required full school year",,,,
"7","Vermont","VT","District","No","Barstow Unified School District","Local school district that is a component of a supervisory union","5000390","U049","189","Required full school year",,,,,"Required full school year",,,,
"8","Vermont","VT","District","No","Bellows Falls Uhsd #27","Local school district that is a component of a supervisory union","5008246","U027","314","Required full school year",,,,,"Required full school year",,,,
"9","Vermont","VT","District","No","Blue Mountain Usd #21","Local school district that is a component of a supervisory union","5008224","U021","352","Required full school year",,,,,"Required full school year",,,,
"10","Vermont","VT","District","No","Brighton School District","Local school district that is a component of a supervisory union","5002610","T030","94","Required full school year",,,,,"Required full school year",,,,
"11","Vermont","VT","District","No","Burlington School District","Local school district that is a component of a supervisory union","5002820","T037","3177","Required full school year",,,,,"Required full school year",,,,
"12","Vermont","VT","District","No","Cabot School District","Local school district that is a component of a supervisory union","5002850","T038","144","Required full school year",,,,,"Required full school year",,,,
"13","Vermont","VT","District","No","Caledonia Cooperative Unified School District","Local school district that is a component of a supervisory union","5000412","U078","353","Required full school year",,,,,"Required full school year",,,,
"14","Vermont","VT","District","No","Cambridge School District","Local school district that is a component of a supervisory union","5002910","T040","256","Required full school year",,,,,"Required full school year",,,,
"15","Vermont","VT","District","No","Canaan School District","Local school district that is a component of a supervisory union","5002940","T041","180","Required full school year",,,,,"Required full school year",,,,
