"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Virginia","VA","District","No","Accomack County","Regular local school district","5100060","1","4740","Required full school year",,,,,"Required full school year",,,,
"2","Virginia","VA","District","No","Albemarle County","Regular local school district","5100090","2","13280","Required full school year",,,,,"Required full school year",,,,
"3","Virginia","VA","District","No","Alexandria City","Regular local school district","5100120","101","15360","Required full school year",,,,,"Required full school year",,,,
"4","Virginia","VA","District","No","Alleghany County","Regular local school district","5100152","3","1898","Required full school year",,,,,"Required full school year",,,,
"5","Virginia","VA","District","No","Amelia County","Regular local school district","5100180","4","1572","Required full school year",,,,,"Required full school year",,,,
"6","Virginia","VA","District","No","Amherst County","Regular local school district","5100210","5","3930","Required full school year",,,,,"Required full school year",,,,
"7","Virginia","VA","District","No","Appomattox County","Regular local school district","5100240","6","2213","Required full school year",,,,,"Required full school year",,,,
"8","Virginia","VA","District","No","Arlington County","Regular local school district","5100270","7","26177","Required full school year",,,,,"Required full school year",,,,
"9","Virginia","VA","District","No","Augusta County","Regular local school district","5100300","8","9908","Required full school year",,,,,"Required full school year",,,,
"10","Virginia","VA","District","No","Bath County","Regular local school district","5100330","9","505","Required full school year",,,,,"Required full school year",,,,
"11","Virginia","VA","District","No","Bedford County","Regular local school district","5100360","10","9014","Required full school year",,,,,"Required full school year",,,,
"12","Virginia","VA","District","No","Bland County","Regular local school district","5100390","11","661","Required full school year",,,,,"Required full school year",,,,
"13","Virginia","VA","District","No","Botetourt County","Regular local school district","5100420","12","4354","Required full school year",,,,,"Required full school year",,,,
"14","Virginia","VA","District","No","Bristol City","Regular local school district","5100450","102","2125","Required full school year",,,,,"Required full school year",,,,
"15","Virginia","VA","District","No","Brunswick County","Regular local school district","5100480","13","1411","Required full school year",,,,,"Required full school year",,,,
"16","Virginia","VA","District","No","Buchanan County","Regular local school district","5100510","14","2419","Required full school year",,,,,"Required full school year",,,,
"17","Virginia","VA","District","No","Buckingham County","Regular local school district","5100540","15","1940","Required full school year",,,,,"Required full school year",,,,
"18","Virginia","VA","District","No","Buena Vista City","Regular local school district","5100560","103","882","Required full school year",,,,,"Required full school year",,,,
"19","Virginia","VA","District","No","Campbell County","Regular local school district","5100600","16","7542","Required full school year",,,,,"Required full school year",,,,
"20","Virginia","VA","District","No","Caroline County","Regular local school district","5100660","17","4029","Required full school year",,,,,"Required full school year",,,,
"21","Virginia","VA","District","No","Carroll County","Regular local school district","5100690","18","3405","Required full school year",,,,,"Required full school year",,,,
"22","Virginia","VA","District","No","Charles City County","Regular local school district","5100720","19","559","Required full school year",,,,,"Required full school year",,,,
"23","Virginia","VA","District","No","Charlotte County","Regular local school district","5100750","20","1660","Required full school year",,,,,"Required full school year",,,,
"24","Virginia","VA","District","No","Charlottesville City","Regular local school district","5100780","104","4056","Required full school year",,,,,"Required full school year",,,,
"25","Virginia","VA","District","No","Chesapeake City","Regular local school district","5100810","136","39015","Required full school year",,,,,"Required full school year",,,,
"26","Virginia","VA","District","No","Chesterfield County","Regular local school district","5100840","21","59993","Required full school year",,,,,"Required full school year",,,,
"27","Virginia","VA","District","No","Clarke County","Regular local school district","5100870","22","1722","Required full school year",,,,,"Required full school year",,,,
"28","Virginia","VA","District","No","Colonial Beach","Regular local school district","5100930","202","600","Required full school year",,,,,"Required full school year",,,,
"29","Virginia","VA","District","No","Colonial Heights City","Regular local school district","5100960","106","2732","Required full school year",,,,,"Required full school year",,,,
"30","Virginia","VA","District","No","Covington City","Regular local school district","5100990","107","988","Required full school year",,,,,"Required full school year",,,,
"31","Virginia","VA","District","No","Craig County","Regular local school district","5101020","23","532","Required full school year",,,,,"Required full school year",,,,
"32","Virginia","VA","District","No","Culpeper County","Regular local school district","5101050","24","7998","Required full school year",,,,,"Required full school year",,,,
"33","Virginia","VA","District","No","Cumberland County","Regular local school district","5101080","25","1158","Required full school year",,,,,"Required full school year",,,,
"34","Virginia","VA","District","No","Danville City","Regular local school district","5101110","108","5371","Required full school year",,,,,"Required full school year",,,,
"35","Virginia","VA","District","No","Dickenson County","Regular local school district","5101140","26","1901","Required full school year",,,,,"Required full school year",,,,
"36","Virginia","VA","District","No","Dinwiddie County","Regular local school district","5101170","27","4144","Required full school year",,,,,"Required full school year",,,,
"37","Virginia","VA","District","No","Essex County","Regular local school district","5101200","28","1192","Required full school year",,,,,"Required full school year",,,,
"38","Virginia","VA","District","No","Fairfax County","Regular local school district","5101260","29","176550","Required full school year",,,,,"Required full school year",,,,
"39","Virginia","VA","District","No","Falls Church City","Regular local school district","5101290","109","2449","Required full school year",,,,,"Required full school year",,,,
"40","Virginia","VA","District","No","Fauquier County","Regular local school district","5101320","30","10177","Required full school year",,,,,"Required full school year",,,,
"41","Virginia","VA","District","No","Floyd County","Regular local school district","5101350","31","1779","Required full school year",,,,,"Required full school year",,,,
"42","Virginia","VA","District","No","Fluvanna County","Regular local school district","5101380","32","3247","Required full school year",,,,,"Required full school year",,,,
"43","Virginia","VA","District","No","Franklin City","Regular local school district","5101410","135","980","Required full school year",,,,,"Required full school year",,,,
"44","Virginia","VA","District","No","Franklin County","Regular local school district","5101440","33","6277","Required full school year",,,,,"Required full school year",,,,
"45","Virginia","VA","District","No","Frederick County","Regular local school district","5101470","34","13403","Required full school year",,,,,"Required full school year",,,,
"46","Virginia","VA","District","No","Fredericksburg City","Regular local school district","5101510","110","3407","Required full school year",,,,,"Required full school year",,,,
"47","Virginia","VA","District","No","Galax City","Regular local school district","5101560","111","1268","Required full school year",,,,,"Required full school year",,,,
"48","Virginia","VA","District","No","Giles County","Regular local school district","5101590","35","2237","Required full school year",,,,,"Required full school year",,,,
"49","Virginia","VA","District","No","Gloucester County","Regular local school district","5101620","36","4933","Required full school year",,,,,"Required full school year",,,,
"50","Virginia","VA","District","No","Goochland County","Regular local school district","5101650","37","2502","Required full school year",,,,,"Required full school year",,,,
"51","Virginia","VA","District","No","Grayson County","Regular local school district","5101690","38","1473","Required full school year",,,,,"Required full school year",,,,
"52","Virginia","VA","District","No","Greene County","Regular local school district","5101710","39","2901","Required full school year",,,,,"Required full school year",,,,
"53","Virginia","VA","District","No","Greensville County","Regular local school district","5101740","40","2050","Required full school year",,,,,"Required full school year",,,,
"54","Virginia","VA","District","No","Halifax County","Regular local school district","5101770","41","4454","Required full school year",,,,,"Required full school year",,,,
"55","Virginia","VA","District","No","Hampton City","Regular local school district","5101800","112","18765","Required full school year",,,,,"Required full school year",,,,
"56","Virginia","VA","District","No","Hanover County","Regular local school district","5101830","42","16346","Required full school year",,,,,"Required full school year",,,,
"57","Virginia","VA","District","No","Harrisonburg City","Regular local school district","5101860","113","6190","Required full school year",,,,,"Required full school year",,,,
"58","Virginia","VA","District","No","Henrico County","Regular local school district","5101890","43","49218","Required full school year",,,,,"Required full school year",,,,
"59","Virginia","VA","District","No","Henry County","Regular local school district","5101920","44","6834","Required full school year",,,,,"Required full school year",,,,
"60","Virginia","VA","District","No","Highland County","Regular local school district","5101950","45","175","Required full school year",,,,,"Required full school year",,,,
"61","Virginia","VA","District","No","Hopewell City","Regular local school district","5101980","114","3926","Required full school year",,,,,"Required full school year",,,,
"62","Virginia","VA","District","No","Isle of Wight County","Regular local school district","5102010","46","5311","Required full school year",,,,,"Required full school year",,,,
