"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Washington","WA","District","No","Aberdeen School District","Regular local school district","5300030","14005","2974","Required full school year",,,,,"Required full school year",,,,
"2","Washington","WA","District","No","Adna School District","Regular local school district","5300060","21226","583","Required full school year",,,,,"Required full school year",,,,
"3","Washington","WA","District","No","Almira School District","Regular local school district","5300090","22017","83","Required full school year",,,,,"Required full school year",,,,
"4","Washington","WA","District","No","Anacortes School District","Regular local school district","5300150","29103","2423","Required full school year",,,,,"Required full school year",,,,
"5","Washington","WA","District","No","Arlington School District","Regular local school district","5300240","31016","5228","Required full school year",,,,,"Required full school year",,,,
"6","Washington","WA","District","No","Asotin-Anatone School District","Regular local school district","5300280","2420","592","Required full school year",,,,,"Required full school year",,,,
"7","Washington","WA","District","No","Auburn School District","Regular local school district","5300300","17408","16531","Required full school year",,,,,"Required full school year",,,,
"8","Washington","WA","District","No","Bainbridge Island School District","Regular local school district","5300330","18303","3551","Required full school year",,,,,"Required full school year",,,,
"9","Washington","WA","District","No","Battle Ground School District","Regular local school district","5300380","6119","11800","Required full school year",,,,,"Required full school year",,,,
"10","Washington","WA","District","No","Bellevue School District","Regular local school district","5300390","17405","19546","Required full school year",,,,,"Required full school year",,,,
"11","Washington","WA","District","No","Bellingham School District","Regular local school district","5300420","37501","10083","Required full school year",,,,,"Required full school year",,,,
"12","Washington","WA","District","No","Benge School District","Regular local school district","5300450","1122","15","Required full school year",,,,,"Required full school year",,,,
"13","Washington","WA","District","No","Bethel School District","Regular local school district","5300480","27403","18899","Required full school year",,,,,"Required full school year",,,,
"14","Washington","WA","District","No","Bickleton School District","Regular local school district","5300510","20203","107","Required full school year",,,,,"Required full school year",,,,
"15","Washington","WA","District","No","Blaine School District","Regular local school district","5300570","37503","2148","Required full school year",,,,,"Required full school year",,,,
"16","Washington","WA","District","No","Boistfort School District","Regular local school district","5300630","21234","84","Required full school year",,,,,"Required full school year",,,,
"17","Washington","WA","District","No","Bremerton School District","Regular local school district","5300660","18100","4364","Required full school year",,,,,"Required full school year",,,,
