"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","West Virginia","WV","District","No","Barbour County Board Of Education","Regular local school district","5400030","0200000","2037","Required full school year",,,,,"Required full school year",,,,
"2","West Virginia","WV","District","No","Berkeley County Schools","Regular local school district","5400060","0400000","18491","Required full school year",,,,,"Required full school year",,,,
"3","West Virginia","WV","District","No","Boone County  Schools","Regular local school district","5400090","0600000","3234","Required full school year",,,,,"Required full school year",,,,
"4","West Virginia","WV","District","No","Braxton County Schools","Regular local school district","5400120","0800000","1655","Required full school year",,,,,"Required full school year",,,,
"5","West Virginia","WV","District","No","Brooke County Schools","Regular local school district","5400150","1000000","2471","Required full school year",,,,,"Required full school year",,,,
"6","West Virginia","WV","District","No","Cabell County Schools","Regular local school district","5400180","1200000","11240","Required full school year",,,,,"Required full school year",,,,
"7","West Virginia","WV","District","No","Calhoun County Schools","Regular local school district","5400210","1400000","842","Required full school year",,,,,"Required full school year",,,,
"8","West Virginia","WV","District","No","Clay County Schools","Regular local school district","5400240","1600000","1651","Required full school year",,,,,"Required full school year",,,,
"9","West Virginia","WV","District","No","Doddridge County Schools","Regular local school district","5400270","1800000","1036","Required full school year",,,,,"Required full school year",,,,
"10","West Virginia","WV","District","No","Fayette County Schools","Regular local school district","5400300","2000000","5413","Required full school year",,,,,"Required full school year",,,,
"11","West Virginia","WV","District","No","Gilmer County Schools","Regular local school district","5400330","2200000","740","Required full school year",,,,,"Required full school year",,,,
"12","West Virginia","WV","District","No","Grant County Schools","Regular local school district","5400360","2400000","1491","Required full school year",,,,,"Required full school year",,,,
"13","West Virginia","WV","District","No","Greenbrier County Schools","Regular local school district","5400390","2600000","4444","Required full school year",,,,,"Required full school year",,,,
"14","West Virginia","WV","District","No","Hampshire County Schools","Regular local school district","5400420","2800000","2760","Required full school year",,,,,"Required full school year",,,,
"15","West Virginia","WV","District","No","Hancock County Schools","Regular local school district","5400450","2900000","3583","Required full school year",,,,,"Required full school year",,,,
"16","West Virginia","WV","District","No","Hardy County Schools","Regular local school district","5400480","3100000","2104","Required full school year",,,,,"Required full school year",,,,
"17","West Virginia","WV","District","No","Harrison County Schools","Regular local school district","5400510","3300000","9547","Required full school year",,,,,"Required full school year",,,,
"18","West Virginia","WV","District","No","Jackson County Schools","Regular local school district","5400540","3500000","4065","Required full school year",,,,,"Required full school year",,,,
"19","West Virginia","WV","District","No","Jefferson County Schools","Regular local school district","5400570","3700000","8268","Required full school year",,,,,"Required full school year",,,,
"20","West Virginia","WV","District","No","Kanawha County Schools","Regular local school district","5400600","3900000","23540","Required full school year",,,,,"Required full school year",,,,
"21","West Virginia","WV","District","No","Lewis County Schools","Regular local school district","5400630","4100000","2355","Required full school year",,,,,"Required full school year",,,,
"22","West Virginia","WV","District","No","Lincoln County Schools","Regular local school district","5400660","4300000","2951","Required full school year",,,,,"Required full school year",,,,
"23","West Virginia","WV","District","No","Logan County Schools","Regular local school district","5400690","4500000","5001","Required full school year",,,,,"Required full school year",,,,
"24","West Virginia","WV","District","No","Marion County Schools","Regular local school district","5400720","4700000","7205","Required full school year",,,,,"Required full school year",,,,
"25","West Virginia","WV","District","No","Marshall County Schools","Regular local school district","5400750","4800000","4102","Required full school year",,,,,"Required full school year",,,,
"26","West Virginia","WV","District","No","Mason County Schools","Regular local school district","5400780","4900000","3624","Required full school year",,,,,"Required full school year",,,,
"27","West Virginia","WV","District","No","Mcdowell County Schools","Regular local school district","5400810","6000000","2524","Required full school year",,,,,"Required full school year",,,,
"28","West Virginia","WV","District","No","Mercer County Schools","Regular local school district","5400840","5100000","8096","Required full school year",,,,,"Required full school year",,,,
"29","West Virginia","WV","District","No","Mineral County Schools","Regular local school district","5400870","5300000","3739","Required full school year",,,,,"Required full school year",,,,
"30","West Virginia","WV","District","No","Mingo County Schools","Regular local school district","5400900","5400000","3621","Required full school year",,,,,"Required full school year",,,,
"31","West Virginia","WV","District","No","Monongalia County Schools","Regular local school district","5400930","5600000","10492","Required full school year",,,,,"Required full school year",,,,
"32","West Virginia","WV","District","No","Monroe County Schools","Regular local school district","5400960","5700000","1547","Required full school year",,,,,"Required full school year",,,,
"33","West Virginia","WV","District","No","Morgan County Schools","Regular local school district","5400990","5800000","2093","Required full school year",,,,,"Required full school year",,,,
"34","West Virginia","WV","District","No","Nicholas County Schools","Regular local school district","5401020","6200000","3285","Required full school year",,,,,"Required full school year",,,,
"35","West Virginia","WV","District","No","Ohio County Schools","Regular local school district","5401050","6400000","4781","Required full school year",,,,,"Required full school year",,,,
"36","West Virginia","WV","District","No","Pendleton County Schools","Regular local school district","5401080","6600000","813","Required full school year",,,,,"Required full school year",,,,
"37","West Virginia","WV","District","No","Pleasants County Schools","Regular local school district","5401110","6700000","992","Required full school year",,,,,"Required full school year",,,,
"38","West Virginia","WV","District","No","Pocahontas County Schools","Regular local school district","5401140","6900000","901","Required full school year",,,,,"Required full school year",,,,
"39","West Virginia","WV","District","No","Preston County Schools","Regular local school district","5401170","7000000","4002","Required full school year",,,,,"Required full school year",,,,
"40","West Virginia","WV","District","No","Putnam County Schools","Regular local school district","5401200","7200000","8775","Required full school year",,,,,"Required full school year",,,,
"41","West Virginia","WV","District","No","Raleigh County Schools","Regular local school district","5401230","7400000","10360","Required full school year",,,,,"Required full school year",,,,
"42","West Virginia","WV","District","No","Randolph County Schools","Regular local school district","5401260","7500000","3604","Required full school year",,,,,"Required full school year",,,,
"43","West Virginia","WV","District","No","Ritchie County Schools","Regular local school district","5401290","7700000","1221","Required full school year",,,,,"Required full school year",,,,
"44","West Virginia","WV","District","No","Roane County Schools","Regular local school district","5401320","7900000","1844","Required full school year",,,,,"Required full school year",,,,
"45","West Virginia","WV","District","No","Summers County Schools","Regular local school district","5401350","8100000","1305","Required full school year",,,,,"Required full school year",,,,
