"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Wisconsin","WI","District","Yes","21st Century Preparatory School Agency","Charter agency","5500045","8110","476","Required full school year",,,,,"Required full school year",,,,
"2","Wisconsin","WI","District","No","Abbotsford School District","Regular local school district","5500030","0007","720",,,,,,,,,,
"3","Wisconsin","WI","District","No","Adams-Friendship Area School District","Regular local school district","5500060","0014","1259","Required full school year",,,,,"Required full school year",,,,
"4","Wisconsin","WI","District","Yes","Akii-Gikinoo'amaading Environmental Sch Agency","Charter agency","5500086","8146","10",,,,,,,,,,
"5","Wisconsin","WI","District","No","Albany School District","Regular local school district","5500120","0063","296",,,,,,,,,,
"6","Wisconsin","WI","District","No","Algoma School District","Regular local school district","5500150","0070","616","Required full school year",,,,,"Required full school year",,,,
"7","Wisconsin","WI","District","No","Alma Center School District","Regular local school district","5500210","0091","557","Required full school year",,,,,"Required full school year",,,,
"8","Wisconsin","WI","District","No","Alma School District","Regular local school district","5500180","0084","226",,,,,,,,,,
"9","Wisconsin","WI","District","No","Almond-Bancroft School District","Regular local school district","5500240","0105","343",,,,,,,,,,
"10","Wisconsin","WI","District","No","Altoona School District","Regular local school district","5500270","0112","1704",,,,,,,,,,
"11","Wisconsin","WI","District","No","Amery School District","Regular local school district","5500300","0119","1368",,,,,,,,,,
"12","Wisconsin","WI","District","No","Antigo Unified School District","Regular local school district","5500360","0140","1874","Required full school year",,,,,"Required full school year",,,,
"13","Wisconsin","WI","District","No","Appleton Area School District","Regular local school district","5500390","0147","14917",,,,,,,,,,
"14","Wisconsin","WI","District","No","Arcadia School District","Regular local school district","5500420","0154","1165","Required full school year",,,,,"Required full school year",,,,
"15","Wisconsin","WI","District","No","Argyle School District","Regular local school district","5500450","0161","271","Required full school year",,,,,"Required full school year",,,,
"16","Wisconsin","WI","District","No","Arrowhead Uhs School District","Regular local school district","5506180","2450","2084","Required full school year",,,,,"Required full school year",,,,
"17","Wisconsin","WI","District","No","Ashland School District","Regular local school district","5500510","0170","1806",,,,,,,,,,
"18","Wisconsin","WI","District","No","Ashwaubenon School District","Regular local school district","5500540","0182","3079",,,,,,,,,,
"19","Wisconsin","WI","District","No","Athens School District","Regular local school district","5500570","0196","359",,,,,,,,,,
"20","Wisconsin","WI","District","No","Auburndale School District","Regular local school district","5500600","0203","731",,,,,,,,,,
"21","Wisconsin","WI","District","No","Augusta School District","Regular local school district","5500630","0217","551",,,,,,,,,,
"22","Wisconsin","WI","District","No","Baldwin-Woodville Area School District","Regular local school district","5500720","0231","1588",,,,,,,,,,
"23","Wisconsin","WI","District","No","Bangor School District","Regular local school district","5500780","0245","565",,,,,,,,,,
"24","Wisconsin","WI","District","No","Baraboo School District","Regular local school district","5500810","0280","2612",,,,,,,,,,
"25","Wisconsin","WI","District","No","Barneveld School District","Regular local school district","5500840","0287","422","Required full school year",,,,,"Required full school year",,,,
"26","Wisconsin","WI","District","No","Barron Area School District","Regular local school district","5500870","0308","1113","Not required",,,,,"Not required",,,,
"27","Wisconsin","WI","District","No","Bayfield School District","Regular local school district","5500900","0315","373",,,,,,,,,,
"28","Wisconsin","WI","District","No","Beaver Dam Unified School District","Regular local school district","5500960","0336","3201",,,,,,,,,,
"29","Wisconsin","WI","District","No","Beecher-Dunbar-Pembine School District","Regular local school district","5511550","4263","203",,,,,,,,,,
"30","Wisconsin","WI","District","No","Belleville School District","Regular local school district","5500990","0350","868",,,,,,,,,,
"31","Wisconsin","WI","District","No","Belmont Community School District","Regular local school district","5501020","0364","343","Not required",,,,,"Not required",,,,
"32","Wisconsin","WI","District","No","Beloit School District","Regular local school district","5501050","0413","5590","Required full school year",,,,,"Required full school year",,,,
"33","Wisconsin","WI","District","No","Beloit Turner School District","Regular local school district","5501080","0422","1537",,,,,,,,,,
"34","Wisconsin","WI","District","No","Benton School District","Regular local school district","5501110","0427","181","Required full school year",,,,,"Required full school year",,,,
"35","Wisconsin","WI","District","No","Berlin Area School District","Regular local school district","5501140","0434","1374",,,,,,,,,,
"36","Wisconsin","WI","District","No","Big Foot Uhs School District","Regular local school district","5515480","6013","468",,,,,,,,,,
"37","Wisconsin","WI","District","No","Birchwood School District","Regular local school district","5501170","0441","271","Required full school year",,,,,"Required full school year",,,,
"38","Wisconsin","WI","District","No","Black Hawk School District","Regular local school district","5505730","2240","350","Required full school year",,,,,"Required full school year",,,,
"39","Wisconsin","WI","District","No","Black River Falls School District","Regular local school district","5501260","0476","1577","Required full school year",,,,,"Required full school year",,,,
"40","Wisconsin","WI","District","No","Blair-Taylor School District","Regular local school district","5500016","0485","549","Required full school year",,,,,"Required full school year",,,,
"41","Wisconsin","WI","District","No","Bloomer School District","Regular local school district","5501350","0497","1155",,,,,,,,,,
"42","Wisconsin","WI","District","No","Bonduel School District","Regular local school district","5501470","0602","662",,,,,,,,,,
"43","Wisconsin","WI","District","No","Boscobel Area School District","Regular local school district","5501500","0609","678","Required full school year",,,,,"Required full school year",,,,
"44","Wisconsin","WI","District","No","Bowler School District","Regular local school district","5501560","0623","313","Required at least part of school year","7/1/20","5/18/21",,,"Required at least part of school year","9/1/20","5/18/21",,
"45","Wisconsin","WI","District","No","Boyceville Community School District","Regular local school district","5501590","0637","641",,,,,,,,,,
"46","Wisconsin","WI","District","No","Brighton #1 School District","Regular local school district","5501650","0657","182",,,,,,,,,,
"47","Wisconsin","WI","District","No","Brillion School District","Regular local school district","5501680","0658","866",,,,,,,,,,
"48","Wisconsin","WI","District","No","Bristol #1 School District","Regular local school district","5501710","0665","749",,,,,,,,,,
"49","Wisconsin","WI","District","No","Brodhead School District","Regular local school district","5501740","0700","917",,,,,,,,,,
"50","Wisconsin","WI","District","No","Brown Co Cdeb","Specialized public school district","5500018","6905",,,,,,,,,,,
"51","Wisconsin","WI","District","No","Brown Deer School District","Regular local school district","5501800","0721","1417",,,,,,,,,,
"52","Wisconsin","WI","District","Yes","Bruce Guadalupe Agency","Charter agency","5500059","8123","1226",,,,,,,,,,
"53","Wisconsin","WI","District","No","Bruce School District","Regular local school district","5501830","0735","378",,,,,,,,,,
"54","Wisconsin","WI","District","No","Burlington Area School District","Regular local school district","5501890","0777","2875",,,,,,,,,,
"55","Wisconsin","WI","District","No","Butternut School District","Regular local school district","5501920","0840","154","Required full school year",,,,,"Required full school year",,,,
"56","Wisconsin","WI","District","No","Cadott Community School District","Regular local school district","5502040","0870","766","Required at least part of school year","9/1/20","5/11/21",,,"Required at least part of school year","9/1/20","5/11/21",,
"57","Wisconsin","WI","District","No","Cambria-Friesland School District","Regular local school district","5502070","0882","309","Required full school year",,,,,"Required full school year",,,,
"58","Wisconsin","WI","District","No","Cambridge School District","Regular local school district","5502100","0896","873",,,,,,,,,,
"59","Wisconsin","WI","District","No","Cameron School District","Regular local school district","5502130","0903","1070","Not required",,,,,"Not required",,,,
