"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Wyoming","WY","District","No","Albany County School District #1","Regular local school district","5600730","101000","3885","Required full school year",,,,,"Required full school year",,,,
"2","Wyoming","WY","District","No","Big Horn County School District #1","Regular local school district","5601420","201000","1799","Required full school year",,,,,"Required full school year",,,,
"3","Wyoming","WY","District","No","Big Horn County School District #2","Regular local school district","5601460","202000","727","Required full school year",,,,,"Required full school year",,,,
"4","Wyoming","WY","District","No","Big Horn County School District #3","Regular local school district","5603170","203000","441","Required full school year",,,,,"Required full school year",,,,
"5","Wyoming","WY","District","No","Big Horn County School District #4","Regular local school district","5601090","204000","249","Required full school year",,,,,"Required full school year",,,,
"6","Wyoming","WY","District","No","Campbell County School District #1","Regular local school district","5601470","301000","8567","Required full school year",,,,,"Required full school year",,,,
"7","Wyoming","WY","District","No","Carbon County School District #1","Regular local school district","5601030","401000","1680","Required full school year",,,,,"Required full school year",,,,
"8","Wyoming","WY","District","No","Carbon County School District #2","Regular local school district","5601700","402000","599","Required full school year",,,,,"Required full school year",,,,
"9","Wyoming","WY","District","No","Converse County School District #1","Regular local school district","5602140","501000","1643","Required full school year",,,,,"Required full school year",,,,
"10","Wyoming","WY","District","No","Converse County School District #2","Regular local school district","5602150","502000","668","Required full school year",,,,,"Required full school year",,,,
"11","Wyoming","WY","District","No","Crook County School District #1","Regular local school district","5602370","601000","1164","Required full school year",,,,,"Required full school year",,,,
"12","Wyoming","WY","District","No","Fremont County School District # 1","Regular local school district","5602870","701000","1705","Required full school year",,,,,"Required full school year",,,,
"13","Wyoming","WY","District","No","Fremont County School District # 2","Regular local school district","5602670","702000","153","Required full school year",,,,,"Required full school year",,,,
"14","Wyoming","WY","District","No","Fremont County School District # 6","Regular local school district","5602830","706000","378","Required full school year",,,,,"Required full school year",,,,
"15","Wyoming","WY","District","No","Fremont County School District #14","Regular local school district","5604450","714000","634","Required full school year",,,,,"Required full school year",,,,
"16","Wyoming","WY","District","No","Fremont County School District #21","Regular local school district","5602820","721000","450","Required full school year",,,,,"Required full school year",,,,
"17","Wyoming","WY","District","No","Fremont County School District #24","Regular local school district","5605700","724000","370","Required full school year",,,,,"Required full school year",,,,
"18","Wyoming","WY","District","No","Fremont County School District #25","Regular local school district","5605220","725000","2291","Required full school year",,,,,"Required full school year",,,,
"19","Wyoming","WY","District","No","Fremont County School District #38","Regular local school district","5600960","738000","431","Required full school year",,,,,"Required full school year",,,,
"20","Wyoming","WY","District","No","Goshen County School District #1","Regular local school district","5602990","801000","1606","Required full school year",,,,,"Required full school year",,,,
"21","Wyoming","WY","District","No","Hot Springs County School District #1","Regular local school district","5603310","901000","644","Required full school year",,,,,"Required full school year",,,,
"22","Wyoming","WY","District","No","Johnson County School District #1","Regular local school district","5603770","1001000","1184","Required full school year",,,,,"Required full school year",,,,
"23","Wyoming","WY","District","No","Laramie County School District #1","Regular local school district","5601980","1101000","13840","Required full school year",,,,,"Required full school year",,,,
"24","Wyoming","WY","District","No","Laramie County School District #2","Regular local school district","5604120","1102000","1045","Required full school year",,,,,"Required full school year",,,,
"25","Wyoming","WY","District","No","Lincoln County School District #1","Regular local school district","5604030","1201000","589","Required full school year",,,,,"Required full school year",,,,
"26","Wyoming","WY","District","No","Lincoln County School District #2","Regular local school district","5604060","1202000","2924","Required full school year",,,,,"Required full school year",,,,
"27","Wyoming","WY","District","No","Natrona County School District #1","Regular local school district","5604510","1301000","12754","Required full school year",,,,,"Required full school year",,,,
"28","Wyoming","WY","District","No","Niobrara County School District #1","Regular local school district","5604230","1401000","1397","Required full school year",,,,,"Required full school year",,,,
"29","Wyoming","WY","District","No","Park County School District # 1","Regular local school district","5605160","1501000","1797","Required full school year",,,,,"Required full school year",,,,
"30","Wyoming","WY","District","No","Park County School District # 6","Regular local school district","5602070","1506000","1974","Required full school year",,,,,"Required full school year",,,,
"31","Wyoming","WY","District","No","Park County School District #16","Regular local school district","5604380","1516000","172","Required full school year",,,,,"Required full school year",,,,
"32","Wyoming","WY","District","No","Platte County School District #1","Regular local school district","5605090","1601000","956","Required full school year",,,,,"Required full school year",,,,
