,Charter,DistrictType,NCESDistrictID,TimePeriodStart,TimePeriodEnd,ActiveCasesCombined,StateName,StateAbbrev,DistrictName,EnrollmentTotal,StudentMaskPolicy
0,Yes,Charter agency,500059,06/15/20,11/05/20,6,Arkansas,AR,Academics Plus Charter School,1645.0,
1,Yes,Charter agency,500059,06/15/20,11/09/20,9,Arkansas,AR,Academics Plus Charter School,1645.0,
2,Yes,Charter agency,500059,06/15/20,11/16/20,10,Arkansas,AR,Academics Plus Charter School,1645.0,
3,Yes,Charter agency,500059,06/15/20,11/19/20,6,Arkansas,AR,Academics Plus Charter School,1645.0,
4,Yes,Charter agency,500059,06/15/20,11/23/20,5,Arkansas,AR,Academics Plus Charter School,1645.0,
5,Yes,Charter agency,500059,06/15/20,12/02/20,6,Arkansas,AR,Academics Plus Charter School,1645.0,
6,Yes,Charter agency,500059,06/15/20,12/07/20,13,Arkansas,AR,Academics Plus Charter School,1645.0,
7,Yes,Charter agency,500059,06/15/20,12/10/20,11,Arkansas,AR,Academics Plus Charter School,1645.0,
8,Yes,Charter agency,500059,06/15/20,12/14/20,9,Arkansas,AR,Academics Plus Charter School,1645.0,
9,Yes,Charter agency,500059,06/15/20,12/17/20,9,Arkansas,AR,Academics Plus Charter School,1645.0,
10,Yes,Charter agency,500059,06/15/20,12/21/20,7,Arkansas,AR,Academics Plus Charter School,1645.0,
11,Yes,Charter agency,500059,06/15/20,12/23/20,6,Arkansas,AR,Academics Plus Charter School,1645.0,
12,Yes,Charter agency,500059,06/15/20,12/28/20,7,Arkansas,AR,Academics Plus Charter School,1645.0,
13,Yes,Charter agency,500059,06/15/20,12/31/20,6,Arkansas,AR,Academics Plus Charter School,1645.0,
14,Yes,Charter agency,500059,06/15/20,01/04/21,6,Arkansas,AR,Academics Plus Charter School,1645.0,
15,Yes,Charter agency,500059,06/15/20,01/14/21,5,Arkansas,AR,Academics Plus Charter School,1645.0,
16,Yes,Charter agency,500059,06/15/20,01/21/21,6,Arkansas,AR,Academics Plus Charter School,1645.0,
17,Yes,Charter agency,500059,06/15/20,01/25/21,5,Arkansas,AR,Academics Plus Charter School,1645.0,
18,Yes,Charter agency,500059,06/15/20,01/28/21,5,Arkansas,AR,Academics Plus Charter School,1645.0,
19,No,Regular local school district,502250,06/15/20,10/19/20,9,Arkansas,AR,Alma School District,3250.0,
20,No,Regular local school district,502250,06/15/20,10/22/20,9,Arkansas,AR,Alma School District,3250.0,
21,No,Regular local school district,502250,06/15/20,10/26/20,5,Arkansas,AR,Alma School District,3250.0,
22,No,Regular local school district,502250,06/15/20,10/29/20,7,Arkansas,AR,Alma School District,3250.0,
23,No,Regular local school district,502250,06/15/20,11/02/20,6,Arkansas,AR,Alma School District,3250.0,
24,No,Regular local school district,502250,06/15/20,11/05/20,9,Arkansas,AR,Alma School District,3250.0,
25,No,Regular local school district,502250,06/15/20,11/09/20,9,Arkansas,AR,Alma School District,3250.0,
26,No,Regular local school district,502250,06/15/20,11/16/20,10,Arkansas,AR,Alma School District,3250.0,
27,No,Regular local school district,502250,06/15/20,11/19/20,17,Arkansas,AR,Alma School District,3250.0,
28,No,Regular local school district,502250,06/15/20,11/23/20,13,Arkansas,AR,Alma School District,3250.0,
29,No,Regular local school district,502250,06/15/20,11/25/20,17,Arkansas,AR,Alma School District,3250.0,
