,NCESDistrictID,Covid Cases,TimePeriodStart,TimePeriodEnd,StateName,StateAbbrev,EnrollmentTotal,StudentMaskPolicy
0,3300039,7,2020-10-26,2021-06-29,New Hampshire,NH,99.0,Required full school year
1,3300048,23,2020-10-26,2021-06-29,New Hampshire,NH,139.0,Required full school year
2,3301740,394,2020-10-26,2021-06-29,New Hampshire,NH,4215.0,Required full school year
3,3301860,220,2020-10-26,2021-06-29,New Hampshire,NH,1090.0,Required full school year
4,3302460,353,2020-10-26,2021-06-29,New Hampshire,NH,4026.0,Required full school year
5,3302640,248,2020-10-26,2021-06-29,New Hampshire,NH,3790.0,Required full school year
6,3303090,140,2020-10-26,2021-06-29,New Hampshire,NH,897.0,Required at least part of school year
7,3303180,131,2020-10-26,2021-06-29,New Hampshire,NH,1130.0,Required full school year
8,3303276,3,2020-10-26,2021-06-29,New Hampshire,NH,72.0,Required full school year
9,3303290,9,2020-10-26,2021-06-29,New Hampshire,NH,109.0,Required full school year
10,3303291,0,2020-10-26,2021-06-29,New Hampshire,NH,75.0,Required full school year
11,3303299,4,2020-10-26,2021-06-29,New Hampshire,NH,140.0,Required full school year
12,3303302,25,2020-10-26,2021-06-29,New Hampshire,NH,241.0,Required full school year
13,3303303,0,2020-10-26,2021-06-29,New Hampshire,NH,108.0,Required full school year
14,3303305,0,2020-10-26,2021-06-29,New Hampshire,NH,71.0,Required full school year
15,3303315,0,2020-10-26,2021-06-29,New Hampshire,NH,34.0,Required full school year
16,3303510,91,2020-10-26,2021-06-29,New Hampshire,NH,918.0,Required full school year
17,3304260,22,2020-10-26,2021-06-29,New Hampshire,NH,283.0,Required full school year
18,3304350,159,2020-10-26,2021-06-29,New Hampshire,NH,1188.0,Required full school year
19,3304380,53,2020-10-26,2021-06-29,New Hampshire,NH,613.0,Required full school year
20,3304500,10,2020-10-26,2021-06-29,New Hampshire,NH,183.0,Required full school year
21,3304830,178,2020-10-26,2021-06-29,New Hampshire,NH,2115.0,Required full school year
22,3305310,60,2020-10-26,2021-06-29,New Hampshire,NH,864.0,Required full school year
23,3305820,379,2020-10-26,2021-06-29,New Hampshire,NH,2524.0,Required full school year
24,3305940,300,2020-10-26,2021-06-29,New Hampshire,NH,4005.0,Required full school year
25,3306540,20,2020-10-26,2021-06-29,New Hampshire,NH,390.0,Required full school year
26,3307330,90,2020-10-26,2021-06-29,New Hampshire,NH,673.0,Required full school year
27,3307360,192,2020-10-26,2021-06-29,New Hampshire,NH,3163.0,Required full school year
