,NCESDistrictID,Covid Cases,TimePeriodStart,TimePeriodEnd,StateName,StateAbbrev,EnrollmentTotal,StudentMaskPolicy
0,4800002,0.0,2020-11-30,2021-05-09,Texas,TX,240.0,Required at least part of school year
1,4800006,0.0,2020-11-30,2021-05-09,Texas,TX,215.0,Required at least part of school year
2,4800009,7.0,2020-11-30,2021-05-09,Texas,TX,2557.0,Required at least part of school year
3,4800014,0.0,2020-11-30,2021-05-09,Texas,TX,867.0,Required at least part of school year
4,4800019,0.0,2020-11-30,2021-05-09,Texas,TX,1073.0,Required full school year
5,4800025,0.0,2020-11-30,2021-05-09,Texas,TX,221.0,Required full school year
6,4800031,0.0,2020-11-30,2021-05-09,Texas,TX,87.0,Required full school year
7,4800034,0.0,2020-11-30,2021-05-09,Texas,TX,1955.0,Required full school year
8,4800035,0.0,2020-11-30,2021-05-09,Texas,TX,332.0,Required full school year
9,4800037,5.0,2020-11-30,2021-05-09,Texas,TX,1243.0,Required full school year
10,4800041,5.0,2020-11-30,2021-05-09,Texas,TX,1208.0,Required full school year
11,4800042,0.0,2020-11-30,2021-05-09,Texas,TX,821.0,Required full school year
12,4800049,0.0,2020-11-30,2021-05-09,Texas,TX,215.0,Required full school year
13,4800055,5.0,2020-11-30,2021-05-09,Texas,TX,5550.0,Required full school year
14,4800063,0.0,2020-11-30,2021-05-09,Texas,TX,850.0,Required full school year
15,4800071,0.0,2020-11-30,2021-05-09,Texas,TX,646.0,Required full school year
16,4800073,0.0,2020-11-30,2021-05-09,Texas,TX,1366.0,Required full school year
17,4800076,0.0,2020-11-30,2021-05-09,Texas,TX,850.0,Required full school year
18,4800090,0.0,2020-11-30,2021-05-09,Texas,TX,341.0,Required full school year
19,4800095,0.0,2020-11-30,2021-05-09,Texas,TX,1382.0,Required full school year
20,4800109,0.0,2020-11-30,2021-05-09,Texas,TX,138.0,Required at least part of school year
21,4800115,0.0,2020-11-30,2021-05-09,Texas,TX,172.0,Required full school year
22,4800132,0.0,2020-11-30,2021-05-09,Texas,TX,99.0,Required full school year
23,4800141,0.0,2020-11-30,2021-05-09,Texas,TX,274.0,Required full school year
24,4800174,0.0,2020-11-30,2021-05-09,Texas,TX,244.0,Required full school year
25,4800186,0.0,2020-11-30,2021-05-09,Texas,TX,543.0,Required full school year
26,4800187,0.0,2020-11-30,2021-05-09,Texas,TX,616.0,Required full school year
27,4800203,0.0,2020-11-30,2021-05-09,Texas,TX,1456.0,Required full school year
28,4800210,0.0,2020-11-30,2021-05-09,Texas,TX,3669.0,Required full school year
29,4800211,0.0,2020-11-30,2021-05-09,Texas,TX,62247.0,Required full school year
30,4800227,0.0,2020-11-30,2021-05-09,Texas,TX,235.0,Required at least part of school year
31,4800232,0.0,2020-11-30,2021-05-09,Texas,TX,497.0,Required full school year
32,4800252,0.0,2020-11-30,2021-05-09,Texas,TX,126.0,Required full school year
33,4800264,5.0,2020-11-30,2021-05-09,Texas,TX,31243.0,Required full school year
34,4800268,6.0,2020-11-30,2021-05-09,Texas,TX,3091.0,Required full school year
35,4800270,0.0,2020-11-30,2021-05-09,Texas,TX,1018.0,Required full school year
36,4800279,0.0,2020-11-30,2021-05-09,Texas,TX,116.0,Required full school year
37,4801395,0.0,2020-11-30,2021-05-09,Texas,TX,255.0,Required full school year
38,4801404,0.0,2020-11-30,2021-05-09,Texas,TX,66.0,Required full school year
39,4801409,0.0,2020-11-30,2021-05-09,Texas,TX,2863.0,Required full school year
40,4801416,0.0,2020-11-30,2021-05-09,Texas,TX,686.0,Required full school year
41,4801418,0.0,2020-11-30,2021-05-09,Texas,TX,185.0,Required full school year
42,4801425,47.0,2020-11-30,2021-05-09,Texas,TX,1270.0,Required full school year
43,4801427,0.0,2020-11-30,2021-05-09,Texas,TX,826.0,Required at least part of school year
44,4801431,6.0,2020-11-30,2021-05-09,Texas,TX,2150.0,Required full school year
45,4801434,0.0,2020-11-30,2021-05-09,Texas,TX,429.0,Required full school year
46,4801435,0.0,2020-11-30,2021-05-09,Texas,TX,466.0,Required full school year
47,4801440,124.0,2020-11-30,2021-05-09,Texas,TX,20864.0,Required full school year
48,4801442,0.0,2020-11-30,2021-05-09,Texas,TX,446.0,Required full school year
49,4801447,6.0,2020-11-30,2021-05-09,Texas,TX,209.0,Required full school year
50,4801453,0.0,2020-11-30,2021-05-09,Texas,TX,153.0,Required full school year
51,4801454,0.0,2020-11-30,2021-05-09,Texas,TX,400.0,Required full school year
52,4801457,0.0,2020-11-30,2021-05-09,Texas,TX,1155.0,Required full school year
53,4801458,0.0,2020-11-30,2021-05-09,Texas,TX,3.0,Required full school year
54,4801473,0.0,2020-11-30,2021-05-09,Texas,TX,373.0,Required at least part of school year
55,4807410,0.0,2020-11-30,2021-05-09,Texas,TX,805.0,Required at least part of school year
