,Term,SchoolYear,county_fips,TeachingMethod,StudentMaskPolicy,useit,useit_ind
1,Fall,2020-2021,2020,Hybrid,Required for all students,1,0.8461538461538461
3,Fall,2020-2021,2020,On Premises,Required for all students,1,0.8461538461538461
5,Fall,2020-2021,2020,Online Only,Pending,1,0.8461538461538461
7,Fall,2020-2021,2020,Online Only,Required for all students,1,0.8461538461538461
27,Fall,2020-2021,8081,On Premises,Not required,1,0.8333333333333334
33,Fall,2020-2021,2240,On Premises,Not required,1,0.8125
43,Fall,2020-2021,24029,Hybrid,Required for all students,1,0.8192771084337349
45,Fall,2020-2021,29209,Hybrid,Required for all students,1,0.8125
47,Fall,2020-2021,2100,On Premises,Required for all students,1,1.0
98,Fall,2020-2021,2013,Hybrid,Unknown,1,1.0
105,Fall,2020-2021,2240,Online Only,Required for all students,1,0.8125
107,Fall,2020-2021,2016,Hybrid,Required for all students,1,1.0
113,Fall,2020-2021,22113,Hybrid,Required for all students,1,0.8125
114,Fall,2020-2021,45001,Hybrid,Required for all students,1,0.8125
115,Fall,2020-2021,13315,Hybrid,Required for all students,1,0.8214285714285714
116,Fall,2020-2021,1067,Hybrid,Required for all students,1,0.85
121,Fall,2020-2021,1123,Online Only,Unknown,1,0.875
151,Fall,2020-2021,13059,Hybrid,Required for all students,1,0.8372093023255814
162,Fall,2020-2021,13059,Hybrid,Required for all students,1,0.8372093023255814
216,Fall,2020-2021,55103,On Premises,Required for high school students only,1,0.8928571428571429
221,Fall,2020-2021,29013,Hybrid,Required for all students,1,0.8105263157894737
224,Fall,2020-2021,13269,Hybrid,Required for all students,1,0.875
225,Fall,2020-2021,1023,Hybrid,Required for all students,1,0.875
227,Fall,2020-2021,21191,Hybrid,Required for all students,1,0.8409090909090909
244,Fall,2020-2021,13045,Hybrid,Required for all students,1,0.8
246,Fall,2020-2021,21041,Hybrid,Required for all students,1,0.8125
247,Fall,2020-2021,29033,Hybrid,Required for all students,1,0.8421052631578947
248,Fall,2020-2021,39019,Hybrid,Required for all students,1,0.8378378378378378
251,Fall,2020-2021,28015,Hybrid,Required for all students,1,0.8181818181818182
257,Fall,2020-2021,28157,Hybrid,Pending,1,0.85
260,Fall,2020-2021,1097,On Premises,Required for all students,1,0.8181818181818182
261,Fall,2020-2021,39107,On Premises,Required for all students,1,0.8125
