,Term,DistrictID,SchoolYear,county_fips,Enrollment,TeachingMethod,StudentMaskPolicy,avg_enr,useit,useit_ind
1,Fall,2442904,2020-2021,2020,16262.25,Hybrid,Required for all students,16262.25,1,0.8461538461538461
3,Fall,888610,2020-2021,2020,27.0,On Premises,Required for all students,16262.25,1,0.8461538461538461
5,Fall,888658,2020-2021,2020,48347.0,Online Only,Pending,16262.25,1,0.8461538461538461
7,Fall,888657,2020-2021,2020,517.0,Online Only,Required for all students,16262.25,1,0.8461538461538461
27,Fall,888609,2020-2021,8081,620.0,On Premises,Not required,850.25,1,0.8333333333333334
33,Fall,888617,2020-2021,2240,792.0,On Premises,Not required,2183.8125,1,0.8125
43,Fall,888619,2020-2021,24029,4313.0,Hybrid,Required for all students,2708.397590361446,1,0.8192771084337349
45,Fall,888619,2020-2021,29209,4313.0,Hybrid,Required for all students,1145.0625,1,0.8125
47,Fall,888600,2020-2021,2100,249.0,On Premises,Required for all students,249.0,1,1.0
98,Fall,888641,2020-2021,2013,219.0,Hybrid,Unknown,221.25,1,1.0
105,Fall,888625,2020-2021,2240,417.0,Online Only,Required for all students,2183.8125,1,0.8125
107,Fall,888611,2020-2021,2016,480.0,Hybrid,Required for all students,482.25,1,1.0
113,Fall,899893,2020-2021,22113,2650.0,Hybrid,Required for all students,4210.1875,1,0.8125
114,Fall,899893,2020-2021,45001,2650.0,Hybrid,Required for all students,4210.1875,1,0.8125
115,Fall,899893,2020-2021,13315,2650.0,Hybrid,Required for all students,2809.035714285714,1,0.8214285714285714
116,Fall,899893,2020-2021,1067,2650.0,Hybrid,Required for all students,3873.2,1,0.85
121,Fall,900000,2020-2021,1123,3055.0,Online Only,Unknown,1962.9375,1,0.875
151,Fall,899946,2020-2021,13059,3874.0,Hybrid,Required for all students,4442.813953488372,1,0.8372093023255814
162,Fall,899945,2020-2021,13059,9470.0,Hybrid,Required for all students,4442.813953488372,1,0.8372093023255814
216,Fall,29489616,2020-2021,55103,2426.0,On Premises,Required for high school students only,979.2857142857143,1,0.8928571428571429
221,Fall,899862,2020-2021,29013,1615.0,Hybrid,Required for all students,8688.168421052631,1,0.8105263157894737
224,Fall,899862,2020-2021,13269,1615.0,Hybrid,Required for all students,1833.65625,1,0.875
225,Fall,899862,2020-2021,1023,1615.0,Hybrid,Required for all students,2346.575,1,0.875
227,Fall,899862,2020-2021,21191,1615.0,Hybrid,Required for all students,1766.8863636363637,1,0.8409090909090909
244,Fall,899966,2020-2021,13045,2966.0,Hybrid,Required for all students,5111.051724137931,1,0.8
246,Fall,899966,2020-2021,21041,2966.0,Hybrid,Required for all students,5333.934782608696,1,0.8125
247,Fall,899966,2020-2021,29033,2966.0,Hybrid,Required for all students,3513.2027027027025,1,0.8421052631578947
248,Fall,899966,2020-2021,39019,2966.0,Hybrid,Required for all students,4529.342857142857,1,0.8378378378378378
251,Fall,899966,2020-2021,28015,2966.0,Hybrid,Required for all students,5768.5952380952385,1,0.8181818181818182
257,Fall,899974,2020-2021,28157,3636.0,Hybrid,Pending,3147.9,1,0.85
260,Fall,91848681,2020-2021,1097,1172.0,On Premises,Required for all students,4100.656565656565,1,0.8181818181818182
261,Fall,91848681,2020-2021,39107,1172.0,On Premises,Required for all students,2775.4166666666665,1,0.8125
